year,month,date,arrival,min,max,modal
2014,July,01,0.10,2190,2350,2270
2014,June,24,0.10,2190,2350,2270
2014,June,25,0.10,2190,2350,2270
2014,June,27,0.10,2190,2350,2270
2014,June,30,0.10,2190,2350,2270
2014,June,21,0.10,2200,2360,2280
2014,June,23,0.10,2200,2360,2280
2014,June,16,0.10,2230,2310,2270
2014,June,12,0.10,2240,2320,2280
2014,June,17,0.10,2240,2320,2280
2014,June,19,0.10,2240,2320,2280
2014,June,07,0.10,2250,2300,2275
2014,June,09,0.10,2250,2310,2280
2014,June,10,0.10,2250,2330,2290
2014,June,18,0.10,2260,2360,2310
2014,June,02,0.10,2600,3300,2950
2014,June,03,0.10,2600,3300,2950
2014,June,06,0.20,2200,2300,2250
2014,June,13,0.20,2230,2310,2270
2016,August,05,0.10,1800,2000,1900
2016,April,02,0.20,1800,2000,1900
2016,November,15,0.80,1800,2000,1900
2015,September,02,1.50,1800,2000,1900
2017,July,18,1.50,1800,2000,1900
2017,September,26,1.80,1800,2000,1900
2015,November,11,3.30,1800,2000,1900
2015,August,29,3.30,1800,2000,1900
2016,June,27,4.40,1800,2000,1900
2016,July,28,4.70,1800,2000,1900
2016,December,16,4.80,1800,2000,1900
2015,September,23,4.80,1800,2000,1900
2018,February,03,4.80,2500,2700,2600
2018,February,10,4.80,2500,2700,2600
2018,February,14,4.80,2500,2700,2600
2015,October,07,5.00,1800,2000,1900
2015,October,21,5.10,1800,2000,1900
2016,May,26,5.10,1800,2000,1900
2018,February,15,5.20,2500,2700,2600
2016,July,12,5.30,1800,2000,1900
2018,February,19,5.30,2500,2700,2600
2016,July,06,5.50,1800,2000,1900
2016,August,13,5.50,1800,2000,1900
2016,June,13,5.50,1800,2000,1900
2016,May,18,5.50,1800,2000,1900
2016,October,25,5.50,1800,2000,1900
2016,December,31,5.50,1800,2000,1900
2017,January,02,5.60,1800,2000,1900
2016,June,03,5.60,1800,2000,1900
2015,October,31,5.60,1800,2000,1900
2016,July,05,5.70,1800,2000,1900
2016,June,06,5.70,1800,2000,1900
2017,December,10,5.70,1800,2000,1900
2017,March,10,5.70,1800,2000,1900
2016,December,01,5.80,1800,2000,1900
2016,July,01,5.80,1800,2000,1900
2016,October,04,5.80,1800,2000,1900
2015,November,05,5.80,1800,2000,1900
2016,July,08,5.80,1800,2000,1900
2017,May,20,5.80,1800,2000,1900
2018,January,30,5.80,1800,2000,1900
2016,October,05,5.90,1800,2000,1900
2016,February,13,5.90,1800,2000,1900
2017,December,14,5.90,1800,2000,1900
2017,June,14,5.90,1800,2000,1900
