year,month,date,arrival,min,max,modal
2014,June,06,0.10,9806,10300,10053
2014,July,01,0.10,9850,10300,10075
2014,June,07,0.10,9850,10300,10075
2014,June,09,0.10,9850,10300,10075
2014,June,10,0.10,9850,10300,10075
2014,June,13,0.10,9850,10300,10075
2014,June,16,0.10,9850,10300,10075
2014,June,17,0.10,9850,10300,10075
2014,June,18,0.10,9850,10300,10075
2014,June,19,0.10,9850,10300,10075
2014,June,21,0.10,9850,10300,10075
2014,June,23,0.10,9850,10300,10075
2014,June,24,0.10,9850,10300,10075
2014,June,25,0.10,9850,10300,10075
2014,June,27,0.10,9850,10300,10075
2014,June,30,0.10,9850,10300,10075
