year,month,date,arrival,min,max,modal
2016,December,29,40.00,7800,10800,8900
2017,March,24,100.00,7600,12000,9000
2017,February,17,100.00,8900,9000,8950
2017,March,02,100.00,9000,11000,10850
2017,February,03,120.00,6800,10300,10000
2017,February,04,120.00,6800,10500,10000
2017,March,29,120.00,7565,10300,9100
2016,November,05,120.00,7700,8000,7800
2016,December,11,120.00,7800,9500,8500
2017,May,09,120.00,8200,10100,9200
2017,January,20,120.00,8750,9800,9000
2017,January,24,120.00,8750,9800,9000
2017,March,01,120.00,9000,11000,10850
2017,May,04,125.00,8500,10100,9200
2018,April,27,150.00,6800,10200,7500
2018,February,14,150.00,7000,10500,8500
2017,December,13,150.00,7250,10850,9250
2017,April,01,150.00,7565,10300,9100
2017,March,30,150.00,7565,10300,9100
2017,March,21,150.00,7600,12000,9000
2017,March,23,150.00,7600,12000,9000
2016,December,31,150.00,7800,10800,8900
2019,March,30,150.00,8000,9500,9000
2017,July,11,150.00,8200,9910,8900
2017,September,13,150.00,8200,10100,9800
2017,August,16,150.00,8200,10200,9000
2017,August,04,150.00,8250,10000,8850
2017,August,17,150.00,8250,10200,9000
2017,July,18,150.00,8300,9950,8800
2017,August,14,150.00,8300,10100,8900
2018,December,27,150.00,8500,9500,9000
2017,April,28,150.00,8500,10000,9200
2017,March,04,150.00,8700,9000,8850
2017,March,06,150.00,8700,9000,8850
2017,March,08,150.00,8700,9000,8850
2017,January,19,150.00,8750,9800,9000
2017,February,14,150.00,8800,9500,9450
2017,February,21,150.00,8900,9000,8950
2017,February,24,150.00,8900,9000,8950
2017,April,03,150.00,9000,10000,9200
2017,April,06,150.00,9000,10000,9200
2017,April,12,150.00,9000,10000,9200
2018,May,08,155.00,6800,10200,7500
2018,April,07,155.00,6900,10600,7400
2017,April,20,155.00,7600,10500,9200
2018,April,18,180.00,6800,10300,7500
2018,April,12,180.00,6900,10400,7400
2018,April,05,180.00,7000,10200,7600
2017,October,21,180.00,7563,10050,9850
2017,September,16,180.00,7600,10000,9000
2017,October,25,180.00,7600,10050,9800
2017,November,15,180.00,7600,10100,9500
2017,April,18,180.00,7600,10500,9200
2017,October,05,180.00,7800,10100,9200
2017,December,29,180.00,8000,10500,9500
2018,February,03,180.00,8150,10100,9300
2017,May,08,180.00,8200,10100,9200
2017,May,15,180.00,8200,10200,9200
2017,August,03,180.00,8250,9900,8850
2017,August,09,180.00,8250,10000,8900
2018,August,08,180.00,8500,9600,9000
2019,November,19,180.00,8500,10300,9400
2017,February,20,180.00,8900,9000,8950
2017,November,27,185.00,7600,11000,9500
2019,January,28,185.00,8500,11000,9500
2018,May,17,200.00,6500,9800,8500
2018,May,02,200.00,6800,10200,7500
2018,May,04,200.00,6800,10200,7500
2018,April,26,200.00,6800,10200,7500
2018,May,07,200.00,6800,10300,7500
2017,February,07,200.00,6800,10400,10000
2018,April,20,200.00,6800,10500,7600
2018,April,21,200.00,6800,10500,7600
2018,April,11,200.00,6900,10400,7400
2018,April,06,200.00,6900,10600,7400
2018,March,27,200.00,7000,10200,7400
2018,March,15,200.00,7000,10400,7400
2018,February,23,200.00,7000,10400,7400
2018,April,01,200.00,7000,10500,7400
2018,February,12,200.00,7000,10500,7400
2018,March,12,200.00,7000,10600,7600
2017,December,20,200.00,7500,10700,9050
2017,December,27,200.00,7500,10700,9050
2017,March,31,200.00,7565,10300,9100
2017,October,24,200.00,7600,10050,9800
2017,November,14,200.00,7600,10100,9500
2017,November,16,200.00,7600,10100,9500
2017,November,18,200.00,7600,10100,9500
2017,November,03,200.00,7600,10100,9600
2017,November,06,200.00,7600,10100,9600
2017,November,13,200.00,7600,10200,9500
2017,November,21,200.00,7600,10200,9600
2017,April,13,200.00,7600,10500,9200
2017,April,17,200.00,7600,10500,9200
2017,December,06,200.00,7600,10850,9450
2017,March,17,200.00,7600,12000,8650
2017,October,04,200.00,7800,10000,9200
2017,September,25,200.00,7800,10000,9200
2017,October,03,200.00,7800,10000,9500
2017,October,06,200.00,7950,10000,9500
