year,month,date,arrival,min,max,modal
2016,February,29,5.00,2000,2200,2100
2015,October,17,6.00,1800,2100,2000
2016,January,04,6.00,2000,2200,2100
2016,July,14,6.00,2500,3000,2800
2016,November,05,6.00,2700,3000,2800
2016,March,17,6.20,1800,2100,2000
2016,February,15,6.20,2200,2400,2250
2016,January,01,6.50,2000,2200,2150
2016,March,01,7.00,2000,2200,2100
2016,February,16,7.00,2000,2400,2200
2016,January,07,7.30,2000,2200,2100
2015,December,31,7.60,2000,2200,2100
2016,March,08,7.80,1800,2100,2000
2016,April,06,8.00,1800,2100,2000
2016,January,05,8.00,2000,2200,2100
2015,December,27,8.00,2000,2200,2100
2016,June,18,8.00,2200,2400,2350
2016,January,25,8.20,2100,2400,2250
2016,February,03,8.30,2000,2200,2100
2016,April,19,8.50,1800,2100,1950
2016,April,05,8.60,1800,2100,1900
2016,May,12,8.70,1800,2100,2000
2015,December,22,8.70,2000,2200,2100
2016,April,03,9.00,1800,2100,2000
2016,May,05,9.00,1800,2200,2000
2016,January,12,9.00,2000,2200,2100
2015,December,24,9.00,2000,2200,2100
2016,September,14,9.00,2200,2500,2400
2016,August,03,9.00,2200,2600,2450
2016,November,04,9.00,2400,2600,2500
2016,November,08,9.00,2700,3000,2800
2016,May,04,9.20,1800,2100,1950
2016,April,24,9.20,1800,2100,2000
2016,April,27,9.20,1800,2200,2000
2016,February,05,9.20,2000,2300,2200
2016,February,01,9.20,2100,2400,2200
2016,March,12,9.50,2000,2200,2100
2016,January,13,9.50,2000,2200,2100
2016,May,31,9.50,2000,2200,2150
2016,October,20,9.50,2200,2500,2400
2016,February,10,10.00,2000,2200,2100
2016,August,15,10.00,2000,2500,2200
2016,August,09,10.00,2200,2500,2450
2016,May,10,10.20,1800,2100,1950
2016,May,09,11.00,1800,2100,1950
2016,April,22,11.00,1800,2100,1950
2016,June,10,11.00,2000,2200,2100
2016,June,11,11.00,2000,2200,2100
2016,May,30,11.00,2000,2200,2100
2016,June,02,11.00,2000,2200,2150
2016,May,15,11.00,2000,2200,2150
2016,May,24,11.00,2000,2200,2150
2016,June,16,11.00,2200,2500,2400
2016,May,01,12.00,1800,2100,1950
2016,April,16,12.00,1800,2100,1950
2016,May,02,12.00,1800,2100,2000
2016,May,06,12.00,1800,2100,2000
2016,May,07,12.00,1800,2100,2000
2016,March,21,12.00,1800,2100,2000
2016,April,28,12.00,1800,2100,2000
