year,month,date,arrival,min,max,modal
2014,June,16,10.00,1700,1900,1800
2014,June,17,20.00,1700,1900,1800
2014,June,23,24.00,1600,1800,1700
2014,July,01,24.50,1700,1800,1750
2014,July,02,24.50,1700,1800,1750
2014,June,20,25.00,1600,1800,1700
2014,August,05,6.00,2000,2200,2100
2014,August,06,6.50,2000,2200,2100
2014,July,24,40.60,2000,2250,2150
2014,July,19,41.00,2400,2600,2500
2014,July,30,43.00,2000,2200,2100
2014,July,25,45.00,2000,2300,2200
2014,July,22,48.30,2000,2200,2100
2016,May,14,52.00,1700,2100,1900
2014,August,25,52.00,2000,2200,2100
2014,August,26,54.50,2050,2200,2100
2015,January,14,54.50,2500,2700,2600
2014,August,04,55.00,2000,2200,2100
2014,December,26,55.00,2500,2700,2600
2014,December,31,58.00,2500,2700,2600
2015,January,11,61.00,2500,2700,2600
2016,May,10,62.00,1600,2100,1850
2016,August,17,64.00,1800,2200,2050
2016,May,09,65.00,1600,2100,1800
2016,August,12,65.00,1700,2000,1850
2016,May,17,65.00,1700,2100,1900
2016,August,15,65.00,1700,2200,1950
2014,August,01,65.00,2000,2200,2100
2016,April,21,67.00,1600,2000,1800
2014,December,29,67.00,2500,2700,2600
2016,April,19,68.00,1600,2000,1800
2016,August,02,68.00,1700,2200,1950
2016,May,29,68.00,1800,2100,2000
2017,April,06,68.00,2050,2800,2350
2016,March,10,69.00,1600,2000,1800
2016,May,07,69.00,1600,2100,1850
2016,July,05,69.00,1700,2100,1900
2016,August,04,70.00,1800,2200,2000
2017,June,13,70.00,2150,2950,2680
2017,June,18,70.00,2175,3000,2700
2017,March,23,70.00,2350,3150,2750
2015,December,05,72.00,1600,2000,1800
2015,November,11,72.00,1700,2000,1800
2016,July,12,72.00,1700,2100,1900
2016,August,16,72.00,1700,2150,2000
2014,September,16,72.00,1800,2000,1900
2016,September,14,72.00,1800,2100,2000
2016,August,18,72.00,1800,2150,2000
2016,August,19,72.00,1800,2200,2050
2016,August,31,72.00,1800,2250,2000
2017,February,23,72.00,2200,3000,2800
2017,January,29,72.00,2200,3200,2600
2016,August,09,72.50,1700,2200,1950
2014,September,02,73.00,0,2300,2200
2016,January,09,73.00,1600,2000,1800
2016,June,05,73.00,1600,2100,1900
2015,November,17,73.00,1700,2000,1800
2014,September,03,73.00,2100,2300,2200
2014,September,04,73.00,2100,2300,2200
2016,May,05,74.00,1600,2100,1800
2014,September,14,74.00,1800,2000,1900
2014,December,24,74.00,2500,2700,2600
2014,September,15,74.50,1800,2000,1900
2014,September,17,74.50,1800,2000,1900
2016,January,04,75.00,1600,2000,1800
2016,April,16,75.00,1600,2000,1800
2016,June,11,75.00,1600,2100,1850
2016,May,19,75.00,1600,2100,1850
2015,November,23,75.00,1700,2000,1800
2016,July,01,75.00,1700,2200,1950
2016,June,24,75.00,1700,2500,2000
2015,October,08,75.00,1800,2000,1900
2014,September,18,75.00,1800,2000,1900
2016,September,01,75.00,1800,2200,2000
2016,September,03,75.00,1800,2200,2000
2016,August,29,75.00,1800,2200,2000
2017,June,01,75.00,1800,2500,2300
2017,April,16,75.00,2150,3200,3150
2017,February,24,75.00,2200,3000,2800
2017,March,24,75.00,2350,3150,2750
2014,December,28,75.00,2500,2700,2600
2016,March,07,76.00,1600,2000,1800
2015,December,13,76.00,1600,2000,1800
2016,February,22,76.00,1600,2000,1800
2015,December,08,76.00,1700,2000,1800
2015,November,09,76.00,1700,2000,1800
2016,July,27,76.00,1700,2100,1950
2016,June,29,76.00,1700,2200,1950
2015,October,07,76.00,1800,2000,1900
2014,September,07,76.00,2100,2250,2150
2014,September,05,76.00,2100,2300,2200
2014,September,06,76.00,2100,2300,2200
2014,December,27,76.00,2500,2700,2600
2014,December,30,76.00,2500,2700,2600
2014,September,20,77.00,1800,2000,1900
2014,September,10,77.50,1800,2000,1900
2014,September,19,77.80,1800,2000,1900
2016,May,01,78.00,1600,2000,1800
2016,March,09,78.00,1600,2000,1800
2016,March,11,78.00,1600,2000,1800
2016,March,21,78.00,1600,2000,1800
2016,May,25,78.00,1700,2000,1850
2016,August,08,78.00,1700,2200,1950
2016,August,01,78.00,1700,2200,2050
2014,September,13,78.00,1800,2000,1900
2017,June,02,78.00,1800,2500,2300
2014,September,09,78.00,2100,2300,2200
2016,March,15,79.00,1600,2000,1800
2016,January,19,79.00,1600,2000,1800
2015,December,26,79.00,1600,2000,1800
2016,April,27,79.00,1600,2000,1800
2016,January,25,79.00,1600,2100,1800
2016,September,09,79.00,1700,2150,1950
2015,October,03,79.00,1800,2000,1900
2015,September,01,79.00,1800,2100,1950
2017,May,26,79.00,1900,2700,2450
2017,March,30,79.00,2350,3200,3000
2016,July,08,80.00,1700,2100,1900
2016,June,22,80.00,1700,2200,2000
2014,September,11,80.00,1800,2000,1900
2016,September,05,80.00,1800,2150,2000
2017,February,20,80.00,1800,2800,2300
2017,May,31,80.00,1900,2700,2450
2017,February,06,80.00,2200,3200,3150
2017,March,06,80.00,2350,3000,2700
2017,March,02,80.00,2350,3400,3350
2017,August,16,80.00,2550,3400,3000
2015,December,09,82.00,1600,2000,1800
2016,January,11,82.00,1600,2000,1800
2016,June,10,82.00,1700,2100,1900
2016,July,28,82.00,1700,2100,1900
2014,September,21,82.00,1800,2000,1900
2014,September,22,82.00,1800,2000,1900
2015,October,06,82.00,1800,2100,1950
2016,June,21,83.00,1600,2100,1850
2016,June,08,83.00,1700,2100,1900
2016,May,22,83.00,1700,2100,1920
2016,March,29,84.00,1600,2000,1800
2016,March,18,84.00,1600,2100,1850
2015,October,21,84.00,1700,2000,1800
2016,August,30,84.00,1800,2200,2000
2017,May,06,84.00,1980,2800,2550
2015,January,12,84.00,2500,2700,2600
2016,January,01,85.00,1600,2000,1800
2016,February,03,85.00,1600,2000,1800
2015,December,10,85.00,1600,2000,1800
2016,March,16,85.00,1600,2000,1800
2016,January,22,85.00,1600,2000,1800
2015,December,23,85.00,1600,2000,1800
2016,June,07,85.00,1600,2100,1850
2015,December,06,85.00,1700,2000,1800
2015,November,15,85.00,1700,2000,1800
2015,November,21,85.00,1700,2000,1800
2016,June,09,85.00,1700,2100,1900
2016,July,13,85.00,1700,2100,1900
2016,July,20,85.00,1700,2100,1900
2016,July,21,85.00,1700,2200,1950
2016,July,30,85.00,1700,2250,1950
2018,May,09,85.00,1750,2500,2450
2015,August,25,85.00,1800,2000,1950
2015,August,30,85.00,1800,2100,1900
2016,September,25,85.00,1800,2150,1950
2016,August,26,85.00,1800,2150,2000
2016,September,06,85.00,1800,2200,2000
2016,September,07,85.00,1800,2200,2000
2015,April,20,85.00,1900,2100,2000
2017,April,25,85.00,1950,2700,2400
2017,May,11,85.00,1980,2800,2650
2015,April,06,85.00,2000,2200,2050
2016,November,02,85.00,2000,2300,2100
2017,April,04,85.00,2050,2800,2350
2017,April,12,85.00,2050,2800,2350
2017,January,19,85.00,2200,3100,2700
2017,January,24,85.00,2200,3100,2700
2017,March,21,85.00,2350,3150,2750
2017,February,14,85.00,2350,3500,3200
2015,January,06,85.00,2500,2700,2600
2015,January,13,85.00,2500,2700,2600
2014,December,25,85.00,2500,2700,2600
2017,August,21,85.00,2550,3370,2900
2016,March,14,85.50,1600,2000,1800
2014,September,24,85.50,1800,2050,1900
2016,February,12,86.00,1600,2000,1800
2016,January,18,86.00,1600,2000,1800
2016,January,23,86.00,1600,2000,1800
2016,May,04,86.00,1600,2100,1800
2016,January,13,86.00,1600,2100,1800
2015,November,05,86.00,1700,2000,1800
2015,October,26,86.00,1700,2000,1800
2015,October,29,86.00,1700,2000,1800
2015,August,14,86.00,1800,2100,1950
2015,July,15,86.00,1800,2100,1950
2016,June,02,86.00,1800,2100,2000
2014,September,25,86.00,1800,2450,1900
2015,May,08,86.00,1900,2100,2000
2015,May,23,86.00,1900,2100,2000
2015,October,15,86.20,1700,2000,1800
2016,August,03,86.20,1700,2200,1950
2015,May,16,86.50,1900,2000,1950
2015,December,20,87.00,1600,2000,1750
2016,February,01,87.00,1600,2000,1800
2016,April,05,87.00,1600,2000,1800
2016,February,06,87.00,1600,2000,1800
2015,December,18,87.00,1600,2000,1800
2016,January,27,87.00,1600,2000,1800
2015,December,29,87.00,1600,2000,1800
2015,November,04,87.00,1700,2000,1800
2015,November,08,87.00,1700,2000,1800
2015,November,19,87.00,1700,2000,1800
2015,October,18,87.00,1700,2000,1850
2016,June,18,87.00,1700,2200,1950
2015,September,05,87.00,1800,2100,1950
2015,August,16,87.00,1800,2100,1950
2015,September,21,87.00,1800,2100,1950
2015,May,25,87.00,1900,2100,2000
2015,January,16,87.00,2500,2700,2600
2014,September,27,88.00,1800,2050,1900
2015,July,30,88.50,1800,2100,1950
2015,December,15,89.00,1600,2000,1800
2016,February,18,89.00,1600,2000,1800
2016,March,04,89.00,1600,2100,1800
2016,April,25,89.00,1600,2100,1800
2016,February,29,89.00,1600,2100,1800
2015,November,06,89.00,1700,2000,1800
2015,November,20,89.00,1700,2000,1800
2015,October,14,89.00,1700,2000,1850
2015,August,09,89.00,1800,2100,1950
2015,August,13,89.00,1800,2100,1950
2015,May,19,89.00,1900,2100,2000
2015,May,24,89.00,1900,2100,2000
2015,April,05,89.50,2000,2200,2100
2016,March,02,90.00,1600,2000,1800
2016,February,13,90.00,1600,2100,1800
2015,July,31,90.00,1800,2000,1950
2016,October,12,90.00,1800,2200,2000
2016,November,11,90.00,1800,2300,2000
2014,October,26,90.00,1810,2000,1920
2015,April,18,90.00,1900,2100,2000
2015,May,26,90.00,1900,2100,2000
2015,April,22,90.00,1900,3000,2000
2017,April,21,90.00,1950,2700,2400
2017,April,24,90.00,1950,2700,2400
2017,May,03,90.00,1970,2750,2450
2017,May,04,90.00,1970,2750,2450
2017,April,28,90.00,1970,2750,2450
2017,May,09,90.00,1980,2800,2550
2016,December,07,90.00,2000,2500,2300
2017,April,03,90.00,2050,2800,2350
2017,June,12,90.00,2150,2950,2680
2017,June,19,90.00,2175,3000,2700
2017,February,28,90.00,2200,2800,2600
2017,February,02,90.00,2200,3200,2600
2019,May,24,90.00,2300,3100,2800
2017,October,10,90.00,2320,3220,2800
2017,March,17,90.00,2350,3200,2800
2017,March,20,90.00,2350,3200,2800
2017,March,31,90.00,2350,3200,3000
2015,January,05,90.00,2500,2700,2600
2017,September,04,90.00,2600,3400,3000
2014,September,26,91.00,1800,2050,1900
2016,March,08,92.00,1600,1900,1800
2015,December,16,92.00,1600,2000,1750
2016,February,04,92.00,1600,2000,1800
2016,January,17,92.00,1600,2000,1800
2016,March,17,92.00,1600,2000,1800
2015,December,22,92.00,1600,2000,1800
2015,December,28,92.00,1600,2000,1800
