year,month,date,arrival,min,max,modal
2019,September,07,15.00,2200,2300,2250
2019,March,13,19.00,1800,2100,1900
2019,June,28,20.00,1900,2200,2050
2018,August,02,25.00,1800,2000,1900
2019,November,15,25.00,1900,2000,1950
2018,September,09,28.00,1800,2000,1900
2018,August,13,28.00,1800,2000,1900
2019,March,11,28.00,1800,2100,1900
2019,May,22,28.00,1800,2100,2000
2019,August,13,28.00,1900,2150,2000
2018,November,08,28.00,2080,2320,2200
2018,July,20,28.50,1800,2000,1900
2018,August,09,29.00,1800,1900,1850
2018,September,01,29.00,1800,2000,1900
2019,January,24,29.00,1800,2100,2000
2018,December,24,29.00,2050,2200,2100
2018,September,21,30.00,1750,1900,1850
2018,August,08,30.00,1800,1900,1800
2018,November,02,30.00,1800,2000,1900
2018,August,15,30.00,1800,2000,1900
2018,August,18,30.00,1800,2000,1900
2019,March,24,30.00,1800,2000,1900
2019,March,08,30.00,1800,2100,1900
2019,January,25,30.00,1800,2100,2000
2019,February,13,30.00,1800,2100,2050
2019,March,06,30.00,1800,2200,1950
2019,July,01,30.00,1900,2100,2000
2019,June,21,30.00,1900,2150,2000
2018,December,16,30.00,2000,2150,2150
2019,April,16,30.00,2000,2200,2100
2018,December,18,30.00,2000,2200,2150
2019,April,05,30.00,2100,2300,2250
2018,December,11,30.00,2100,2300,2250
2019,May,20,30.00,2100,2350,2300
2018,October,09,30.00,2150,2350,2250
2019,April,23,30.00,2150,2400,2250
2019,April,30,30.00,2150,2400,2250
2019,January,14,30.00,2200,2500,2400
2018,August,06,32.00,1750,1900,1800
2018,July,21,32.00,1800,2000,1900
2018,December,13,32.00,2100,2300,2250
2019,February,22,34.00,1800,2000,1900
2018,December,31,34.00,1800,2100,2000
2018,September,04,35.00,1800,2000,1900
2019,February,06,35.00,1800,2000,1900
2018,August,23,35.00,1800,2000,1900
2018,August,24,35.00,1800,2000,1900
2019,February,25,35.00,1800,2000,1900
2018,July,26,35.00,1800,2000,1900
2018,July,27,35.00,1800,2000,1900
2019,November,11,35.00,1900,2000,1950
2019,August,03,35.00,1900,2100,2000
2019,June,18,35.00,1900,2100,2000
2019,August,17,35.00,1900,2150,2050
2019,October,14,35.00,1900,2200,2050
2018,December,07,35.00,2080,2320,2220
2019,May,06,35.00,2100,2300,2200
2018,October,08,35.00,2150,2350,2250
2019,April,29,35.00,2150,2400,2250
2019,May,07,35.00,2200,2300,2250
2019,February,11,36.00,1800,2000,2000
2019,March,14,36.00,1800,2100,2000
2019,March,27,36.00,1850,2200,2000
2019,June,01,36.00,1900,2300,2100
2019,April,25,37.50,2150,2400,2250
2019,February,27,38.00,1800,2050,1900
2019,November,19,38.00,1900,2100,2000
2019,August,09,38.00,1900,2200,2100
2018,November,17,38.00,2080,2320,2220
2019,May,13,38.00,2100,2300,2250
2018,November,26,38.00,2100,2300,2250
2019,June,07,40.00,1800,2000,1850
2019,March,05,40.00,1800,2000,1900
2018,August,14,40.00,1800,2000,1900
2018,August,16,40.00,1800,2000,1900
2019,March,20,40.00,1800,2000,1900
2018,July,23,40.00,1800,2000,1900
2018,July,30,40.00,1800,2000,1900
2019,February,12,40.00,1800,2050,2000
2019,February,01,40.00,1800,2100,2000
2019,January,11,40.00,1800,2100,2000
2018,December,27,40.00,1800,2100,2000
2019,May,23,40.00,1800,2200,2050
2019,October,22,40.00,1900,2000,1950
2019,July,02,40.00,1900,2100,2000
2019,July,11,40.00,1900,2100,2000
2019,June,11,40.00,1900,2100,2000
2019,November,12,40.00,1900,2100,2000
2019,July,16,40.00,1900,2100,2000
2019,July,17,40.00,1900,2100,2000
2019,September,30,40.00,1900,2200,2050
2019,August,22,40.00,1900,2200,2100
2019,June,24,40.00,1900,2250,2150
2019,May,30,40.00,1900,2300,2100
2019,January,18,40.00,2000,2200,2100
2018,December,26,40.00,2000,2200,2100
2019,September,20,40.00,2000,2200,2150
2018,December,23,40.00,2050,2200,2100
2018,December,01,40.00,2100,2300,2250
2019,April,03,40.00,2100,2300,2250
2019,April,04,40.00,2100,2300,2250
2018,November,19,40.00,2100,2300,2250
2018,November,29,40.00,2100,2300,2250
2019,May,12,40.00,2100,2350,2200
2019,September,16,40.00,2150,2300,2200
2019,May,15,40.00,2150,2300,2250
2019,April,24,40.00,2150,2400,2250
2019,April,26,40.00,2150,2400,2250
2019,January,17,40.00,2200,2400,2300
2019,January,04,40.00,2200,2500,2400
2019,January,09,40.00,2200,2500,2400
2019,June,04,41.00,1800,2000,1850
2019,April,17,41.00,2000,2200,2100
2018,November,21,41.00,2100,2300,2250
2019,May,09,41.00,2150,2400,2250
2019,January,05,41.00,2200,2500,2400
2019,June,12,42.00,1900,2100,2000
2019,July,30,42.00,1900,2100,2000
2019,August,27,42.00,1900,2150,2050
2019,September,26,42.00,2000,2200,2100
2018,August,04,43.00,1800,2000,1900
2018,July,25,43.00,1800,2000,1900
2019,July,08,45.00,1900,2100,2000
2019,November,21,45.00,1900,2100,2000
2019,August,29,45.00,1900,2100,2000
2019,August,28,45.00,1900,2150,2000
2019,October,29,45.00,1900,2150,2050
