year,month,date,arrival,min,max,modal
2018,December,24,20.00,4700,5350,5150
2019,September,30,24.00,5800,6500,6400
2018,June,07,25.00,4500,5300,5200
2019,July,08,25.00,5700,5900,5800
2019,May,10,26.00,5300,6000,5800
2019,May,31,28.00,5200,6400,6200
2019,July,12,28.00,5500,5850,5700
2017,October,04,29.00,5200,5300,5250
2019,October,22,29.00,6150,6800,6700
2018,June,04,30.00,4500,5100,5000
2019,May,22,30.00,4900,5500,5400
2019,May,02,30.00,5000,5800,5700
2019,April,26,30.00,5000,5900,5700
2019,April,02,30.00,5100,5350,5300
2019,April,05,30.00,5100,5400,5300
2017,September,19,30.00,5150,5300,5280
2018,November,26,30.00,5200,5500,5350
2019,March,30,30.00,5200,5800,5700
2019,May,06,30.00,5200,5900,5800
2019,May,07,30.00,5200,6000,5800
2019,May,15,30.00,5200,6000,5800
2019,June,03,30.00,5200,6200,6200
2019,June,01,30.00,5200,6400,6250
2019,April,24,30.00,5250,5500,5400
2019,April,30,30.00,5250,5500,5400
2019,June,14,30.00,5400,5600,5500
2019,June,15,30.00,5400,5600,5500
2017,September,16,30.00,5550,7850,7150
2019,June,24,30.00,5600,5800,5700
2019,June,25,30.00,5600,5800,5700
2019,July,01,30.00,5600,5900,5700
2019,July,02,30.00,5600,5900,5700
2019,July,10,30.00,5600,5900,5800
2019,July,29,30.00,5600,5950,5800
2019,July,30,30.00,5600,5950,5800
2019,July,20,30.00,5600,5960,5800
2019,July,22,30.00,5600,6000,5800
2019,November,15,30.00,5600,6500,6300
2019,November,10,30.00,5700,6500,6400
2019,November,12,30.00,5700,6500,6400
2019,August,29,30.00,5900,6400,5970
2019,September,06,30.00,5900,6500,6000
2019,September,18,30.00,5970,6600,6200
2019,November,18,30.00,6100,6500,6500
2019,October,19,30.00,6200,7000,6500
2019,October,11,30.00,6200,7000,6600
2019,October,17,30.00,6200,7000,6600
2018,June,21,31.00,4600,5250,5100
2017,November,03,32.00,4600,5200,5000
2019,March,11,32.00,4900,5700,5200
2019,March,13,32.00,5000,5700,5300
2017,October,03,32.00,5200,5300,5250
2019,July,19,32.00,5600,5960,5800
2019,December,05,32.00,6200,6300,6300
2019,May,21,34.00,4900,5400,5350
2019,September,03,34.00,5960,6500,6000
2019,March,14,34.50,5120,5930,5800
2018,May,07,35.00,4000,5600,4900
2018,April,21,35.00,4100,6100,4900
2018,February,15,35.00,4350,6100,4600
2018,September,15,35.00,4550,4800,4600
2018,February,02,35.00,4650,5200,5000
2019,February,02,35.00,4800,5400,5200
2017,December,19,35.00,4900,5250,5100
2019,March,05,35.00,4900,5600,5200
2017,November,29,35.00,4950,5150,5100
2019,May,16,35.00,5000,5800,5700
2019,April,03,35.00,5100,5350,5300
2018,October,15,35.00,5100,5450,5350
2019,March,15,35.00,5120,5930,5800
2017,September,18,35.00,5150,5300,5280
2019,April,25,35.00,5250,5500,5400
2019,June,06,35.00,5350,5500,5400
2019,June,18,35.00,5500,5700,5600
2019,June,19,35.00,5500,5700,5600
2019,August,02,35.00,5500,5970,5800
2019,August,06,35.00,5800,6200,6050
2019,August,22,35.00,5800,6300,5900
2019,September,26,35.00,5800,6500,6200
2019,October,25,35.00,5800,6500,6300
2019,December,06,35.00,6200,6300,6300
2019,December,07,35.00,6200,6300,6300
2018,April,25,36.00,4100,5800,4500
2018,May,16,36.00,4200,5900,4800
2018,June,22,36.00,4500,5300,4900
2018,August,02,36.00,4700,5300,5100
2017,November,16,36.00,4800,5400,5000
2017,October,17,36.00,5100,5200,5150
2017,October,06,36.00,5100,5300,5140
2019,November,21,36.00,6000,6400,6300
2019,October,14,36.00,6200,7000,6600
2019,February,22,36.50,5000,5900,5800
2019,October,01,36.50,6100,6900,6700
2017,December,18,37.00,4700,5000,4900
2018,November,02,37.00,4700,5300,5100
2017,November,18,37.00,4750,5400,5000
2018,September,27,37.00,4950,5600,5050
2018,April,11,38.00,4100,6100,4800
2018,April,07,38.00,4200,6100,4600
2018,March,14,38.00,4300,6200,5100
2018,February,14,38.00,4350,6100,4600
2017,November,08,38.00,4600,5200,5000
2018,August,28,38.00,4600,5300,5100
2018,August,18,38.00,4700,5200,5100
2018,December,01,38.00,4700,5300,5000
2017,November,12,38.00,4800,5400,5000
2017,November,14,38.00,4800,5400,5000
2019,January,21,38.00,4800,5500,5200
2018,February,03,38.00,4900,5100,4900
2019,February,21,38.00,5000,5900,5800
2019,April,29,38.00,5000,6000,5700
2017,October,30,38.00,5050,5250,5200
2018,September,20,38.00,5050,5600,5100
2017,October,20,38.00,5100,5200,5150
2017,October,13,38.00,5100,5320,5250
2017,October,27,38.00,5150,5250,5200
2019,March,27,38.00,5200,5800,5700
2019,April,20,38.00,5300,5800,5500
2019,September,10,38.00,5400,5950,5850
2019,August,17,38.00,5700,6200,5850
2019,August,07,38.00,5800,6200,6050
2019,October,24,38.00,6000,6700,6600
2018,April,06,39.00,4300,6700,5200
2018,February,21,39.00,4500,6300,4850
2018,January,09,39.00,4600,5100,4900
2017,November,10,39.00,4600,5200,5000
2017,November,13,39.00,4800,5400,5000
2017,November,22,39.00,4900,5100,5000
2017,October,31,39.00,5050,5250,5200
2017,September,20,39.00,5150,5300,5280
2018,May,02,40.00,4000,6000,4900
2018,May,05,40.00,4000,6000,4900
2018,May,11,40.00,4100,6000,4800
2018,May,22,40.00,4100,6000,4900
2018,April,10,40.00,4100,6100,4800
2018,April,12,40.00,4100,6100,4800
2018,April,20,40.00,4100,6100,4900
2018,April,18,40.00,4200,6000,4700
2018,April,19,40.00,4200,6000,4700
2018,April,03,40.00,4200,6100,4400
2018,March,19,40.00,4300,6000,4900
2018,March,15,40.00,4300,6200,5100
2018,June,26,40.00,4500,5300,4900
2018,July,13,40.00,4500,5300,5000
2018,January,17,40.00,4600,5100,4900
2018,December,07,40.00,4600,5200,5000
2018,September,07,40.00,4600,5200,5000
2017,November,09,40.00,4600,5200,5000
2019,January,11,40.00,4600,5300,5000
2018,August,23,40.00,4600,5400,5250
2018,July,12,40.00,4650,5500,5250
2018,January,01,40.00,4700,5200,5100
2018,January,04,40.00,4700,5200,5100
2017,December,28,40.00,4700,5200,5100
2018,June,12,40.00,4700,5300,5000
2018,November,29,40.00,4700,5300,5000
2019,January,02,40.00,4700,5300,5100
2019,January,09,40.00,4700,5300,5100
2018,December,14,40.00,4700,5300,5100
2019,March,20,40.00,4700,5400,5100
2017,December,11,40.00,4700,5450,5150
2017,December,03,40.00,4720,5450,5150
2018,September,06,40.00,4800,5200,5100
2018,September,10,40.00,4800,5200,5100
2018,June,13,40.00,4800,5300,5000
2017,November,15,40.00,4800,5400,5000
2018,July,19,40.00,4800,5400,5100
2019,January,24,40.00,4800,5400,5200
2019,March,25,40.00,4800,5400,5200
2018,November,08,40.00,4800,5450,5300
2019,January,25,40.00,4800,5500,5200
2019,February,11,40.00,4800,5500,5300
2019,February,12,40.00,4800,5500,5300
2018,January,22,40.00,4900,5100,4900
2018,January,25,40.00,4900,5100,4950
2019,March,06,40.00,4900,5600,5200
2019,March,12,40.00,5000,5700,5300
2019,February,27,40.00,5000,6000,5800
2019,January,05,40.00,5050,5200,5100
2017,October,16,40.00,5100,5200,5150
2017,October,21,40.00,5100,5200,5150
2017,September,25,40.00,5100,5200,5150
2018,October,06,40.00,5100,5480,5400
2019,March,17,40.00,5120,5930,5800
2017,October,25,40.00,5150,5250,5200
2017,September,21,40.00,5150,5300,5280
2019,April,04,40.00,5200,5400,5350
2019,March,26,40.00,5200,5800,5700
2019,March,02,40.00,5200,6000,5850
2019,April,23,40.00,5250,5500,5400
2019,April,17,40.00,5300,5800,5450
2019,June,07,40.00,5350,5500,5400
2019,June,11,40.00,5400,5600,5500
2019,June,12,40.00,5400,5600,5550
2019,September,09,40.00,5400,5950,5850
2019,September,16,40.00,5400,5950,5850
2019,June,20,40.00,5500,5800,5650
2019,August,03,40.00,5500,5970,5800
2019,May,28,40.00,5500,6200,5800
2019,July,03,40.00,5600,5900,5750
2019,July,11,40.00,5600,5900,5800
2019,July,17,40.00,5600,5900,5800
2019,August,09,40.00,5600,6000,5700
2019,August,13,40.00,5600,6000,5700
2019,November,11,40.00,5700,6500,6400
2019,November,14,40.00,5700,6500,6450
2019,August,08,40.00,5800,6200,6050
2019,August,21,40.00,5800,6300,5900
2019,August,27,40.00,5900,6400,5970
2019,September,21,40.00,5900,6500,6150
2019,August,30,40.00,5950,6400,6000
2019,September,04,40.00,5960,6500,6100
2019,September,17,40.00,5970,6600,6200
2019,September,24,40.00,5990,6700,6500
2019,September,25,40.00,5990,6700,6500
2019,November,22,40.00,6000,6400,6300
2019,November,20,40.00,6000,6500,6400
2019,October,29,40.00,6200,6700,6600
2018,March,28,41.00,4100,5800,5400
2018,April,02,41.00,4200,6100,4500
2018,January,16,41.00,4600,5100,4900
2017,November,06,41.00,4600,5200,5000
2017,November,07,41.00,4600,5200,5000
2018,March,12,41.00,4600,6400,4900
2018,January,30,41.00,4650,5200,5000
2018,January,02,41.00,4700,5200,5100
2019,February,01,41.00,4700,5300,5100
2018,September,01,41.00,4800,5200,5100
2018,January,24,41.00,4900,5100,4950
2017,December,21,41.00,4900,5250,5100
2019,February,24,41.00,5000,6000,5800
2017,September,26,41.00,5100,5200,5150
2018,October,11,41.00,5100,5480,5400
2017,October,24,41.00,5150,5250,5200
2018,February,19,42.00,4500,6300,4850
2018,February,20,42.00,4500,6300,4850
2018,September,14,42.00,4550,4800,4600
2018,July,27,42.00,4700,5300,5100
2018,July,18,42.00,4800,5400,5100
2018,February,06,42.00,4900,5100,4950
2018,September,21,42.00,5050,5600,5100
2017,October,11,42.00,5100,5320,5250
2018,March,27,43.00,4100,5800,5400
2018,April,04,43.00,4200,6100,4400
2018,April,05,43.00,4200,6100,4400
2018,February,23,43.00,4300,6300,4800
2018,February,12,43.00,4350,6100,4600
2018,March,26,43.00,4500,6300,4800
2018,January,10,43.00,4600,5100,4900
2018,January,18,43.00,4600,5100,4900
2018,September,04,43.00,4600,5200,5000
2018,December,11,43.00,4600,5200,5000
2017,November,21,43.00,4600,5200,5000
2018,May,28,43.00,4600,5200,5000
2017,December,13,43.00,4700,5000,4900
2018,January,05,43.00,4700,5200,5100
2017,December,29,43.00,4700,5200,5100
2017,December,06,43.00,4720,5450,5150
2017,November,20,43.00,4750,5400,5000
2018,August,24,43.00,4750,5500,5250
2019,January,18,43.00,4800,5400,5200
2017,December,20,43.00,4900,5250,5100
2018,July,23,43.00,4900,5500,5200
2018,September,25,43.00,4950,5600,5050
2017,November,01,43.00,5050,5250,5200
2017,September,22,43.00,5100,5200,5150
2017,October,10,43.00,5100,5320,5250
2018,November,19,43.00,5200,5500,5300
2019,August,05,43.00,5800,6200,6050
2018,October,05,43.50,5100,5480,5400
2018,March,29,45.00,4100,5800,5400
2018,February,22,45.00,4300,6300,4800
2018,February,13,45.00,4350,6100,4600
2018,July,26,45.00,4500,5300,5100
2018,August,07,45.00,4500,5300,5200
2018,September,13,45.00,4550,4800,4600
2018,August,21,45.00,4600,5400,5250
2017,December,12,45.00,4700,5000,4900
2018,January,03,45.00,4700,5200,5100
2017,December,26,45.00,4700,5200,5100
2018,August,01,45.00,4700,5300,5100
2018,February,26,45.00,4700,6400,4800
2017,December,08,45.00,4720,5450,5150
2018,August,27,45.00,4750,5500,5250
2018,August,04,45.00,4800,5300,5100
2018,January,20,45.00,4900,5100,4950
2017,November,30,45.00,4950,5150,5100
2018,September,24,45.00,5100,5700,5150
2018,July,25,46.00,4500,5300,5100
2017,December,04,46.00,4720,5450,5150
2018,August,08,48.00,4500,5400,5200
2018,March,06,50.00,4300,6100,4800
2018,March,05,50.00,4300,6300,4700
2018,February,17,50.00,4400,6100,4600
2018,July,24,50.00,4500,5300,5100
2018,August,06,50.00,4500,5300,5200
2018,January,11,50.00,4600,5100,4900
2018,January,12,50.00,4600,5100,4900
2018,August,20,50.00,4600,5400,5250
2018,March,09,50.00,4600,6400,4900
2018,January,29,50.00,4650,5200,5000
2018,January,06,50.00,4700,5250,5100
2018,August,14,50.00,4700,5300,5100
2018,February,28,50.00,4700,6400,4800
2018,July,30,50.00,4800,5300,5200
2018,August,16,50.00,4800,5350,5200
2017,December,27,50.00,4900,5250,5100
2017,October,09,50.00,5100,5300,5140
2018,March,08,52.00,4300,6100,4800
2018,December,24,20.00,5400,6000,5900
2019,September,30,24.00,6800,7850,7550
2018,June,07,25.00,5300,5700,5600
2019,July,08,25.00,6000,7300,7200
2017,August,21,26.00,5400,7800,7500
2019,May,10,26.00,5800,6500,6400
2019,May,31,28.00,5800,6700,6500
2019,July,12,28.00,6050,7400,7250
2017,August,29,29.00,5450,7800,7650
2017,October,04,29.00,6100,7900,7350
2019,October,22,29.00,6900,8000,7900
2017,September,16,30.00,5150,5300,5280
2018,June,04,30.00,5400,6500,6300
2017,August,31,30.00,5400,7800,7550
2017,September,12,30.00,5450,7800,7650
2019,May,22,30.00,5530,6000,5900
2017,September,19,30.00,5550,7850,7150
2019,May,02,30.00,5700,6200,6100
2019,April,26,30.00,5700,6200,6100
2019,June,14,30.00,5700,7000,7000
2019,June,15,30.00,5700,7200,7000
2019,May,06,30.00,5800,6500,6400
2019,May,07,30.00,5800,6500,6400
2019,May,15,30.00,5800,6600,6400
2019,March,30,30.00,5800,6700,6400
2019,June,01,30.00,5800,6700,6500
2019,June,03,30.00,5800,6700,6500
2019,June,24,30.00,5900,7200,7100
2019,June,25,30.00,5900,7200,7100
2019,July,01,30.00,5950,7300,7120
2019,July,02,30.00,5950,7300,7120
2019,July,10,30.00,6050,7400,7250
2019,July,18,30.00,6100,7500,7100
2019,July,20,30.00,6150,7570,7200
2018,November,26,30.00,6200,7000,6650
2019,July,22,30.00,6200,7570,7200
2019,July,29,30.00,6200,7600,7200
2019,July,30,30.00,6200,7600,7200
2019,October,19,30.00,6500,7900,7100
2019,September,06,30.00,6700,7800,7500
2019,August,29,30.00,6700,8000,7650
2019,April,02,30.00,6800,7650,7600
2019,April,05,30.00,6800,7700,7600
2019,September,18,30.00,6800,7900,7700
2019,November,18,30.00,6900,8100,7900
2019,October,11,30.00,7100,8300,7900
2019,October,17,30.00,7100,8300,7900
2019,November,15,30.00,7350,8200,7950
2019,November,10,30.00,7400,8200,8000
2019,November,12,30.00,7400,8200,8000
2019,April,24,30.00,7500,7800,7650
