year,month,date,arrival,min,max,modal
2019,May,03,10.00,3700,5800,4500
2019,March,28,15.00,3750,6000,4900
2019,May,08,15.00,3800,5900,5000
2019,July,10,15.00,4800,5900,5500
2019,May,07,16.00,3720,5900,4800
2019,May,29,18.00,3900,6100,5300
2019,June,28,18.00,4400,5900,5000
2019,April,02,18.00,4800,5200,5000
2019,April,05,18.00,4800,5200,5000
2019,April,06,18.00,4800,5250,5050
2019,August,21,18.00,5000,5900,5800
2019,August,22,18.00,5000,5900,5800
2019,October,22,18.00,5800,6300,6000
2019,May,22,19.00,3900,6100,5500
2019,April,03,19.00,4800,5200,5000
2019,October,15,19.00,5800,6300,6100
2018,September,14,20.00,3500,4150,4050
2018,October,15,20.00,3600,5400,4050
2018,August,07,20.00,3600,5900,4800
2018,August,02,20.00,3600,6050,4200
2019,March,05,20.00,3650,5800,4400
2019,March,08,20.00,3650,5850,4500
2019,March,10,20.00,3700,5900,4500
2018,August,29,20.00,3700,5900,4500
2019,May,30,20.00,3700,5900,4500
2019,February,28,20.00,3700,5900,4600
2019,March,01,20.00,3700,5900,4700
2019,March,19,20.00,3700,6000,4200
2019,February,25,20.00,3700,6000,4600
2019,February,27,20.00,3700,6000,4700
2019,March,30,20.00,3750,6000,4900
2019,March,17,20.00,3750,6020,4800
2019,March,18,20.00,3750,6020,4800
2019,June,03,20.00,3800,5900,5200
2019,May,17,20.00,3800,6000,4800
2019,May,23,20.00,4000,6150,5500
2019,April,28,20.00,4500,5800,5000
2019,June,15,20.00,4500,5900,5100
2019,June,21,20.00,4500,5900,5100
2019,June,27,20.00,4600,6930,5350
2019,July,08,20.00,4700,5950,5400
2019,July,09,20.00,4700,6000,5400
2019,April,09,20.00,4800,5200,5000
2019,June,04,20.00,4800,5200,5050
2019,July,11,20.00,4800,5900,5500
2019,July,12,20.00,4800,6000,5550
2019,April,16,20.00,4850,5100,4950
2019,April,19,20.00,4850,5200,4950
2019,July,29,20.00,4920,5970,5700
2019,July,30,20.00,4920,5970,5700
2019,July,31,20.00,4920,6000,5700
2019,August,17,20.00,4930,5950,5800
2019,August,03,20.00,4930,5980,5720
2019,August,31,20.00,5000,6000,5700
2019,November,14,20.00,5000,6200,6050
2019,November,10,20.00,5200,6000,6000
2019,September,30,20.00,5400,6000,5800
2019,September,09,20.00,5450,5650,5600
2019,August,09,20.00,5500,5700,5550
2019,September,06,20.00,5500,5900,5700
2019,September,04,20.00,5500,6070,5900
2019,October,04,20.00,5500,6200,5900
2019,October,03,20.00,5500,6200,6000
2019,October,10,20.00,5500,6400,6200
2019,September,18,20.00,5600,6100,5950
2019,September,23,20.00,5600,6200,6000
2019,October,16,20.00,5600,6400,5750
2019,October,20,20.00,5600,6400,5750
2019,December,07,20.00,5700,6300,6200
2019,October,24,20.00,5800,6300,6000
2019,October,01,20.00,5900,6400,6200
2019,March,15,21.00,3730,6020,4700
2018,October,09,21.00,3850,5600,4200
2019,July,02,21.00,4700,5950,5400
2019,April,20,21.00,4850,5100,4950
2019,October,25,21.00,5500,6000,5800
2018,July,20,23.00,3500,6000,4500
2019,April,26,23.00,3700,5800,4500
2019,April,04,23.00,4800,5200,5000
2018,September,09,24.00,3800,4500,4000
2018,September,26,24.00,3850,5600,4200
2019,July,03,24.00,4700,6000,5500
2019,April,17,24.00,4850,5200,4950
2019,August,28,24.00,5000,6000,5950
2018,July,17,25.00,3500,6000,4500
2018,October,20,25.00,3600,5400,4050
2018,September,06,25.00,3600,6000,4000
2018,December,31,25.00,3600,6050,4300
2018,December,18,25.00,3700,5900,4500
2019,February,22,25.00,3700,5900,4600
2019,March,02,25.00,3700,5900,4700
2019,May,06,25.00,3720,5900,4800
2019,March,14,25.00,3730,6020,4700
2019,March,27,25.00,3750,6000,4900
2019,May,10,25.00,3800,5900,4800
2019,February,17,25.00,3800,6000,4300
2018,September,25,25.00,3850,5600,4200
2018,September,28,25.00,3850,5600,4250
2019,May,24,25.00,4000,5800,5550
2019,June,17,25.00,4500,5800,5000
2019,June,25,25.00,4600,6930,5300
2019,July,16,25.00,4900,5950,5600
2019,July,17,25.00,4900,5950,5600
2019,August,14,25.00,4900,6000,5700
2019,August,27,25.00,5000,6000,5900
2019,November,15,25.00,5200,6200,6000
2019,August,05,25.00,5500,5700,5550
2019,November,18,25.00,5600,6100,6100
2019,September,19,25.00,5600,6150,6000
2019,September,25,25.00,5600,6200,6000
2019,October,29,25.00,5700,6200,6200
2019,December,05,25.00,5700,6300,6200
2018,December,24,26.00,3600,6050,4200
2018,August,13,26.00,3700,5900,4100
2019,March,29,26.00,3800,6000,4950
2019,July,18,26.00,4800,5900,5500
2019,November,12,26.00,5200,6000,6000
2019,September,27,26.00,5500,6000,5850
2019,September,21,26.00,5600,6200,5950
2019,December,06,26.00,5700,6300,6200
2019,October,17,26.00,5900,6100,5900
2019,March,06,27.00,3650,5800,4400
2019,February,14,27.00,3700,6000,4300
2019,October,14,27.00,5800,6300,6100
2018,August,12,28.00,3600,5900,4850
2018,November,02,28.00,3600,6000,4000
2018,December,07,28.00,3600,6000,4000
2019,January,24,28.00,3650,5930,4500
2019,March,12,28.00,3700,5900,4500
2019,February,21,28.00,3700,5900,4600
2019,February,24,28.00,3700,5900,4600
2019,June,01,28.00,3700,5900,4650
2019,January,30,28.00,3700,6000,4200
2019,February,20,28.00,3700,6000,4400
2018,September,20,28.00,3800,5600,4200
2019,April,23,28.00,3800,5800,4900
2019,May,09,28.00,3800,5950,4850
2019,February,13,28.00,3800,6000,4300
2018,December,13,28.00,3800,6000,4500
2018,September,27,28.00,3850,5600,4200
2019,May,27,28.00,3900,6100,5200
2019,July,01,28.00,4700,5950,5400
2018,November,21,28.00,4800,8050,5200
2019,July,22,28.00,4950,5970,5700
2019,September,20,28.00,5000,5500,5300
2019,January,09,28.00,5050,7250,5100
2019,November,11,28.00,5200,6050,6000
2019,August,06,28.00,5500,5700,5550
2019,April,25,28.00,5800,6100,6000
2019,June,10,28.50,3800,6000,5300
2019,June,20,28.50,4600,6000,5200
2018,July,29,29.00,3700,6050,4500
2019,May,01,29.00,4500,5800,5000
2019,August,13,29.00,4900,5900,5700
2019,September,22,29.00,5600,6100,5950
2018,September,13,30.00,3500,4150,4050
2018,September,15,30.00,3500,4150,4050
2018,September,18,30.00,3500,4200,4100
2018,November,07,30.00,3500,5300,4500
2018,November,08,30.00,3500,5300,4500
2018,November,15,30.00,3500,5320,4500
2018,November,17,30.00,3500,5320,4500
2018,July,23,30.00,3500,6000,4550
2018,September,07,30.00,3600,4500,4250
2018,July,26,30.00,3600,5900,4100
2018,November,29,30.00,3600,5900,4200
2018,November,30,30.00,3600,5900,4200
2018,August,09,30.00,3600,5900,4800
2019,January,10,30.00,3600,6000,4000
2018,December,11,30.00,3600,6000,4000
2018,October,11,30.00,3600,6000,4000
2018,August,04,30.00,3600,6050,4200
2018,December,26,30.00,3600,6050,4200
2018,December,27,30.00,3600,6050,4200
2019,January,25,30.00,3650,5950,4500
2019,May,02,30.00,3700,5800,4500
2019,March,11,30.00,3700,5800,4500
2019,March,13,30.00,3700,5900,4500
2018,December,14,30.00,3700,5900,4500
2018,August,28,30.00,3700,5900,4500
2019,May,31,30.00,3700,5900,4500
2019,February,01,30.00,3700,6000,4200
2019,March,20,30.00,3700,6000,4200
2019,February,11,30.00,3700,6000,4250
2018,December,01,30.00,3700,6000,4500
2019,January,18,30.00,3750,5930,4600
2018,September,24,30.00,3800,5800,4200
2019,April,22,30.00,3800,5800,4900
2019,May,12,30.00,3800,5900,4800
2019,May,13,30.00,3800,5900,4850
2019,May,20,30.00,3800,5900,4850
2019,May,15,30.00,3800,5900,5000
2019,June,09,30.00,3800,5900,5200
2018,August,17,30.00,3800,6000,4200
2019,March,24,30.00,3800,6000,4300
2018,July,30,30.00,3800,6050,4500
2018,October,08,30.00,3850,5600,4200
2019,May,21,30.00,3900,6100,5500
2018,September,01,30.00,4100,4500,4250
2018,August,27,30.00,4150,4700,4500
2018,August,20,30.00,4250,4500,4350
2019,April,29,30.00,4500,5800,5000
2019,April,30,30.00,4500,5800,5000
2019,June,11,30.00,4500,5900,5100
2019,June,12,30.00,4500,5900,5100
2019,July,06,30.00,4700,5950,5400
2019,July,04,30.00,4700,6000,5400
2019,August,19,30.00,4800,5200,5000
2019,June,07,30.00,4800,5200,5050
2018,November,19,30.00,4800,8050,5200
2018,November,26,30.00,4800,8050,5200
2019,August,07,30.00,4900,5900,5700
2019,July,19,30.00,4920,5960,5700
2019,July,20,30.00,4920,5960,5700
2019,August,02,30.00,4930,5980,5720
2019,August,26,30.00,5000,5850,5700
2019,January,04,30.00,5050,7250,5100
2019,January,05,30.00,5050,7250,5100
2019,January,17,30.00,5050,7250,5100
2019,November,13,30.00,5200,6300,6050
2019,September,10,30.00,5450,5650,5600
2019,September,02,30.00,5500,6070,5900
2019,September,07,30.00,5500,6100,5900
2019,September,26,30.00,5500,6100,5900
2019,September,17,30.00,5600,6100,5950
2019,November,20,30.00,5600,6100,6000
2019,November,19,30.00,5600,6100,6100
2019,November,21,30.00,5650,6200,6100
2019,November,22,30.00,5650,6200,6100
2019,April,24,30.00,5800,6100,6000
2019,October,21,30.00,5800,6300,6000
2019,October,23,30.00,5800,6300,6000
2018,September,04,31.00,3600,6000,4000
2019,February,12,31.00,3700,6000,4250
2018,October,05,31.00,3850,5600,4200
2018,August,24,31.00,4150,4700,4500
2018,July,24,32.00,3600,5900,4100
2019,January,16,32.00,3600,6000,4000
2018,August,01,32.00,3600,6050,4200
2018,August,03,32.00,3600,6050,4200
2018,December,28,32.00,3600,6050,4300
2018,December,16,32.00,3700,5900,4500
2019,February,06,32.00,3700,6000,4400
2019,March,26,32.00,3750,6000,4900
2019,June,18,32.00,4600,5950,5200
2019,September,03,32.00,5500,6070,5900
2019,October,13,32.00,5600,6400,5750
2018,July,18,34.00,3500,6000,4500
2018,August,14,34.00,3700,5900,4100
2018,July,27,34.00,3700,6050,4500
2018,September,16,35.00,3500,4150,4050
2018,August,18,35.00,3500,5900,4100
2018,August,19,35.00,3500,5900,4100
2018,September,17,35.00,3600,4150,4100
2019,February,04,35.00,3630,5950,4300
2019,March,25,35.00,3700,6000,4200
2019,January,19,35.00,3800,5930,4600
2019,June,14,35.00,4500,6000,5200
2019,August,30,35.00,5000,6100,6000
