year,month,date,arrival,min,max,modal
2016,March,14,5.00,2000,2200,2100
2016,October,20,5.20,1100,1300,1250
2016,February,04,5.40,2000,2200,2100
2016,June,16,6.00,1200,1300,1250
2016,May,08,6.00,1600,1800,1750
2016,January,01,6.00,2000,2200,2100
2016,January,04,6.00,2000,2200,2100
2016,January,17,6.00,2000,2200,2200
2015,November,23,6.00,3500,4000,3800
2015,November,09,6.00,4000,4300,4200
2016,March,15,6.20,2200,2500,2400
2016,June,07,6.50,1400,1700,1550
2015,December,11,6.50,2500,3000,2800
2015,October,18,6.50,5000,6000,5500
2016,March,16,6.70,2000,2200,2100
2016,February,15,6.70,2000,2400,2250
2016,April,04,6.80,1800,2100,2000
2015,November,04,6.80,4000,4500,4200
2016,October,09,7.00,1200,1300,1250
2016,August,02,7.00,1400,1700,1550
2016,January,11,7.00,2000,2200,2200
2015,December,29,7.00,2000,2300,2200
2016,January,22,7.00,2200,2300,2300
2016,March,21,7.00,2200,2400,2300
2016,February,12,7.10,2100,2300,2200
2016,October,27,7.20,1200,1300,1250
2016,April,24,7.20,1400,1600,1600
2016,March,07,7.20,2000,2400,2200
2015,November,15,7.20,3500,4000,3800
2015,November,11,7.20,4000,4200,4150
2015,December,31,7.30,2000,2200,2100
2015,November,07,7.30,4000,4500,4200
2016,May,18,7.50,2000,2400,2300
2016,October,28,8.00,1150,1250,1200
2016,November,01,8.00,1200,1250,1250
2016,October,03,8.00,1300,1500,1400
2016,April,22,8.00,1500,1800,1700
2015,December,21,8.00,2500,2800,2600
2016,May,10,8.20,1200,1600,1500
2015,November,18,8.30,3800,4200,4000
2016,September,26,8.50,1300,1450,1400
2016,February,19,8.50,2000,2200,2100
2015,November,21,8.50,3500,3800,3600
2015,November,19,8.50,3800,4200,4000
2015,October,16,8.50,5000,6000,5500
2015,October,19,8.50,5000,6000,5500
2015,November,12,8.60,4000,4300,4200
2015,November,13,8.60,4000,4500,4200
2015,October,11,8.60,5500,6000,6000
2015,November,05,9.00,4000,4500,4200
2015,October,17,9.50,5000,6000,5500
2016,October,07,10.00,1150,1400,1250
2016,September,28,10.00,1300,1500,1400
2016,April,26,11.00,1200,1500,1400
2016,February,18,11.00,1800,2000,1900
2016,February,24,11.00,1800,2100,2000
2016,October,11,12.00,1100,1250,1200
2016,November,03,12.00,1150,1300,1250
2016,September,30,12.00,1200,1400,1350
2016,October,05,12.00,1200,1500,1350
2016,April,19,12.00,1200,1500,1350
2016,February,22,12.00,2000,2100,2050
2016,January,23,12.00,2000,2200,2100
2016,February,05,12.00,2000,2200,2150
2016,March,08,12.00,2000,2300,2200
2015,December,24,12.00,2500,2700,2650
2015,November,16,12.00,3800,4200,4000
2015,October,06,12.00,5500,6000,5800
2015,October,12,12.00,5500,6000,5800
2015,October,08,12.00,5500,6200,6000
2015,September,20,12.00,5500,6200,6000
2015,September,11,12.50,5000,6000,5500
2016,October,24,13.00,1150,1300,1250
2016,January,13,13.00,2100,2200,2200
2015,October,15,13.00,5000,6000,5500
2015,September,17,13.00,5500,6200,6000
2015,September,21,13.00,5500,6200,6000
2016,October,06,14.00,1200,1500,1400
2016,June,02,14.00,1400,1600,1500
2016,March,03,14.00,2100,2300,2250
2015,October,26,14.00,4500,5500,5000
2015,October,20,14.00,5000,6000,5500
2015,September,18,14.00,5500,6200,6000
2015,October,05,14.00,6000,6500,6200
2015,December,18,14.20,2500,3000,2800
2016,February,06,14.80,2000,2300,2200
2017,October,04,15.00,1250,1600,1550
2016,March,01,15.00,2000,2200,2100
