year,month,date,arrival,min,max,modal
2016,February,03,6.00,900,1200,1150
2016,April,17,6.00,1000,1200,1100
2016,May,10,6.00,1200,1600,1450
2016,March,04,6.20,900,1200,1050
2015,November,08,6.80,1800,2200,2000
2016,March,17,7.00,900,1200,1050
2016,February,04,7.00,900,1200,1150
2015,November,04,7.00,1000,1400,1150
2016,June,14,7.00,1400,1550,1500
2016,June,09,7.00,1400,1600,1550
2015,November,13,7.10,1400,1800,1600
2015,December,09,7.20,1500,1800,1650
2015,November,19,7.60,1100,1500,1300
2016,March,16,8.00,900,1100,1050
2016,March,10,8.00,1000,1200,1050
2016,January,04,8.00,1000,1200,1100
2016,January,23,8.00,1000,1200,1100
2016,June,17,8.00,1200,1400,1350
2016,May,14,8.00,1200,1500,1350
2016,May,22,8.00,1200,1500,1350
2015,November,05,8.00,1200,2000,1500
2016,July,05,8.00,1300,1500,1450
2016,August,01,8.00,1300,1700,1500
2016,June,15,8.00,1400,1600,1500
2016,May,01,8.20,1000,1200,1100
2016,January,22,8.20,1000,1200,1100
2016,May,09,8.30,1100,1200,1150
2016,February,28,8.50,900,1200,1050
2016,January,25,8.50,1000,1200,1100
2016,April,24,8.50,1000,1250,1200
2016,November,05,8.50,1200,1500,1300
2016,June,13,8.50,1200,1500,1350
2016,March,03,8.60,900,1050,1000
2016,May,05,8.60,1100,1300,1250
2015,October,16,8.90,900,1200,1050
2016,February,18,9.00,800,1000,900
2016,May,02,9.00,1000,1200,1150
2016,June,07,9.00,1100,1400,1250
2016,October,18,9.00,1250,1300,1300
2016,May,28,9.00,1300,1400,1350
2016,May,25,9.00,1400,1500,1450
2016,September,25,9.00,1800,2100,2000
2016,March,14,9.20,1000,1200,1100
2016,October,25,9.20,1200,1300,1250
2016,February,05,9.30,900,1100,1000
2016,April,03,9.30,900,1200,1000
2015,October,08,9.80,1400,1500,1500
2016,May,08,10.00,1100,1300,1250
2016,May,18,10.00,1200,1500,1400
2016,December,06,10.00,1600,1800,1700
2015,June,13,12.00,700,1000,800
2016,January,11,12.00,800,1100,900
2016,January,17,12.00,900,1100,1000
2016,March,09,12.00,900,1200,1050
2016,March,07,12.00,1000,1200,1100
2016,February,12,12.00,1000,1200,1100
2016,March,12,12.00,1000,1200,1100
2016,April,21,12.00,1000,1200,1150
2016,April,25,12.00,1000,1200,1150
2016,October,19,12.00,1150,1300,1250
2016,October,27,12.00,1200,1400,1300
2016,June,02,12.00,1200,1400,1350
2015,October,19,12.00,1200,1500,1300
2015,December,11,12.00,1200,1500,1400
2015,September,15,12.00,1300,1550,1500
2016,June,10,12.00,1400,1600,1500
2015,December,07,12.00,1500,1800,1600
2016,October,03,12.00,1500,1900,1700
2016,October,28,12.20,1200,1400,1300
2016,January,12,13.00,800,1000,900
2016,February,19,13.00,800,1000,900
2016,February,25,13.00,900,1100,1000
2016,April,05,13.00,900,1100,1050
2016,March,08,13.00,900,1200,1100
2016,February,06,13.00,900,1200,1150
2016,January,27,13.00,1000,1200,1100
2016,October,12,13.00,1200,1300,1250
2015,October,12,13.00,1300,1500,1400
2015,September,19,13.00,1300,1500,1450
2016,September,26,13.00,1800,2100,2000
2016,April,26,13.50,1000,1200,1150
2016,March,15,14.00,800,1000,900
2016,February,24,14.00,800,1000,900
2016,February,13,14.00,900,1200,1050
2016,February,15,14.00,900,1200,1050
2016,April,27,14.00,1000,1250,1200
2015,December,24,14.00,1000,1400,1250
2015,October,27,14.00,1200,1400,1300
2015,October,05,14.00,1400,1500,1500
2015,October,06,14.00,1400,1500,1500
2017,May,09,15.00,700,800,750
2015,June,05,15.00,700,850,800
2015,June,11,15.00,800,1000,900
2016,January,13,15.00,800,1000,900
2016,January,01,15.00,1000,1200,1100
2016,April,19,15.00,1000,1200,1150
2015,August,19,15.00,1200,1450,1400
2015,December,28,15.00,1200,1500,1300
2015,December,18,15.00,1200,1500,1350
2016,October,13,15.00,1250,1350,1300
2016,November,01,15.00,1300,1500,1400
2015,July,20,15.00,1300,1500,1450
2016,March,01,16.00,900,1100,1000
2015,December,29,16.00,1000,1200,1100
2015,September,22,16.00,1300,1500,1500
2016,September,28,16.00,1400,1800,1600
2016,January,18,16.50,900,1200,1000
2015,August,22,16.50,1200,1500,1350
2016,January,09,17.00,800,1100,900
