year,month,date,arrival,min,max,modal
2016,March,10,0.60,9380,10050,9715
2016,February,12,0.60,9380,10050,9715
2016,February,14,0.60,9380,10050,9715
2016,February,15,0.60,9380,10050,9715
2016,February,18,0.60,9380,10050,9715
2016,March,22,0.60,9380,10050,9715
2016,February,25,0.60,9380,10050,9715
2016,June,01,0.60,10050,11390,10720
2016,June,07,0.60,10050,11390,10720
2016,June,13,0.60,10050,11390,10720
2016,June,28,0.60,10050,11390,10720
2016,July,16,0.60,14740,15410,15075
2016,March,13,0.67,9380,10050,9715
2016,February,16,0.67,9380,10050,9715
2016,May,09,0.67,10050,11390,10720
2016,July,12,0.67,10050,11390,10720
2016,May,15,0.67,10050,11390,10720
2016,May,21,0.67,10050,11390,10720
2016,May,23,0.67,10050,11390,10720
2016,May,24,0.67,10050,11390,10720
2016,May,26,0.67,10050,11390,10720
2016,June,29,0.67,10050,11390,10720
2015,November,04,0.75,9045,9380,9212.5
2015,June,01,0.75,9045,9380,9380
2015,September,03,0.75,9045,9380,9380
2015,September,04,0.75,9045,9380,9380
2015,April,08,0.75,9045,9380,9380
2015,June,08,0.75,9045,9380,9380
2015,June,14,0.75,9045,9380,9380
2015,August,17,0.75,9045,9380,9380
2015,June,17,0.75,9045,9380,9380
2015,June,22,0.75,9045,9380,9380
2015,September,29,0.75,9045,9380,9380
2015,June,20,0.75,9045,9648,9648
2016,February,04,0.75,9380,10050,9715
2016,March,07,0.75,9380,10050,9715
2015,December,10,0.75,9380,10050,9715
2016,January,11,0.75,9380,10050,9715
2015,December,12,0.75,9380,10050,9715
2016,January,12,0.75,9380,10050,9715
2016,March,17,0.75,9380,10050,9715
2016,March,20,0.75,9380,10050,9715
2015,November,20,0.75,9380,10050,9715
2016,February,26,0.75,9380,10050,9715
2015,December,27,0.75,9380,10050,9715
2016,July,04,0.75,10050,11390,10720
2016,June,04,0.75,10050,11390,10720
2016,June,05,0.75,10050,11390,10720
2016,July,06,0.75,10050,11390,10720
2016,June,06,0.75,10050,11390,10720
2016,May,08,0.75,10050,11390,10720
2016,July,11,0.75,10050,11390,10720
2016,June,11,0.75,10050,11390,10720
2016,May,13,0.75,10050,11390,10720
2016,May,14,0.75,10050,11390,10720
2016,June,18,0.75,10050,11390,10720
2016,June,21,0.75,10050,11390,10720
2016,June,22,0.75,10050,11390,10720
2016,May,22,0.75,10050,11390,10720
2016,May,29,0.75,10050,11390,10720
2016,February,07,0.82,9380,10050,9715
2015,November,03,0.90,9045,9380,9212.5
2015,November,07,0.90,9045,9380,9212.5
2015,August,02,0.90,9045,9380,9380
2015,November,02,0.90,9045,9380,9380
2015,October,03,0.90,9045,9380,9380
2015,October,04,0.90,9045,9380,9380
2015,October,08,0.90,9045,9380,9380
2015,June,10,0.90,9045,9380,9380
2015,September,10,0.90,9045,9380,9380
2015,June,12,0.90,9045,9380,9380
2015,June,13,0.90,9045,9380,9380
2015,October,14,0.90,9045,9380,9380
2015,September,14,0.90,9045,9380,9380
2015,October,15,0.90,9045,9380,9380
2015,June,16,0.90,9045,9380,9380
2015,September,17,0.90,9045,9380,9380
2015,April,18,0.90,9045,9380,9380
2015,June,19,0.90,9045,9380,9380
2015,September,20,0.90,9045,9380,9380
2015,April,26,0.90,9045,9380,9380
2015,September,27,0.90,9045,9380,9380
2015,October,28,0.90,9045,9380,9380
2015,August,29,0.90,9045,9380,9380
2015,September,30,0.90,9045,9380,9380
2015,November,13,0.90,9045,9715,9380
2015,November,15,0.90,9045,10050,9380
2015,November,18,0.90,9045,10050,9715
