year,month,date,arrival,min,max,modal
2014,April,07,4.00,1800,1900,1800
2014,March,28,4.00,1900,2000,1900
2014,July,10,5.00,1700,1800,1700
2014,July,12,5.00,1700,1800,1700
2014,June,28,5.00,1700,1800,1700
2014,July,01,5.00,1700,1900,1800
2014,May,06,5.00,1700,1900,1800
2014,June,24,5.00,1700,1900,1800
2014,July,19,5.00,1750,1850,1800
2014,April,02,5.00,1800,1900,1800
2014,May,02,5.00,1800,1900,1800
2014,April,05,5.00,1800,1900,1800
2014,June,07,5.00,1800,1900,1800
2014,April,08,5.00,1800,1900,1800
2014,June,09,5.00,1800,1900,1800
2014,April,11,5.00,1800,1900,1800
2014,June,13,5.00,1800,1900,1800
2014,June,14,5.00,1800,1900,1800
2014,June,17,5.00,1800,1900,1800
2014,April,21,5.00,1800,1900,1800
2014,May,22,5.00,1800,1900,1800
2014,April,28,5.00,1800,1900,1800
2016,June,08,5.00,1800,2000,1900
2014,March,31,5.00,1900,2000,1950
2014,May,04,6.00,1700,1900,1800
2014,April,01,6.00,1800,1900,1800
2014,May,01,6.00,1800,1900,1800
2014,April,03,6.00,1800,1900,1800
2014,April,09,6.00,1800,1900,1800
2014,April,10,6.00,1800,1900,1800
2014,June,10,6.00,1800,1900,1800
2014,June,11,6.00,1800,1900,1800
2014,May,11,6.00,1800,1900,1800
2014,May,15,6.00,1800,1900,1800
2014,April,17,6.00,1800,1900,1800
2014,May,17,6.00,1800,1900,1800
2014,May,20,6.00,1800,1900,1800
2014,April,22,6.00,1800,1900,1800
2014,April,25,6.00,1800,1900,1800
2014,April,29,6.00,1800,1900,1800
2014,April,04,6.00,1800,2000,1900
2014,May,10,6.00,1800,2000,1900
2014,July,05,7.00,1700,1800,1700
2014,July,09,7.00,1700,1800,1700
2014,July,18,7.00,1700,1800,1700
2014,June,19,7.00,1700,1800,1700
2014,July,21,7.00,1700,1800,1700
2014,July,23,7.00,1700,1800,1700
2014,June,27,7.00,1700,1800,1700
2014,June,18,7.00,1700,1800,1750
2014,July,02,7.00,1700,1900,1800
2014,May,07,7.00,1700,1900,1800
2014,July,16,7.00,1700,1900,1800
2014,July,31,7.00,1700,1900,1800
2014,July,25,7.00,1750,1850,1800
2014,June,06,7.00,1800,1900,1800
2014,May,08,7.00,1800,1900,1800
2014,June,12,7.00,1800,1900,1800
2014,June,16,7.00,1800,1900,1800
2014,May,16,7.00,1800,1900,1800
2014,August,01,7.00,1800,1900,1850
2014,May,21,10.00,1800,1900,1800
2015,June,24,0.60,1900,2100,2000
2016,April,22,3.00,1800,2000,1900
2016,February,25,3.00,1800,2000,1900
2016,March,10,3.50,1800,2000,1900
2015,November,04,4.00,1800,1900,1850
2016,June,01,4.00,1800,2000,1900
2016,July,06,4.00,1800,2000,1900
2016,May,06,4.00,1800,2000,1900
2016,February,07,4.00,1800,2000,1900
2016,June,07,4.00,1800,2000,1900
2016,May,09,4.00,1800,2000,1900
2016,June,11,4.00,1800,2000,1900
2016,June,12,4.00,1800,2000,1900
2016,February,17,4.00,1800,2000,1900
2016,June,18,4.00,1800,2000,1900
2016,June,21,4.00,1800,2000,1900
2016,May,22,4.00,1800,2000,1900
2016,May,23,4.00,1800,2000,1900
2016,February,26,4.00,1800,2000,1900
2016,April,28,4.00,1800,2000,1900
2016,May,28,4.00,1800,2000,1900
2016,June,29,4.00,1800,2000,1900
2016,May,31,4.00,1800,2000,1900
2016,July,14,4.00,1900,2100,2000
2015,July,24,4.00,1900,2100,2000
2015,October,27,4.00,1900,2100,2000
2016,July,11,4.50,1800,2000,1900
2016,July,12,4.50,1800,2000,1900
2016,April,20,4.50,1800,2000,1900
2016,April,21,4.50,1800,2000,1900
2016,June,22,4.50,1800,2000,1900
2016,June,28,4.50,1800,2000,1900
2015,December,19,5.00,1700,1900,1800
2015,November,20,5.00,1700,1900,1800
2015,November,21,5.00,1700,1900,1800
2015,December,22,5.00,1700,1900,1800
2015,November,26,5.00,1700,1900,1800
2014,August,03,5.00,1800,1900,1850
2014,August,04,5.00,1800,1900,1850
2016,June,03,5.00,1800,2000,1900
2016,March,03,5.00,1800,2000,1900
2016,May,03,5.00,1800,2000,1900
2016,January,04,5.00,1800,2000,1900
2016,July,05,5.00,1800,2000,1900
2016,June,05,5.00,1800,2000,1900
2016,May,05,5.00,1800,2000,1900
2016,March,06,5.00,1800,2000,1900
2016,March,07,5.00,1800,2000,1900
2016,May,07,5.00,1800,2000,1900
2016,May,08,5.00,1800,2000,1900
2016,June,09,5.00,1800,2000,1900
2016,March,09,5.00,1800,2000,1900
2016,June,10,5.00,1800,2000,1900
2016,March,11,5.00,1800,2000,1900
2016,May,11,5.00,1800,2000,1900
2016,February,13,5.00,1800,2000,1900
2016,June,13,5.00,1800,2000,1900
2016,February,14,5.00,1800,2000,1900
2016,March,14,5.00,1800,2000,1900
2016,March,15,5.00,1800,2000,1900
2016,May,15,5.00,1800,2000,1900
2016,February,16,5.00,1800,2000,1900
2016,January,17,5.00,1800,2000,1900
2016,June,17,5.00,1800,2000,1900
2016,February,18,5.00,1800,2000,1900
2016,June,19,5.00,1800,2000,1900
2016,May,19,5.00,1800,2000,1900
2016,June,20,5.00,1800,2000,1900
2016,May,21,5.00,1800,2000,1900
2016,June,23,5.00,1800,2000,1900
2016,May,24,5.00,1800,2000,1900
2016,April,26,5.00,1800,2000,1900
2016,May,26,5.00,1800,2000,1900
2015,December,29,5.00,1800,2000,1900
2016,May,29,5.00,1800,2000,1900
2016,April,30,5.00,1800,2000,1900
2016,June,30,5.00,1800,2000,1900
2016,May,30,5.00,1800,2000,1900
2015,November,02,5.00,1900,2100,2000
2015,October,04,5.00,1900,2100,2000
2015,April,06,5.00,1900,2100,2000
2015,September,08,5.00,1900,2100,2000
2015,June,09,5.00,1900,2100,2000
2015,April,10,5.00,1900,2100,2000
2015,April,12,5.00,1900,2100,2000
2015,June,12,5.00,1900,2100,2000
2015,June,13,5.00,1900,2100,2000
2015,April,14,5.00,1900,2100,2000
2015,April,15,5.00,1900,2100,2000
2016,July,16,5.00,1900,2100,2000
2015,June,16,5.00,1900,2100,2000
2015,May,17,5.00,1900,2100,2000
2015,September,20,5.00,1900,2100,2000
2015,August,24,5.00,1900,2100,2000
2015,July,25,5.00,1900,2100,2000
2015,October,25,5.00,1900,2100,2000
2015,October,26,5.00,1900,2100,2000
2015,August,28,5.00,1900,2100,2000
2015,October,28,5.00,1900,2100,2000
2015,July,29,5.00,1900,2100,2000
2015,July,30,5.00,1900,2100,2000
2015,August,31,5.00,1900,2100,2000
2015,July,31,5.00,1900,2100,2000
2015,May,31,5.00,1900,2100,2000
2015,December,03,6.00,1700,1900,1800
2015,December,04,6.00,1700,1900,1800
2015,December,05,6.00,1700,1900,1800
2015,November,07,6.00,1700,1900,1800
2015,December,08,6.00,1700,1900,1800
2015,November,08,6.00,1700,1900,1800
2015,December,09,6.00,1700,1900,1800
2015,December,10,6.00,1700,1900,1800
2015,December,11,6.00,1700,1900,1800
