year,month,date,arrival,min,max,modal
2017,November,22,70.00,3400,4200,3800
2017,November,28,16.00,800,1000,900
2017,June,06,20.00,2800,3000,2900
2017,July,07,20.00,2800,3000,2900
2017,July,12,20.00,2800,3000,2900
2017,June,22,20.00,2800,3000,2900
2017,June,02,20.00,2800,3200,3000
2017,May,24,20.00,3000,3400,3200
2017,December,05,25.00,750,900,850
2017,July,04,25.00,2800,3000,2900
2017,June,08,25.00,2800,3000,2900
2017,July,13,25.00,2800,3000,2900
2017,June,16,25.00,2800,3000,2900
2017,June,19,25.00,2800,3000,2900
2017,June,21,25.00,2800,3000,2900
2017,June,27,25.00,2800,3000,2900
2017,June,07,30.00,2800,3000,2900
2017,July,14,30.00,2800,3000,2900
2017,June,15,30.00,2800,3000,2900
2017,June,17,30.00,2800,3000,2900
2017,June,05,30.00,2800,3200,3000
2017,June,14,35.00,2800,3000,2900
2017,July,19,35.00,2800,3000,2900
2017,November,13,40.00,900,1000,950
2017,May,22,5.00,3000,3600,3200
2017,June,01,11.50,2800,3200,3000
2017,December,07,20.00,2800,3600,3200
2017,December,06,90.00,3200,4000,3600
