year,month,date,arrival,min,max,modal
2017,May,18,7.00,1100,1300,1200
2014,August,03,10.00,2800,3000,2900
2014,August,02,10.00,2900,3100,3000
2017,April,17,5.00,1100,1300,1200
2015,April,03,5.00,2000,2200,2100
2017,April,11,6.00,1000,1200,1100
2017,April,18,6.00,1000,1200,1100
2016,November,16,6.00,1400,1600,1500
2016,August,09,6.00,1500,1700,1600
2015,November,20,6.00,2800,3000,2900
2016,October,15,6.50,1400,1600,1500
2016,March,10,6.50,1800,2000,1900
2017,April,07,7.00,1000,1200,1100
2017,April,09,7.00,1000,1200,1100
2017,March,27,7.00,1000,1200,1100
2017,April,15,7.00,1100,1200,1200
2017,April,19,7.00,1100,1250,1200
2017,April,22,7.00,1100,1250,1200
2017,May,04,7.00,1100,1300,1200
2017,May,08,7.00,1100,1300,1200
2016,May,10,7.00,1200,1400,1300
2016,July,04,7.00,1400,1500,1450
2016,November,15,7.00,1400,1600,1500
2016,April,21,7.00,1400,1600,1500
2016,October,27,7.00,1400,1600,1500
2016,February,16,7.00,1700,1750,1725
2015,April,06,7.00,2000,2300,2100
2015,July,30,7.00,2200,2400,2300
2015,September,08,7.00,2300,2500,2400
2015,September,11,7.00,2300,2500,2400
2015,August,04,7.00,2400,2600,2500
2015,August,14,7.00,2400,2600,2500
2015,August,26,7.00,2400,2600,2500
2015,August,27,7.00,2400,2600,2500
2015,November,03,7.00,2600,2800,2700
2015,November,05,7.00,2600,2800,2700
2015,November,01,7.00,2800,3000,2900
2015,October,03,7.00,2800,3000,2900
2015,September,15,7.00,2800,3000,2900
2015,December,28,7.00,2800,3000,2900
2015,October,29,7.00,2800,3000,2900
2015,October,30,7.00,2800,3000,2900
2014,December,26,7.50,2200,2400,2300
2017,April,20,8.00,1100,1300,1200
2016,May,05,8.00,1300,1500,1400
2016,May,27,8.00,1300,1500,1400
2016,April,29,8.00,1300,1500,1400
2016,May,31,8.00,1300,1500,1400
2016,June,21,8.00,1400,1500,1450
2016,June,28,8.00,1400,1500,1450
2016,February,12,8.00,1800,2000,1900
2016,March,17,8.00,1800,2000,1900
2017,August,08,8.00,2000,2100,2050
2017,August,11,8.00,2000,2200,2050
2015,April,07,8.00,2000,2200,2100
2015,April,18,8.00,2000,2200,2100
2015,April,25,8.00,2100,2300,2200
2015,July,24,8.00,2200,2400,2300
2015,May,30,8.00,2200,2400,2300
2015,August,20,8.00,2400,2600,2500
2015,December,22,8.00,2800,3000,2900
2015,October,27,8.00,2800,3000,2900
2016,October,01,9.00,1300,1500,1400
2016,October,13,9.00,1400,1600,1500
2017,April,08,10.00,1000,1200,1100
2017,April,10,10.00,1000,1200,1100
2017,April,12,10.00,1000,1200,1100
2017,March,15,10.00,1000,1200,1100
2017,March,16,10.00,1000,1200,1100
2017,March,18,10.00,1000,1200,1100
2017,March,20,10.00,1000,1200,1100
2017,March,21,10.00,1000,1200,1100
2017,March,24,10.00,1000,1200,1100
2017,March,31,10.00,1000,1200,1100
2017,May,02,10.00,1100,1200,1150
2017,April,14,10.00,1100,1200,1200
2017,April,21,10.00,1100,1250,1200
2017,April,24,10.00,1100,1250,1200
2017,April,26,10.00,1100,1250,1200
2017,May,03,10.00,1100,1300,1200
2017,April,05,10.00,1100,1300,1200
2017,May,05,10.00,1100,1300,1200
2017,May,09,10.00,1100,1300,1200
2015,February,19,10.00,1200,1300,1250
2016,May,13,10.00,1200,1400,1300
2016,May,14,10.00,1200,1400,1300
2016,May,18,10.00,1200,1400,1300
2018,June,21,10.00,1200,1400,1300
2016,December,01,10.00,1300,1500,1400
2016,May,02,10.00,1300,1500,1400
2016,June,03,10.00,1300,1500,1400
2016,October,03,10.00,1300,1500,1400
2016,May,04,10.00,1300,1500,1400
2016,December,05,10.00,1300,1500,1400
2016,December,06,10.00,1300,1500,1400
2016,June,06,10.00,1300,1500,1400
2016,December,08,10.00,1300,1500,1400
2016,December,17,10.00,1300,1500,1400
2016,December,18,10.00,1300,1500,1400
2016,December,20,10.00,1300,1500,1400
2016,May,24,10.00,1300,1500,1400
2016,December,26,10.00,1300,1500,1400
2016,April,27,10.00,1300,1500,1400
2016,November,28,10.00,1300,1500,1400
2016,November,29,10.00,1300,1500,1400
2016,September,30,10.00,1300,1500,1400
2016,August,01,10.00,1400,1500,1450
2016,July,28,10.00,1400,1500,1450
2016,July,31,10.00,1400,1500,1450
2016,November,01,10.00,1400,1600,1500
2016,August,06,10.00,1400,1600,1500
2016,October,06,10.00,1400,1600,1500
2016,November,07,10.00,1400,1600,1500
2016,November,13,10.00,1400,1600,1500
2016,November,14,10.00,1400,1600,1500
2016,October,14,10.00,1400,1600,1500
2016,October,18,10.00,1400,1600,1500
2016,April,19,10.00,1400,1600,1500
2016,October,19,10.00,1400,1600,1500
2016,October,20,10.00,1400,1600,1500
2016,July,21,10.00,1400,1600,1500
2016,October,21,10.00,1400,1600,1500
2016,April,22,10.00,1400,1600,1500
2016,July,22,10.00,1400,1600,1500
2016,October,22,10.00,1400,1600,1500
2016,October,24,10.00,1400,1600,1500
2016,November,25,10.00,1400,1600,1500
2016,October,25,10.00,1400,1600,1500
2016,October,26,10.00,1400,1600,1500
2016,July,27,10.00,1400,1600,1500
2016,September,27,10.00,1400,1600,1500
2016,July,16,10.00,1500,1600,1550
2016,July,17,10.00,1500,1600,1550
2016,August,03,10.00,1500,1700,1600
2016,August,05,10.00,1500,1700,1600
2016,August,07,10.00,1500,1700,1600
2016,August,08,10.00,1500,1700,1600
2016,August,16,10.00,1600,1800,1700
2015,March,20,10.00,1800,2000,1900
2015,February,12,10.00,1900,2100,2000
2015,February,13,10.00,1900,2100,2000
2015,February,01,10.00,2000,2200,2100
2015,April,02,10.00,2000,2200,2100
2015,February,02,10.00,2000,2200,2100
2015,March,02,10.00,2000,2200,2100
2015,April,04,10.00,2000,2200,2100
2015,January,04,10.00,2000,2200,2100
2015,April,05,10.00,2000,2200,2100
2015,February,05,10.00,2000,2200,2100
2015,February,06,10.00,2000,2200,2100
2015,March,06,10.00,2000,2200,2100
2015,February,07,10.00,2000,2200,2100
2015,March,07,10.00,2000,2200,2100
2015,April,08,10.00,2000,2200,2100
2015,April,09,10.00,2000,2200,2100
2015,February,10,10.00,2000,2200,2100
2015,April,11,10.00,2000,2200,2100
2015,February,11,10.00,2000,2200,2100
2015,March,11,10.00,2000,2200,2100
2015,March,13,10.00,2000,2200,2100
2015,April,14,10.00,2000,2200,2100
2015,March,14,10.00,2000,2200,2100
2015,March,15,10.00,2000,2200,2100
2015,March,21,10.00,2000,2200,2100
2017,August,22,10.00,2000,2200,2100
2015,February,22,10.00,2000,2200,2100
2015,April,24,10.00,2000,2200,2100
2015,March,24,10.00,2000,2200,2100
2015,February,25,10.00,2000,2200,2100
2015,March,25,10.00,2000,2200,2100
2015,February,26,10.00,2000,2200,2100
2015,March,26,10.00,2000,2200,2100
