year,month,date,arrival,min,max,modal
2017,May,19,1.00,600,700,650
2017,June,01,6.40,700,900,800
2017,May,18,10.00,700,900,800
2017,June,02,20.00,700,900,800
2017,November,10,30.00,700,770,730
2018,May,31,30.00,900,1100,1000
2017,November,03,80.00,700,750,730
2017,October,27,90.00,710,770,730
2014,May,04,10.00,1100,1300,1200
2014,June,14,10.00,1600,1800,1700
2014,May,23,10.00,1600,1800,1700
2014,July,15,10.00,1700,1800,1700
2014,July,04,10.00,1800,2000,1900
2014,August,10,10.00,1800,2000,1900
2014,August,14,10.00,1800,2000,1900
2014,August,18,10.00,1800,2000,1900
2014,July,25,10.00,1800,2000,1900
2014,November,02,10.00,2000,2200,2100
2014,October,11,10.00,2000,2200,2100
2014,September,11,10.00,2000,2200,2100
2014,September,14,10.00,2000,2200,2100
2014,October,17,10.00,2000,2200,2100
2014,October,22,10.00,2000,2200,2100
2014,August,23,10.00,2000,2200,2100
2014,September,24,10.00,2000,2200,2100
2014,October,25,10.00,2000,2200,2100
2014,October,26,10.00,2000,2200,2100
2014,October,31,10.00,2000,2200,2100
2014,November,04,10.00,2050,2300,2200
2014,September,26,10.00,2100,2300,2200
2014,September,04,10.00,2200,2400,2300
2014,August,22,10.00,2200,2400,2300
2014,November,06,10.00,2300,2500,2400
2014,August,30,10.00,2300,2500,2400
2014,November,09,10.00,2500,2700,2600
2014,June,17,12.50,1700,1800,1700
2014,June,07,12.50,1700,1900,1800
2014,September,12,12.50,2000,2200,2100
2014,October,14,12.50,2000,2200,2100
2014,October,24,12.50,2000,2200,2100
2014,October,30,12.50,2000,2200,2100
2014,September,27,12.50,2100,2300,2200
2014,November,10,13.00,2500,2700,2600
2014,May,07,15.00,1400,1500,1400
2014,May,06,15.00,1500,1700,1600
2014,May,10,15.00,1500,1700,1600
2014,May,11,15.00,1500,1700,1600
2014,May,13,15.00,1500,1700,1600
2014,May,17,15.00,1600,1700,1650
2014,May,19,15.00,1600,1700,1650
2014,May,22,15.00,1600,1800,1600
2014,July,09,15.00,1600,1800,1700
2014,June,11,15.00,1600,1800,1700
2014,June,13,15.00,1600,1800,1700
2014,June,16,15.00,1600,1800,1700
2014,June,27,15.00,1600,1800,1700
2014,July,14,15.00,1700,1800,1700
2014,June,20,15.00,1700,1800,1700
2014,June,24,15.00,1700,1800,1700
2014,June,30,15.00,1700,1800,1700
2014,July,12,15.00,1700,1800,1750
2014,July,13,15.00,1700,1800,1750
2014,June,06,15.00,1700,1900,1800
2014,June,09,15.00,1700,1900,1800
2014,July,10,15.00,1700,1900,1800
2014,July,22,15.00,1800,1900,1850
2014,July,19,15.00,1800,1950,1900
2014,August,02,15.00,1800,2000,1900
2014,July,02,15.00,1800,2000,1900
2014,August,03,15.00,1800,2000,1900
2014,August,07,15.00,1800,2000,1900
2014,August,09,15.00,1800,2000,1900
2014,August,11,15.00,1800,2000,1900
2014,July,24,15.00,1800,2000,1900
2014,July,26,15.00,1800,2000,1900
2014,July,17,15.00,1900,2000,1900
2014,August,20,15.00,1900,2100,2000
2014,September,06,15.00,2000,2200,2100
2014,October,08,15.00,2000,2200,2100
2014,October,09,15.00,2000,2200,2100
2014,October,10,15.00,2000,2200,2100
2014,September,10,15.00,2000,2200,2100
2014,October,12,15.00,2000,2200,2100
2014,October,13,15.00,2000,2200,2100
2014,October,15,15.00,2000,2200,2100
2014,September,15,15.00,2000,2200,2100
