year,month,date,arrival,min,max,modal
2015,March,27,1.00,800,1000,900
2014,August,06,1.00,2200,2500,2300
2017,May,25,1.50,900,1300,1100
2017,May,22,2.00,1300,1500,1400
2018,May,31,2.50,700,900,800
2018,June,14,2.50,800,950,900
2017,May,29,3.00,1000,1250,1150
2017,May,26,3.00,1000,1400,1200
2017,December,12,3.00,2500,4500,3500
2017,July,18,3.50,2500,3000,2700
2017,November,20,3.50,4500,5600,5000
2017,June,01,3.80,1300,1500,1400
2017,June,07,4.00,1300,1500,1400
2017,December,18,4.00,2000,2500,2200
2017,December,19,4.00,2000,2500,2200
2017,December,13,4.00,2500,3000,2700
2017,December,06,4.00,2600,4400,3500
2017,November,22,4.00,3500,4500,4000
2017,November,09,4.00,4500,5600,5000
2017,September,04,4.40,3800,4800,4500
2017,July,19,4.50,2500,3000,2700
2017,June,06,5.00,1300,1500,1400
2017,June,15,5.00,1300,1500,1400
2017,July,15,5.00,2500,3000,2700
2017,July,26,5.00,2500,3000,2700
2017,August,01,5.00,2500,3000,2800
2017,August,28,5.60,3800,4800,4500
2017,June,14,6.00,1300,1500,1400
2017,June,21,6.00,1300,1500,1400
2017,July,17,6.00,2800,3200,3000
2017,September,01,6.00,3800,4800,4500
2017,July,28,6.50,2700,2800,2750
2017,July,04,7.00,1300,1500,1400
2017,June,08,7.00,1300,1500,1400
2017,June,22,7.00,1300,1500,1400
2017,June,17,8.00,1300,1500,1400
2017,October,30,8.00,3500,4500,4000
2017,July,29,9.00,2800,3200,3000
2017,August,22,9.00,3000,4200,3500
2017,November,27,10.00,4500,5600,5000
2018,May,11,30.00,2500,4500,3500
2014,March,27,0.30,900,1100,1000
2014,July,08,0.30,1500,1600,1500
2014,April,09,0.40,900,1000,900
2014,April,11,0.50,800,1000,900
2014,May,02,0.50,900,900,900
2014,April,03,0.50,900,1000,900
2014,May,03,0.50,900,1000,900
2014,April,10,0.50,900,1000,900
2014,April,22,0.50,900,1000,900
2014,April,05,0.50,900,1000,950
2014,April,02,0.50,900,1100,1000
2014,March,28,0.50,1000,1100,1050
2014,March,31,0.50,1000,1200,1100
2014,July,09,0.50,1400,1500,1400
2014,July,13,0.50,1400,1500,1400
2014,July,15,0.50,1400,1500,1400
2014,June,17,0.50,1500,1600,1500
2017,May,02,0.50,1800,2000,1900
2017,May,08,0.50,1800,2000,1900
2017,April,19,0.50,1800,2000,1900
2017,April,26,0.50,1800,2000,1900
2014,August,14,0.50,3500,3700,3600
2014,August,16,0.50,3500,3700,3600
2014,August,18,0.50,3500,3700,3600
2014,April,21,0.60,800,900,850
2014,April,17,0.60,800,1000,900
2014,April,08,0.60,900,1000,900
2014,April,04,0.60,900,1000,950
2014,April,01,0.60,900,1100,1000
2014,June,26,0.60,1300,1500,1400
2014,June,14,0.60,1400,1500,1400
2014,June,09,0.60,1400,1600,1500
2014,June,24,0.60,1500,1700,1600
2017,May,03,0.60,1800,2000,1900
2017,April,24,0.60,1800,2000,1900
2014,April,07,0.70,900,1000,900
2014,June,23,0.70,1300,1500,1400
2014,June,25,0.70,1300,1500,1400
2014,June,10,0.70,1400,1600,1500
2015,September,09,0.70,1800,2000,1900
2014,August,08,0.70,2300,2500,2400
2014,August,13,0.70,3500,3700,3600
2014,May,01,0.80,800,900,800
2014,April,25,0.80,800,900,850
2014,June,07,0.80,1400,1600,1500
2014,June,30,0.80,1500,1600,1500
2014,July,18,0.80,2000,2500,2300
2014,August,22,0.80,3300,3500,3400
2014,April,29,0.90,800,900,800
2014,April,28,1.00,800,900,800
2016,December,21,1.00,800,900,850
2016,December,22,1.00,800,900,850
2018,July,07,1.00,800,1000,900
2016,December,15,1.00,800,1000,900
2016,December,23,1.00,900,1100,1000
2016,December,27,1.00,900,1100,1000
2014,June,21,1.00,1300,1500,1400
2014,June,12,1.00,1400,1500,1400
2014,June,20,1.00,1400,1500,1400
2014,June,19,1.00,1400,1500,1450
2014,June,06,1.00,1400,1600,1500
2014,June,11,1.00,1400,1600,1500
2014,July,04,1.00,1500,1600,1500
2014,June,28,1.00,1500,1600,1500
2014,August,07,1.00,2300,2500,2400
2014,September,29,1.00,2300,2500,2400
2014,August,10,1.00,2300,2700,2500
2014,August,11,1.00,2300,2700,2500
2014,September,19,1.00,2800,3000,2900
2014,September,21,1.00,2800,3000,2900
2014,September,24,1.00,2800,3000,2900
2014,August,25,1.00,3000,3400,3200
2014,November,03,1.00,3000,3500,3400
2014,September,04,1.00,3100,3300,3200
2014,November,04,1.00,3200,3400,3300
2014,September,16,1.00,3200,3400,3300
2014,November,02,1.00,3500,3700,3600
2014,September,11,1.00,3500,3700,3600
2014,September,14,1.00,3500,3700,3600
2014,August,19,1.00,3800,4000,3900
2014,August,20,1.00,3800,4000,3900
2014,October,15,1.00,4000,4200,4100
2014,October,20,1.00,4100,4300,4200
2014,October,23,1.00,4100,4300,4200
2014,October,11,1.00,4200,4400,4300
2014,October,13,1.00,4200,4400,4300
2014,July,16,1.20,2000,2500,2300
2014,October,14,1.20,4200,4400,4300
2018,May,15,1.50,600,750,700
2018,June,11,1.50,800,950,900
2018,June,25,1.50,900,1000,950
2014,November,05,1.50,2500,2700,2600
2018,May,16,2.00,600,700,650
2018,May,10,2.00,600,750,700
2018,May,14,2.00,600,750,700
2018,May,17,2.00,700,900,800
2018,May,28,2.00,700,900,800
2018,May,29,2.00,700,900,800
2018,June,08,2.00,800,950,900
2018,June,26,2.00,800,950,900
2018,June,03,2.00,800,1000,900
2018,June,20,2.00,800,1000,900
2018,June,27,2.00,800,1000,900
2018,May,09,2.50,600,750,700
2018,June,19,2.50,700,900,800
2018,May,22,2.50,700,900,800
2018,June,15,2.50,800,950,900
2018,June,18,2.50,800,950,900
2018,June,02,2.50,800,1000,900
2018,June,04,2.50,800,1000,900
2018,June,05,2.50,800,1000,900
2018,July,09,2.50,800,1000,900
2018,June,22,2.50,800,1000,900
2014,November,12,2.50,3000,3200,3100
2018,April,24,3.00,500,600,550
2018,April,25,3.00,500,600,550
2018,May,23,3.00,700,900,800
2018,June,06,3.00,900,1100,1000
2018,June,07,4.00,900,1000,950
2018,June,21,4.50,800,950,900
2018,May,03,5.00,500,650,600
2018,May,05,5.00,500,700,600
2018,July,06,5.00,800,1000,900
2017,July,12,5.00,2500,3000,2600
2017,September,21,5.00,3800,4800,4500
2017,September,25,5.40,3800,4800,4500
2017,August,07,5.60,3000,3500,3200
2017,July,07,6.00,1300,1500,1400
2017,August,04,6.00,2500,3000,2800
2017,August,08,6.00,3000,4000,3500
2017,June,16,7.00,1300,1500,1400
2017,June,19,7.00,1300,1500,1400
2017,June,27,7.00,1300,1500,1400
2017,August,11,8.00,3000,4200,3500
