year,month,date,arrival,min,max,modal
2017,August,07,0.10,2300,2500,2400
2019,February,05,0.60,2700,3000,2850
2019,February,04,0.70,2700,3000,2850
2018,July,26,0.80,2200,2400,2300
2018,July,31,0.90,2200,2400,2300
2018,June,20,0.90,2300,2400,2350
2018,June,26,0.90,2300,2400,2350
2018,July,10,1.00,2200,2400,2300
2018,July,25,1.00,2200,2400,2300
2018,July,27,1.00,2200,2400,2300
2018,July,30,1.00,2200,2400,2300
2018,June,21,1.00,2300,2400,2350
2018,June,25,1.00,2300,2400,2350
2018,June,27,1.00,2300,2400,2350
2018,August,03,1.00,2500,2700,2600
2018,August,08,1.00,2500,2700,2600
2018,August,10,1.00,2500,2700,2600
2018,August,28,1.00,2600,2700,2650
2018,September,18,1.00,2800,3000,2900
2018,October,20,1.00,2800,3000,2900
2018,October,25,1.00,2800,3000,2900
2018,June,08,1.10,2300,2400,2350
2018,June,19,1.10,2300,2400,2350
2018,August,18,1.10,2500,2700,2600
2018,July,12,1.20,2200,2400,2300
2018,July,24,1.20,2200,2400,2300
2018,June,11,1.20,2300,2400,2350
2018,June,13,1.20,2300,2400,2350
2018,June,15,1.20,2300,2400,2350
2018,August,06,1.20,2500,2700,2600
2018,August,27,1.20,2500,2700,2600
2018,July,16,1.30,2200,2400,2300
2018,July,21,1.30,2200,2400,2300
2018,June,12,1.30,2300,2400,2350
2018,August,16,1.30,2500,2700,2600
2018,August,21,1.30,2500,2700,2600
2019,January,30,1.30,2700,3000,2850
2018,October,04,1.30,2800,3000,2900
2018,October,06,1.30,2800,3000,2900
2018,October,09,1.30,2800,3000,2900
2018,July,11,1.40,2200,2400,2300
2018,July,13,1.40,2200,2400,2300
2018,July,23,1.40,2200,2400,2300
2018,June,05,1.40,2300,2400,2350
2018,August,20,1.40,2500,2700,2600
2018,April,27,1.50,2200,2300,2250
2018,June,04,1.50,2300,2400,2350
2019,June,26,1.50,2600,2700,2650
2019,February,07,1.50,2700,3000,2850
2019,January,28,1.50,2700,3000,2850
2019,March,19,1.50,2800,2900,2850
2018,October,08,1.50,2800,3000,2900
2018,September,17,1.50,2800,3000,2900
2018,July,19,1.60,2200,2400,2300
2018,August,13,1.60,2500,2700,2600
2018,September,10,1.60,2600,2700,2650
2018,July,18,1.70,2200,2400,2300
2019,July,04,1.80,2500,2600,2550
2019,June,15,1.80,2600,2700,2650
2019,June,28,1.80,2600,2700,2650
2019,March,15,1.80,2800,2900,2850
2018,May,23,2.00,2200,2400,2300
2018,May,29,2.00,2200,2400,2300
2019,July,18,2.00,2500,2600,2550
2019,July,23,2.00,2500,2600,2550
2019,July,01,2.00,2600,2700,2650
2019,June,13,2.00,2600,2700,2650
2018,September,13,2.00,2600,2700,2650
2019,June,25,2.00,2600,2700,2650
2019,June,27,2.00,2600,2700,2650
2019,August,16,2.00,2600,2800,2700
2019,March,18,2.00,2800,2900,2850
2018,November,28,2.10,2800,3000,2900
2018,May,28,2.20,2200,2400,2300
2019,July,02,2.20,2500,2600,2550
2019,July,06,2.20,2500,2600,2550
2019,July,16,2.20,2500,2600,2550
2019,June,10,2.20,2600,2700,2650
2019,February,11,2.20,2700,3000,2850
2019,January,25,2.20,2700,3000,2850
2018,May,22,2.20,4700,5000,4850
2019,July,22,2.20,5200,5600,5350
2019,June,21,2.30,2600,2700,2650
2019,January,09,2.30,2700,3000,2850
2019,February,12,2.30,2700,3000,2850
2018,May,21,2.40,2200,2400,2300
2019,July,20,2.40,2500,2600,2550
2019,January,11,2.40,2700,3000,2850
2019,January,24,2.40,2700,3000,2850
2019,May,31,2.50,2400,2700,2550
2019,July,24,2.50,2500,2600,2550
2019,July,30,2.50,2500,2600,2550
2019,February,16,2.50,2700,3000,2850
2019,February,25,2.50,2700,3000,2850
2019,May,30,2.60,2400,2700,2550
2019,February,13,2.70,2700,3000,2850
2019,February,20,2.70,2700,3000,2850
2018,December,24,2.70,2700,3000,2850
2018,May,18,2.80,2200,2400,2300
2019,July,10,2.80,2500,2600,2550
2019,July,29,2.80,2500,2600,2550
2019,June,07,2.80,2600,2700,2650
2019,January,07,2.80,2700,3000,2850
2019,February,27,2.80,2800,2900,2850
2019,July,12,2.80,5200,5600,5350
2019,July,25,3.00,2500,2600,2550
2019,July,31,3.00,2500,2600,2550
2019,June,11,3.00,2600,2700,2650
2019,June,24,3.00,2600,2700,2650
2019,August,01,3.00,2600,2800,2700
2019,March,02,3.00,2600,2900,2850
2018,December,20,3.00,2700,3000,2750
2019,January,01,3.00,2700,3000,2850
2019,February,26,3.00,2700,3000,2850
2019,October,09,3.00,2800,2900,2850
2018,November,12,3.00,2800,3000,2900
2018,October,30,3.00,2800,3000,2900
2018,May,07,3.20,2200,2300,2250
2019,August,02,3.20,2600,2800,2700
2018,May,08,3.40,2200,2300,2250
2018,May,16,3.40,2200,2400,2300
2018,May,14,3.50,2200,2400,2300
2019,May,29,3.50,2400,2700,2550
2019,August,03,3.50,2600,2800,2700
2019,August,17,3.50,2600,2800,2700
2019,September,05,3.50,2700,2800,2750
2019,February,14,3.50,2700,3000,2850
2018,December,19,3.50,2700,3000,2850
2019,March,26,3.50,2800,2900,2850
2019,February,28,3.50,2800,2900,2850
2018,December,07,3.50,2800,3000,2900
2019,May,22,3.60,2400,2700,2550
2018,May,09,3.70,2200,2300,2250
2018,May,11,3.70,2200,2400,2300
2018,December,21,3.70,2700,3000,2850
2014,September,17,4.00,2100,2300,2200
2019,May,28,4.00,2400,2700,2550
2019,September,07,4.00,2700,2800,2750
2019,January,04,4.00,2700,3000,2850
2019,November,16,4.00,2900,3000,2950
2019,September,04,4.20,2700,2800,2750
2019,March,12,4.20,2800,2900,2850
2014,August,04,4.50,1800,2000,1900
2014,August,26,4.50,1800,2000,1900
2018,May,15,4.50,2200,2300,2200
2019,April,10,4.50,2700,2800,2750
2019,November,29,4.50,2800,2900,2850
2018,December,04,4.50,2800,3000,2900
2018,November,05,4.50,2800,3000,2900
2018,October,29,4.50,2800,3000,2950
2019,October,24,4.50,2900,3000,2950
2014,August,16,4.80,1800,2000,1900
2019,September,02,4.80,2700,2800,2750
2019,March,05,4.80,2800,2900,2850
2014,August,30,4.90,1800,2000,1900
2019,May,20,5.00,2400,2700,2550
2019,September,03,5.00,2700,2800,2750
2019,May,09,5.00,2700,2800,2750
2019,December,03,5.00,2800,2900,2850
2019,December,04,5.00,2800,2900,2850
2019,October,14,5.00,2800,2900,2850
2019,November,18,5.00,2800,2900,2850
2019,November,21,5.00,2800,2900,2850
2019,December,23,5.00,2800,2900,2850
2019,October,23,5.00,2800,2900,2850
2019,September,26,5.00,2800,2900,2850
2019,November,28,5.00,2800,2900,2850
2019,November,30,5.00,2800,2900,2850
2019,November,08,5.00,2900,3000,2950
2019,November,11,5.00,2900,3000,2950
2014,September,19,5.20,2100,2300,2200
2019,April,02,5.20,2800,2900,2850
2014,September,11,5.30,2000,2200,2100
2019,May,07,5.50,2700,2800,2750
2019,September,17,5.50,2700,2800,2750
2018,December,15,5.50,2700,3000,2850
2019,April,01,5.50,2800,2900,2850
2019,April,03,5.50,2800,2900,2850
2019,November,27,5.50,2800,2900,2850
2018,December,10,5.50,2800,3000,2900
2019,October,30,5.50,2900,3000,2950
2014,August,19,5.70,1800,2200,1900
2014,September,04,6.00,2000,2200,2100
2014,September,06,6.00,2000,2200,2100
2014,September,12,6.00,2000,2200,2100
2014,September,20,6.00,2100,2300,2200
2019,May,14,6.00,2400,2700,2550
2019,September,09,6.00,2700,2800,2750
2019,May,10,6.00,2700,2800,2750
2019,September,11,6.00,2700,2800,2750
2019,September,19,6.00,2700,2800,2750
2019,October,01,6.00,2800,2900,2850
2019,October,04,6.00,2800,2900,2850
2019,December,05,6.00,2800,2900,2850
2019,October,10,6.00,2800,2900,2850
2019,October,16,6.00,2800,2900,2850
2019,October,21,6.00,2800,2900,2850
2019,September,25,6.00,2800,2900,2850
2019,November,04,6.00,2900,3000,2950
2019,November,14,6.00,2900,3000,2950
2019,October,29,6.00,2900,3000,2950
2018,December,11,6.20,2800,3000,2900
2019,April,17,6.30,2700,2800,2750
2014,October,18,6.50,2100,2300,2200
2019,May,16,6.50,2400,2700,2550
2019,September,21,6.50,2700,2800,2750
2018,December,14,6.50,2700,3000,2850
2019,December,09,6.50,2800,2900,2850
2019,October,17,6.50,2800,2900,2850
2019,October,22,6.50,2800,2900,2850
2019,November,25,6.50,2800,2900,2850
2019,October,31,6.50,2900,3000,2950
2014,October,09,7.00,2100,2300,2200
2014,October,17,7.00,2100,2300,2200
2014,October,22,7.00,2100,2300,2200
2014,November,26,7.00,2100,2300,2200
2019,May,13,7.00,2700,2800,2750
2019,September,13,7.00,2700,2800,2750
2019,September,20,7.00,2700,2800,2750
2019,April,24,7.00,2700,2800,2750
2019,October,11,7.00,2800,2900,2850
2019,October,15,7.00,2800,2900,2850
2019,October,19,7.00,2800,2900,2850
2019,November,20,7.00,2800,2900,2850
2019,November,22,7.00,2800,2900,2850
2019,September,24,7.00,2800,2900,2850
2019,November,26,7.00,2800,2900,2850
2019,December,27,7.00,2800,2900,2850
2019,November,01,7.00,2900,3000,2950
2019,November,13,7.00,2900,3000,2950
2019,March,29,7.20,2800,2900,2850
2014,August,01,7.50,1800,2000,1900
2019,April,12,7.50,2700,2800,2750
2019,September,16,7.50,2700,2800,2750
2019,December,07,7.50,2800,2900,2850
2019,November,15,7.60,2900,3000,2950
2014,November,10,8.00,2100,2300,2200
2014,October,15,8.00,2100,2300,2200
2014,October,16,8.00,2100,2300,2200
2018,December,17,8.00,2700,3000,2850
2019,December,06,8.00,2800,2900,2850
2019,December,21,8.00,2800,2900,2850
2019,December,26,8.00,2800,2900,2850
2014,October,30,8.20,2100,2300,2200
2019,April,22,8.20,2700,2800,2750
2019,April,08,8.30,2800,2900,2850
2019,April,09,8.30,2800,2900,2850
2019,May,02,8.50,2700,2800,2750
2019,December,20,8.50,2800,2900,2850
2014,November,01,9.00,2100,2300,2200
2014,December,08,9.00,2100,2300,2200
2014,November,13,9.00,2100,2300,2200
2014,December,15,10.50,2100,2300,2200
2018,August,07,11.00,2500,2700,2600
2014,December,30,12.00,2100,2300,2200
2017,July,30,12.20,2300,2500,2400
2014,December,24,12.50,2100,2300,2200
2017,March,23,13.50,2600,2800,2700
2015,February,17,14.00,2100,2300,2200
2015,September,17,14.00,2100,2300,2200
