year,month,date,arrival,min,max,modal
2014,August,11,6.00,1800,2000,1900
2014,June,25,6.00,1800,2000,1900
2014,August,13,6.50,1800,2000,1900
2014,March,18,8.40,1800,2000,1900
2014,June,05,9.00,1800,2000,1900
2014,June,02,9.50,1800,2000,1900
2014,April,04,9.50,1800,2000,1900
2014,April,05,9.50,1800,2000,1900
2014,February,10,9.50,1800,2000,1900
2014,June,26,10.20,1800,2000,1900
2014,February,15,10.50,1800,2000,1900
2014,June,23,10.50,1800,2000,1900
2014,February,27,10.50,1800,2000,1900
2014,October,29,10.80,2100,2300,2200
2014,May,05,10.90,1800,2000,1900
2014,June,12,10.90,1800,2000,1900
2014,March,24,10.90,1800,2000,1900
2014,December,15,11.50,2100,2300,2200
2014,March,29,11.90,1800,2000,1900
2014,March,06,12.00,1800,2000,1900
2014,May,07,12.00,1800,2000,1900
2014,June,10,12.00,1800,2000,1900
2014,February,11,12.00,1800,2000,1900
2014,June,16,12.00,1800,2000,1900
2014,June,17,12.00,1800,2000,1900
2014,May,21,12.00,1800,2000,1900
2014,June,24,12.00,1800,2000,1900
2014,March,26,12.00,1800,2000,1900
2014,March,31,12.00,1800,2000,1900
2014,May,20,12.40,1800,2000,1900
2014,December,23,12.50,2100,2300,2200
2014,February,13,12.90,1800,2000,1900
2014,May,30,12.90,1800,2000,1900
2014,May,31,12.90,1800,2000,1900
2014,March,10,13.00,1800,2000,1900
2014,March,27,13.00,1800,2000,1900
2014,May,23,14.00,1800,2000,1900
2014,May,27,14.00,1800,2000,1900
2014,July,01,14.50,1800,2000,1900
2014,March,11,14.50,1800,2000,1900
2014,February,12,14.50,1800,2000,1900
2014,June,19,14.50,1800,2000,1900
2014,May,19,14.50,1800,2000,1900
2014,June,20,14.50,1800,2000,1900
2014,June,21,14.50,1800,2000,1900
2014,March,21,14.50,1800,2000,1900
2014,February,19,16.00,1800,2000,1900
2014,April,11,16.50,1800,2000,1900
2014,March,13,16.50,1800,2000,1900
2015,August,07,17.00,2100,2300,2200
2014,February,07,17.50,1800,2000,1900
2014,January,22,17.50,1800,2000,1900
2014,February,24,17.50,1800,2000,1900
2015,October,07,18.00,2100,2300,2200
2015,September,24,18.00,2100,2300,2200
2014,January,21,18.50,1800,2000,1900
2014,April,10,19.80,1800,2000,1900
2014,February,01,20.50,1800,2000,1900
2014,January,17,20.50,1800,2000,1900
2014,January,18,20.50,1800,2000,1900
2014,March,15,20.90,1800,2000,1900
2014,January,10,21.00,1800,2000,1900
2016,March,17,23.00,2100,2300,2200
2014,January,07,23.90,1800,2000,1900
2014,January,08,23.90,1800,2000,1900
2014,January,09,23.90,1800,2000,1900
2014,January,30,24.00,1800,2000,1900
2014,January,06,24.40,1800,2000,1900
2014,April,08,24.50,1800,2000,1900
2014,January,28,24.50,1800,2000,1900
2016,March,03,25.00,2100,2300,2200
2015,November,05,25.00,2100,2300,2200
2016,April,06,25.00,2100,2300,2200
