year,month,date,arrival,min,max,modal
2015,January,21,0.10,3500,3700,3600
2014,September,19,2.00,3200,3400,3300
2014,July,21,2.50,3000,3400,3200
2014,May,23,2.50,3000,3400,3200
2014,October,22,2.50,3500,3700,3600
2014,September,25,2.50,3500,3700,3600
2014,May,29,2.90,3000,3200,3100
2014,May,30,2.90,3000,3200,3100
2014,August,04,2.90,3000,3400,3200
2014,August,19,2.90,3000,3400,3200
2014,June,19,2.90,3000,3400,3200
2014,May,21,2.90,3000,3400,3200
2014,June,05,3.00,3000,3200,3100
2014,February,24,3.00,3000,3200,3100
2014,July,02,3.00,3000,3400,3200
2014,August,13,3.00,3000,3400,3200
2014,October,09,3.00,3500,3700,3600
2014,October,18,3.00,3500,3700,3600
2014,September,24,3.00,3500,3700,3600
2014,September,26,3.00,3500,3700,3600
2014,October,29,3.00,3500,3700,3600
2014,June,23,3.20,3000,3400,3200
2014,October,30,3.20,3500,3700,3600
2014,July,07,3.50,3000,3400,3200
2014,July,08,3.50,3000,3400,3200
2014,June,12,3.50,3000,3400,3200
2014,August,16,3.50,3000,3400,3200
2014,June,16,3.50,3000,3400,3200
2014,June,17,3.50,3000,3400,3200
2014,July,24,3.50,3000,3400,3200
2014,May,27,3.50,3000,3400,3200
2014,August,30,3.50,3000,3400,3200
2014,May,31,3.50,3000,3400,3200
2014,September,15,3.50,3200,3400,3300
2014,September,17,3.50,3200,3400,3300
2014,November,01,3.50,3500,3700,3600
2014,October,17,3.50,3500,3700,3600
2014,February,19,3.80,3000,3200,3100
2014,May,19,3.90,3000,3200,3100
2014,August,01,3.90,3000,3400,3200
2014,July,16,3.90,3000,3400,3200
2014,June,25,3.90,3000,3400,3200
2014,March,18,4.00,3000,3200,3100
2014,May,20,4.00,3000,3200,3100
2014,March,25,4.00,3000,3200,3100
2014,March,26,4.00,3000,3200,3100
2014,July,17,4.00,3000,3400,3200
2014,August,26,4.00,3000,3400,3200
2014,June,26,4.00,3000,3400,3200
2014,September,08,4.00,3200,3400,3300
2014,September,12,4.00,3200,3400,3300
2014,November,03,4.00,3500,3700,3600
2014,November,10,4.00,3500,3700,3600
2014,November,13,4.00,3500,3700,3600
2014,October,13,4.00,3500,3700,3600
2014,September,20,4.00,4200,4400,4300
2014,May,07,4.20,3000,3200,3100
2014,March,13,4.50,3000,3200,3100
2014,February,27,4.50,3000,3200,3100
2014,July,10,4.50,3000,3400,3200
2014,June,10,4.50,3000,3400,3200
2014,June,11,4.50,3000,3400,3200
2014,September,06,4.50,3200,3400,3300
2014,May,05,4.80,3000,3200,3100
2014,March,27,4.80,3000,3200,3100
2014,March,06,4.90,3000,3200,3100
2014,June,02,4.90,3000,3400,3200
2014,August,11,4.90,3000,3400,3200
2014,October,16,5.00,3500,3700,3600
2014,February,15,5.20,3000,3200,3100
2014,March,21,5.20,3000,3200,3100
2014,July,31,5.40,3000,3400,3200
2014,September,04,5.50,3900,4100,4000
2014,March,10,5.60,3000,3200,3100
2014,March,24,5.80,3000,3200,3100
