year,month,date,arrival,min,max,modal
2018,September,01,8.00,5100,5300,5200
2019,February,05,10.00,5200,5300,5250
2019,February,04,11.00,5200,5300,5250
2018,August,28,12.00,5100,5300,5200
2018,August,27,14.00,5000,5300,5150
2019,February,07,14.00,5200,5300,5250
2018,December,01,15.00,5000,5300,5150
2018,November,12,15.00,5000,5300,5150
2018,August,21,15.00,5000,5300,5150
2018,October,09,15.00,5100,5400,5250
2019,March,05,16.00,5300,5500,5400
2019,February,12,18.00,5200,5300,5250
2019,February,11,19.00,5200,5800,5250
2018,September,13,20.00,5100,5300,5200
2018,September,18,20.00,5100,5300,5200
2018,October,06,20.00,5100,5400,5250
2018,October,29,20.00,5100,5400,5300
2019,January,11,20.00,5200,5300,5250
2019,January,30,20.00,5200,5300,5250
2019,March,12,20.00,5300,5500,5400
2019,June,21,20.00,5400,5700,5550
2018,September,10,22.00,5100,5300,5200
2019,July,16,22.00,5200,5600,5350
2019,February,16,23.00,5200,5300,5250
2018,November,05,25.00,5000,5300,5150
2018,September,17,25.00,5100,5300,5200
2019,January,28,25.00,5200,5300,5250
2019,July,05,25.00,5200,5600,5350
2019,February,28,25.00,5300,5500,5400
2018,December,11,28.00,5000,5300,5150
2019,July,04,28.00,5200,5600,5350
2018,December,03,30.00,5000,5300,5150
2018,December,07,30.00,5000,5300,5150
2018,October,20,30.00,5100,5400,5300
2019,January,09,30.00,5200,5300,5250
2019,February,14,30.00,5200,5300,5250
2019,January,24,30.00,5200,5300,5250
2018,December,15,30.00,5200,5300,5260
2019,February,27,30.00,5300,5500,5400
2018,December,14,32.00,5200,5300,5250
2019,January,07,35.00,5200,5300,5250
2019,February,20,35.00,5200,5300,5250
2018,December,21,35.00,5200,5300,5250
2019,February,26,35.00,5200,5300,5250
2019,January,25,38.00,5200,5300,5250
2018,October,01,45.00,5100,5300,5200
2019,February,25,45.00,5200,5300,5250
2019,January,01,48.00,5200,5300,5250
2019,January,04,48.00,5200,5300,5250
2019,May,28,48.00,5200,5500,5350
2018,October,25,66.00,5100,5400,5300
2019,May,13,80.00,5400,6800,6100
2016,November,18,120.00,7000,8000,7500
2017,February,16,670.00,6800,7600,7200
2017,February,07,750.00,6800,7600,7200
2017,February,28,790.00,5800,6200,6000
2016,December,27,1,050.00,7000,7800,7400
2016,November,30,1,140.00,7000,7800,7400
2016,November,22,1,140.00,7000,8000,7500
2016,November,25,1,200.00,7000,7800,7400
2016,December,06,1,210.00,7000,7800,7400
2016,November,29,1,230.00,7000,7800,7400
2016,December,22,1,250.00,7000,7800,7400
2016,November,15,1,290.00,7000,8000,7500
2016,November,04,1,350.00,7000,8000,7500
2016,December,08,1,360.00,7000,7800,7400
2016,November,03,1,410.00,7200,8200,7700
2016,December,20,1,420.00,7000,7800,7400
2016,December,14,1,480.00,7000,7800,7400
2017,March,29,1,500.00,5800,6200,6000
2017,January,10,1,500.00,7000,7800,7400
2016,October,26,1,500.00,7200,8200,7700
2016,November,07,1,520.00,7000,8000,7500
2016,November,08,1,580.00,7000,8000,7500
2016,November,01,1,580.00,7200,8200,7700
2016,October,19,1,620.00,7200,8200,7700
2016,October,21,1,620.00,7200,8200,7700
2016,September,29,1,670.00,7200,8200,7700
2017,April,10,1,690.00,6000,6500,6250
2016,October,25,1,690.00,7200,8200,7700
2017,April,11,1,740.00,6000,6500,6250
2016,October,24,1,770.00,7200,8200,7700
2017,April,24,1,860.00,6000,6500,6250
2017,April,29,1,860.00,6000,6500,6250
2017,April,28,1,900.00,6000,6500,6250
2017,May,11,1,990.00,6000,6500,6250
2017,May,15,2,100.00,6000,6500,6250
2014,June,16,9.00,6000,6400,6200
2014,June,17,9.00,6000,6400,6200
2014,March,11,9.50,5600,6000,5800
2014,March,18,9.50,5600,6000,5800
2014,March,04,10.50,5600,6000,5800
2014,June,12,10.90,6000,6400,6200
2014,June,24,10.90,6000,6400,6200
2014,June,25,10.90,6000,6400,6200
2014,February,11,12.00,5600,6000,5800
2014,March,13,12.00,5600,6000,5800
2014,February,27,12.00,5600,6000,5800
2014,June,26,12.00,6000,6400,6200
2014,March,15,12.50,5600,6000,5800
2014,June,23,12.50,6000,6400,6200
2014,March,10,12.90,5600,6000,5800
