year,month,date,arrival,min,max,modal
2018,September,01,0.70,6600,7200,6900
2018,July,05,0.80,6500,7200,6850
2018,August,08,0.80,6500,7200,6850
2018,June,19,0.80,6500,7200,6850
2019,February,04,0.90,6400,7500,6950
2019,February,05,0.90,6400,7500,6950
2018,June,20,0.90,6500,7200,6850
2017,August,07,1.00,6000,6500,6250
2018,August,06,1.00,6500,7200,6850
2018,June,12,1.00,6500,7200,6850
2018,June,21,1.00,6500,7200,6850
2018,June,25,1.00,6500,7200,6850
2018,July,03,1.10,6500,7200,6850
2018,June,15,1.10,6500,7200,6850
2018,June,26,1.10,6500,7200,6850
2018,August,28,1.10,6600,7200,6900
2019,February,07,1.20,6400,7500,6950
2018,June,11,1.20,6500,7200,6850
2018,August,27,1.20,6500,7200,6850
2018,October,09,1.20,6500,7400,6950
2019,March,19,1.20,6600,7600,7100
2018,December,01,1.20,6700,7400,7050
2018,August,03,1.30,6500,7200,6850
2018,June,08,1.30,6500,7200,6850
2018,July,10,1.30,6500,7200,6850
2018,July,13,1.30,6500,7200,6850
2018,June,13,1.30,6500,7200,6850
2018,June,27,1.30,6500,7200,6850
2019,March,05,1.30,6600,7600,7100
2019,February,12,1.40,6400,7500,6950
2018,July,12,1.40,6500,7200,6850
2018,August,21,1.40,6500,7200,6850
2019,February,11,1.50,6400,7500,6950
2019,January,11,1.50,6400,7500,6950
2018,August,18,1.50,6500,7200,6850
2018,September,18,1.50,6500,7500,7000
2019,March,02,1.50,6600,7600,7100
2019,March,18,1.50,6600,7600,7100
2019,March,26,1.50,6600,7600,7100
2019,July,02,1.50,7200,8500,7950
2019,July,06,1.50,7200,8500,7950
2019,July,11,1.50,7200,8500,7950
2019,June,10,1.50,7500,8700,8100
2019,June,13,1.50,7500,8700,8100
2019,June,27,1.50,7500,8700,8100
2019,February,13,1.60,6400,7500,6950
2018,June,05,1.60,6500,7200,6850
2018,August,10,1.60,6500,7200,6850
2018,July,16,1.60,6500,7200,6850
2018,August,20,1.60,6500,7200,6850
2018,July,21,1.60,6500,7200,6850
2018,October,06,1.60,6500,7400,6950
2019,July,18,1.60,7200,8500,7950
2019,June,21,1.60,7500,8700,8100
2019,January,30,1.70,6400,7400,6950
2018,June,04,1.70,6500,7200,6850
2018,August,16,1.70,6500,7200,6850
2019,June,15,1.70,7500,8700,8100
2019,June,28,1.70,7500,8700,8100
2018,June,02,1.80,6500,7200,6850
2018,October,29,1.80,6500,7400,6950
2018,September,13,1.80,6600,7200,6900
2019,March,12,1.80,6600,7600,7100
2018,December,11,1.80,6700,7400,7050
2019,August,16,1.80,7000,8000,7500
2019,July,04,1.80,7200,8500,7950
2019,July,10,1.80,7200,8500,7950
2019,July,16,1.80,7200,8500,7950
2019,July,01,1.80,7500,8700,8100
2019,June,11,1.80,7500,8700,8100
2019,June,26,1.80,7500,8700,8100
2018,August,13,1.90,6500,7200,6850
2018,July,19,1.90,6500,7200,6850
2019,January,09,2.00,6400,7400,6950
2019,January,28,2.00,6400,7500,6950
2018,June,01,2.00,6500,7200,6850
2018,October,20,2.00,6500,7400,6950
2018,September,10,2.00,6600,7200,6900
2019,February,28,2.00,6600,7600,7100
2018,November,05,2.00,6700,7400,7050
2019,August,01,2.00,7000,8000,7500
2019,August,03,2.00,7000,8000,7500
2019,August,17,2.00,7000,8000,7500
2019,October,31,2.00,7000,8700,7800
2019,July,05,2.00,7200,8500,7950
2019,July,12,2.00,7200,8500,7950
2019,July,20,2.00,7200,8500,7950
2019,July,23,2.00,7200,8500,7950
2019,July,30,2.00,7200,8500,7950
2019,October,09,2.00,7500,8500,8000
2019,September,13,2.00,7500,8500,8000
2019,September,19,2.00,7500,8500,8000
2019,October,21,2.00,7500,8500,8000
2019,September,23,2.00,7500,8500,8000
2019,September,25,2.00,7500,8500,8000
2019,September,30,2.00,7500,8500,8000
2019,June,07,2.00,7500,8700,8100
2019,June,24,2.00,7500,8700,8100
2019,June,25,2.00,7500,8700,8100
2019,November,27,2.00,7500,8800,8150
2018,December,15,2.10,6400,7500,6950
2019,February,16,2.20,6400,7500,6950
2019,July,22,2.20,7200,8500,7950
2019,July,24,2.20,7200,8500,7950
2019,September,05,2.20,7500,8500,8000
2018,May,29,2.30,6500,7200,6850
2019,May,29,2.30,7500,8400,7950
2019,January,07,2.40,6400,7500,6950
2018,May,23,2.40,6500,7200,6850
2019,February,14,2.50,6400,7500,6950
2018,May,22,2.50,6500,7200,6850
2018,May,28,2.50,6500,7200,6850
2019,March,15,2.50,6600,7600,7100
2019,February,27,2.50,6600,7600,7100
2018,April,27,2.50,6700,7200,6950
2019,August,02,2.50,7000,8000,7500
2019,November,08,2.50,7000,8700,7800
2019,November,11,2.50,7000,8700,7800
2019,October,30,2.50,7000,8700,7800
2019,July,31,2.50,7200,8500,7950
