year,month,date,arrival,min,max,modal
2017,August,07,0.10,5500,6500,6000
2017,August,19,0.10,5500,6500,6000
2019,February,05,0.40,6000,7000,6500
2018,September,01,0.50,5700,7000,6350
2019,February,04,0.50,6000,7000,6500
2018,July,05,0.60,5100,6800,5800
2018,June,20,0.60,5200,6800,6000
2018,August,06,0.60,5700,7000,6350
2018,August,08,0.60,5700,7000,6350
2018,July,25,0.70,5100,6500,5800
2018,June,05,0.70,5200,6800,6000
2018,June,19,0.70,5200,6800,6000
2018,June,21,0.70,5200,6800,6000
2018,June,25,0.70,5200,6800,6000
2018,November,12,0.70,5500,7000,6250
2018,August,07,0.70,5700,7000,6350
2019,February,12,0.70,6000,7000,6500
2019,March,19,0.70,6000,7700,6850
2018,July,03,0.80,5100,6500,5800
2018,July,24,0.80,5100,6500,5800
2018,June,04,0.80,5200,6200,6000
2018,June,12,0.80,5200,6800,6000
2018,June,15,0.80,5200,6800,6000
2018,December,01,0.80,5500,7000,6250
2018,December,11,0.80,5500,7000,6250
2018,August,03,0.80,5700,7000,6350
2018,August,10,0.80,5700,7000,6850
2018,October,06,0.80,6000,6700,6350
2019,February,07,0.80,6000,7000,6500
2019,February,11,0.80,6000,7000,6500
2019,March,18,0.80,6000,7000,6850
2018,July,23,0.90,5100,6500,5800
2018,July,27,0.90,5100,6500,5800
2018,June,02,0.90,5200,6800,6000
2018,June,11,0.90,5200,6800,6000
2018,June,26,0.90,5200,6800,6000
2018,August,18,0.90,5700,7000,6350
2018,August,28,0.90,5700,7000,6350
2018,October,09,0.90,6000,6700,6350
2018,October,29,0.90,6000,7000,6350
2019,March,05,0.90,6000,7700,6850
2019,March,26,0.90,6000,7700,6850
2018,June,01,1.00,5000,6500,5750
2018,May,21,1.00,5000,6500,5750
2018,May,23,1.00,5000,6500,5750
2018,May,29,1.00,5000,6500,5750
2018,July,26,1.00,5100,6500,5500
2018,July,10,1.00,5100,6500,5800
2018,July,13,1.00,5100,6500,5800
2018,July,21,1.00,5100,6500,5800
2018,May,03,1.00,5200,6500,5850
2018,April,27,1.00,5200,6500,5850
2018,June,08,1.00,5200,6500,6000
2018,June,13,1.00,5200,6800,6000
2018,November,05,1.00,5500,7000,6250
2018,August,16,1.00,5700,7000,6350
2018,September,18,1.00,5700,7000,6350
2018,August,21,1.00,5700,7000,6350
2018,August,27,1.00,5700,7000,6350
2018,October,20,1.00,6000,6700,6350
2019,January,11,1.00,6000,7000,6500
2019,February,13,1.00,6000,7000,6500
2019,January,30,1.00,6000,7000,6500
2019,March,12,1.00,6000,7700,6850
2019,February,28,1.00,6000,7700,6850
2019,June,27,1.00,6500,9000,7750
2019,August,16,1.00,7000,8300,7550
2019,July,10,1.00,7000,8500,7600
2019,October,19,1.00,7500,8500,8000
2019,September,24,1.00,7500,8500,8000
2019,September,25,1.00,7500,8500,8000
2019,September,30,1.00,7500,8500,8000
2019,September,05,1.00,7500,8600,8050
2019,September,12,1.00,7500,8600,8050
2019,September,21,1.00,7500,8600,8050
2019,October,31,1.00,7800,8600,8150
2019,November,29,1.00,8000,8700,8350
2018,May,22,1.10,5000,6500,5750
2018,May,28,1.10,5000,6500,5750
2018,July,12,1.10,5100,6500,5800
2018,July,31,1.10,5100,6500,5800
2018,June,27,1.10,5200,6800,6000
2019,April,03,1.10,6000,7700,6850
2018,May,15,1.20,5000,6500,5750
2018,May,02,1.20,5000,6500,5850
2018,July,11,1.20,5100,6500,5800
2018,July,16,1.20,5100,6500,5800
2018,July,30,1.20,5100,6500,5800
2018,September,10,1.20,5700,7000,6350
2018,August,13,1.20,5700,7000,6350
2018,September,13,1.20,5700,7000,6350
2018,August,20,1.20,5700,7000,6350
2018,December,15,1.20,6000,7000,6500
2019,February,16,1.20,6000,7000,6500
2019,January,28,1.20,6000,7000,6500
2019,March,02,1.20,6000,7700,6850
2019,March,15,1.20,6000,7700,6850
2019,July,01,1.20,6500,9000,7750
2019,June,10,1.20,6500,9000,7750
2019,June,13,1.20,6500,9000,7750
2019,June,15,1.20,6500,9000,7750
2019,June,26,1.20,6500,9000,7750
2019,June,28,1.20,6500,9000,7750
2019,August,01,1.20,7000,8300,7550
2019,July,06,1.20,7000,8500,7600
2019,July,11,1.20,7000,8500,7600
2019,July,16,1.20,7000,8500,7600
2019,July,18,1.20,7000,8500,7600
2019,July,22,1.20,7000,8500,7600
2019,September,04,1.20,7500,8600,8050
2018,July,18,1.30,5100,6500,5800
2018,December,14,1.30,6000,7000,6500
2019,April,02,1.30,6000,7700,6850
2019,April,22,1.30,7200,7800,7500
2019,September,07,1.30,7500,8600,8050
2018,May,16,1.40,5000,6500,5750
2018,May,18,1.40,5000,6500,5750
2018,December,03,1.40,5500,7000,6250
2018,December,07,1.40,5500,7000,6250
2018,September,17,1.40,5700,7000,6350
2019,January,04,1.40,6000,7000,6500
2019,January,09,1.40,6000,7000,6500
2019,June,11,1.40,6500,9000,7750
2019,June,21,1.40,6500,9000,7750
2019,July,02,1.40,7000,8500,7600
2019,July,12,1.40,7000,8500,7600
2019,July,30,1.40,7000,8500,7600
2018,May,14,1.50,5000,6500,5750
2018,September,05,1.50,5700,7000,6350
2018,December,21,1.50,6000,7000,6500
2019,February,14,1.50,6000,7500,6500
2019,February,27,1.50,6000,7700,6850
2019,June,25,1.50,6000,9000,7750
2019,June,07,1.50,6500,9000,7750
2019,August,03,1.50,7000,8300,7550
2019,August,17,1.50,7000,8300,7550
2019,July,05,1.50,7000,8500,7600
2019,July,20,1.50,7000,8500,7600
2019,July,23,1.50,7000,8500,7600
2019,July,25,1.50,7000,8500,7600
2019,July,31,1.50,7000,8500,7600
2019,May,16,1.50,7200,8200,7850
2019,May,29,1.50,7200,8200,7850
2019,May,31,1.50,7200,8200,7850
2019,October,01,1.50,7500,8500,8000
2019,October,09,1.50,7500,8500,8000
2019,October,15,1.50,7500,8500,8000
2019,October,17,1.50,7500,8500,8000
2019,October,21,1.50,7500,8500,8000
2019,October,23,1.50,7500,8500,8000
2019,September,23,1.50,7500,8500,8000
2019,September,26,1.50,7500,8500,8000
2019,September,16,1.50,7500,8600,8050
2019,September,19,1.50,7500,8600,8050
2019,November,06,1.50,7800,8600,8150
2019,October,30,1.50,7800,8600,8150
2019,November,18,1.50,8000,8700,8350
2019,November,20,1.50,8000,8700,8350
2019,November,22,1.50,8000,8700,8350
2019,November,27,1.50,8000,8700,8350
2019,January,01,1.60,6000,7000,6500
2019,January,07,1.60,6000,7000,6500
2019,April,01,1.60,6000,7700,6850
2019,August,02,1.60,7000,8300,7550
2019,July,04,1.60,7000,8500,7600
2019,September,13,1.60,7500,8600,8050
2019,November,04,1.60,7800,8600,8150
2018,May,11,1.70,5000,6500,5750
2019,April,08,1.70,6000,7700,6850
2019,April,09,1.70,6000,7700,6850
2019,September,09,1.70,7500,8600,8050
2019,August,30,1.70,7500,8600,8050
2018,July,19,1.80,5100,6500,5800
2018,October,01,1.80,5700,7000,6350
2019,February,20,1.80,6000,7000,6500
2019,January,24,1.80,6000,7000,6500
2019,June,24,1.80,6500,9000,7750
2019,July,24,1.80,7000,8500,7600
2019,July,29,1.80,7000,8500,7600
2019,April,10,1.80,7200,7800,7500
2019,October,10,1.80,7500,8500,8000
2019,September,03,1.80,7500,8600,8050
2019,October,24,1.80,7800,8600,8150
2019,November,26,1.80,8000,8700,8350
