year,month,date,arrival,min,max,modal
2014,May,20,5.90,1700,2000,1850
2014,February,11,6.50,1400,1600,1500
2014,February,19,6.50,1400,1800,1600
2014,June,02,6.50,1700,1900,1800
2014,June,26,6.50,1800,2050,1925
2014,May,21,6.90,1700,1900,1800
2014,May,07,7.00,1200,1400,1300
2014,February,27,7.00,1400,1800,1600
2014,June,05,7.00,1700,1900,1800
2014,May,23,7.00,1700,1900,1800
2014,May,27,7.00,1700,1900,1800
2014,February,24,7.50,1400,1800,1600
2014,May,29,7.90,1700,1900,1800
2014,May,30,7.90,1700,1900,1800
2014,June,25,7.90,1800,2050,1925
2014,May,31,8.50,1700,1900,1800
2014,March,10,9.00,1100,1200,1150
2014,May,19,9.00,1200,1400,1300
2014,February,10,9.00,1400,1600,1500
2014,June,10,9.00,1700,1900,1800
2014,June,11,9.00,1700,1900,1800
2014,February,15,9.50,1400,1800,1600
2014,February,07,9.50,1600,1800,1700
2014,January,22,9.50,1600,1800,1700
2014,June,19,9.50,1800,2100,1900
2014,June,21,9.50,1800,2100,1900
2014,May,05,9.80,1200,1400,1300
2014,June,12,9.80,1700,1900,1800
2014,January,21,10.50,1600,1800,1700
2014,June,16,10.50,1780,1800,1790
2014,June,17,10.50,1780,1800,1790
2014,February,01,10.60,1600,1800,1700
2014,June,23,10.80,1800,2050,1925
2014,February,13,12.00,1400,1800,1600
2014,January,06,12.00,1800,2000,1900
2014,April,04,12.50,1000,1150,1125
2014,April,05,12.50,1100,1150,1125
2014,March,11,12.50,1100,1200,1150
2014,January,07,13.50,1800,2000,1900
2014,January,08,13.50,1800,2000,1900
2014,January,09,13.50,1800,2000,1900
2014,January,17,14.00,1600,1800,1700
2014,January,18,14.00,1600,1800,1700
2014,April,11,14.50,1000,1100,1050
2014,March,25,14.50,1200,1250,1225
2014,March,26,14.50,1200,1250,1225
2014,February,12,14.50,1400,1800,1500
2014,January,30,14.50,1600,1800,1700
2014,March,21,16.00,1100,1200,1150
2014,April,10,16.50,1000,1100,1050
2014,March,13,16.50,1100,1200,1150
2014,March,27,16.50,1200,1250,1225
2014,March,06,16.50,1400,1600,1500
2014,March,24,17.00,1100,1200,1150
2014,January,28,17.00,1600,1800,1700
2014,January,29,18.50,1600,1800,1700
2014,March,29,19.50,1200,1250,1225
2014,January,10,19.50,1800,2000,1900
2014,March,31,20.00,1200,1250,1225
2014,July,02,20.00,2400,2600,2500
2014,April,08,20.10,1000,1070,1050
2014,March,15,23.00,1100,1200,1150
2014,March,18,24.00,1100,1200,1150
