year,month,date,arrival,min,max,modal
2014,February,19,10.20,700,800,750
2014,February,24,12.00,700,800,750
2014,February,27,12.50,700,800,750
2014,April,04,14.00,1000,1100,1050
2014,April,05,14.00,1000,1100,1050
2014,March,13,14.50,700,900,800
2014,March,15,14.50,700,900,800
2014,March,24,14.90,900,1000,950
2014,June,10,16.00,1300,1500,1400
2014,June,11,16.00,1300,1500,1400
2014,June,26,16.00,1500,1600,1550
2014,March,31,16.50,1000,1100,1050
2014,February,07,17.00,700,800,750
2014,March,21,17.50,900,1000,950
2014,January,17,17.50,900,1100,1000
2014,January,18,17.50,900,1100,1000
2014,January,30,18.50,700,900,800
2014,May,05,18.50,1200,1400,1300
2014,June,12,18.50,1300,1500,1400
2014,May,23,19.00,1300,1500,1400
2014,January,21,19.50,800,1000,900
2014,May,07,19.50,1200,1400,1300
2014,June,02,19.50,1300,1500,1400
2014,May,19,19.50,1300,1500,1400
2014,June,25,19.50,1500,1600,1550
2014,January,22,19.80,800,1000,900
2014,January,29,20.00,800,1000,900
2014,March,25,20.00,1000,1100,1050
2014,March,26,20.00,1000,1100,1050
2014,March,11,20.50,700,900,800
2014,March,29,20.50,1000,1100,1050
2014,February,11,20.90,700,800,750
2014,June,19,20.90,1400,1600,1500
2014,June,21,20.90,1400,1600,1500
2014,February,13,23.00,700,800,750
2014,February,12,24.00,700,800,750
2014,March,06,24.00,700,900,800
2014,April,11,24.00,950,1050,1000
2014,February,10,24.50,700,800,750
2014,February,15,24.50,700,800,750
2014,March,10,24.50,700,900,800
2014,March,27,24.50,1000,1100,1050
2014,June,05,24.50,1300,1500,1400
2014,June,16,24.50,1600,1650,1620
2014,June,17,24.50,1600,1650,1620
2014,May,20,24.90,1300,1500,1400
2014,May,27,26.00,1300,1500,1400
2014,January,28,26.50,800,900,850
2014,April,10,26.50,950,1050,1000
2014,April,08,27.00,950,1050,1000
2014,May,21,27.00,1300,1500,1400
2014,January,06,27.50,1300,1500,1400
2014,May,31,27.50,1300,1500,1400
2014,May,29,27.80,1300,1500,1400
2014,May,30,27.80,1300,1500,1400
2014,January,10,28.50,1300,1500,1400
2014,June,23,29.00,1500,1600,1550
2014,January,07,29.50,1300,1500,1400
2014,January,08,29.50,1300,1500,1400
2014,January,09,29.50,1300,1500,1400
2014,July,02,29.50,1550,1600,1575
2014,March,18,29.80,700,900,800
2015,February,27,5.00,900,1500,1200
