year,month,date,arrival,min,max,modal
2014,August,12,0.01,7666,7800,7733
2014,August,13,0.01,7666,7800,7733
2014,August,14,0.01,7666,7800,7733
2014,August,26,0.03,7500,7600,7550
2014,August,30,0.03,7500,7600,7550
2014,August,25,0.03,7600,7740,7670
2014,September,01,0.03,7666,7700,7683
2014,June,11,0.30,7334,8667,8000
2014,May,29,2.00,7667,8667,8167
2014,September,20,2.69,7500,7500,7500
2014,August,08,2.99,7666,7800,7733
2014,June,12,3.00,7334,8667,8000
2014,June,16,3.00,8000,8667,8334
2014,June,17,3.00,8000,8667,8334
2014,June,18,3.00,8000,8667,8334
2014,September,02,3.13,7466,7500,7483
2014,September,04,3.13,7500,7700,7600
2014,September,06,3.28,7600,7700,7650
2014,September,10,4.03,7500,7600,7550
2014,September,11,4.10,7500,7600,7550
2014,September,17,4.10,7500,7700,7600
2014,July,17,4.48,7500,7600,7550
2014,July,19,4.48,7733,7800,7766
2014,July,14,4.48,7750,8000,7850
2014,June,10,4.50,7334,8667,8000
2014,June,03,4.50,8000,8667,8334
2014,July,10,4.78,7350,7650,7500
2014,July,08,5.22,7350,7600,7450
2014,July,16,5.22,7800,8200,8000
2014,July,09,5.37,7350,7650,7500
2014,July,11,5.97,7600,7750,7700
