year,month,date,arrival,min,max,modal
2014,July,31,6.50,1800,1860,1830
2014,August,08,16.00,1800,1860,1830
2014,August,22,21.00,1950,2000,1975
2014,August,25,25.00,1950,2000,1975
2014,August,26,27.50,1950,2000,1975
2014,September,01,27.80,1955,2010,1983
2014,August,30,28.50,1950,2000,1975
2014,September,20,35.00,2100,2200,2150
2014,September,06,35.00,2100,2250,2150
2014,September,10,35.50,2100,2200,2150
2014,September,11,36.00,2100,2200,2150
2014,September,17,38.00,2100,2200,2150
2014,July,25,100.00,1800,1860,1830
2015,February,27,5.00,2200,2500,2400
2014,July,31,6.50,2050,2140,2095
2014,August,08,16.00,2050,2140,2095
2014,August,11,17.00,2000,2150,2075
2014,August,12,18.00,2000,2150,2075
2014,August,13,18.00,2000,2150,2075
2014,July,19,19.00,2400,3000,2700
2014,July,21,19.00,2400,3000,2700
2014,August,14,19.50,2000,2150,2075
2014,August,22,21.00,2300,2400,2375
2014,August,25,25.00,2300,2400,2375
2014,July,17,25.00,2400,2500,2450
2014,July,14,26.00,2600,2800,2700
2014,July,11,27.00,2700,2900,2800
2014,August,26,27.50,2350,2450,2400
2014,September,01,27.80,2360,2460,2410
2014,August,30,28.50,2350,2450,2400
2014,July,16,30.00,2700,2900,2800
2014,July,08,31.00,2600,2800,2700
2014,July,10,31.00,2600,2800,2700
2014,July,09,31.70,2600,2800,2700
2014,September,04,32.00,2100,2200,2150
2014,September,20,35.00,2300,2300,2300
2014,September,06,35.00,2400,2600,2500
2014,September,10,35.50,2400,2600,2500
2014,September,11,36.00,2400,2600,2500
2014,September,17,38.00,2300,2300,2300
2014,July,25,100.00,2050,2140,2095
2014,July,31,6.50,2200,2280,2240
2015,February,26,10.00,2700,3000,2900
2014,August,08,16.00,2210,2280,2245
2014,August,11,17.00,2300,2500,2400
2014,August,12,18.00,2300,2500,2400
2014,August,13,18.00,2300,2500,2400
2014,August,14,19.50,2300,2500,2400
2014,August,22,21.00,2700,2800,2750
2014,August,25,25.00,2700,2800,2750
2014,August,26,27.50,2700,2800,2750
2014,September,01,27.80,2700,2820,2760
2014,August,30,28.50,2700,2800,2750
2014,September,04,32.00,2400,2600,2500
2014,September,06,35.00,2500,2800,2650
2014,September,20,35.00,2500,2850,2700
2014,September,10,35.50,2550,2850,2700
2014,September,11,36.00,2550,2850,2700
2014,September,17,38.00,2500,2850,2700
2014,July,25,100.00,2200,2280,2240
2015,February,27,5.00,2500,2580,2550
2014,July,31,6.50,2360,2400,2380
2014,August,11,17.00,2250,2350,2300
2014,August,12,18.00,2250,2350,2300
2014,August,13,18.00,2250,2350,2300
2014,August,14,19.50,2200,2350,2300
2014,August,26,27.50,2100,2250,2175
2014,September,01,27.80,2100,2300,2200
2014,August,30,28.50,2100,2200,2150
2014,September,04,32.00,2250,2350,2300
2014,September,06,35.00,2250,2350,2320
2014,September,20,35.00,2350,2400,2375
2014,September,10,35.50,2300,2350,2325
2014,September,11,36.00,2300,2350,2325
2014,September,17,38.00,2350,2400,2375
2014,July,25,100.00,2360,2400,2380
2014,June,12,3.50,2300,2400,2350
2014,May,29,4.00,2200,2300,2250
2014,May,30,4.00,2200,2300,2250
2014,June,03,4.00,2300,2400,2350
2014,June,16,4.00,2300,2400,2350
2014,June,18,4.00,2300,2400,2350
2014,June,11,15.00,2300,2400,2350
2014,June,10,20.00,2200,2300,2250
2014,May,31,20.00,2200,2300,2250
2014,June,17,20.00,2300,2400,2350
2014,September,20,35.00,4200,4200,4200
