year,month,date,arrival,min,max,modal
2014,June,10,2.00,2000,2100,2050
2014,May,29,3.00,2000,2100,2050
2014,May,30,3.00,2000,2100,2050
2014,May,31,3.00,2000,2100,2050
2014,June,11,3.00,2000,2200,2100
2014,June,12,3.00,2000,2200,2100
2014,June,16,3.00,2000,2200,2100
2014,June,17,3.00,2000,2200,2100
2014,June,18,3.00,2000,2200,2100
2014,June,03,3.00,2100,2200,2150
2014,August,26,3.00,1980,2050,2015
2014,August,14,3.00,2022,2044,2033
2014,September,10,4.00,2000,2050,2025
2014,August,08,4.00,2022,2044,2033
2014,August,12,4.00,2022,2044,2033
2014,September,11,4.50,2025,2050,2025
2014,July,25,5.00,1980,1980,1980
2014,July,19,10.00,1978,1978,1978
2014,July,17,10.00,2000,2100,2050
2014,July,10,11.00,1650,1700,1675
2014,July,14,14.00,1950,2000,1975
2014,September,06,33.00,2000,2050,2025
