year,month,date,arrival,min,max,modal
2014,August,08,0.80,3500,4400,3950
2014,July,19,1.20,4000,4000,4000
2014,August,14,2.20,4000,4500,4250
2014,September,01,11.00,3600,3600,3600
2014,September,04,12.00,3500,3700,3600
2014,September,10,18.00,3500,3600,3550
2014,September,02,20.00,3500,3600,3550
2014,August,25,20.00,4500,4500,4500
2014,September,20,180.00,3600,3700,3650
2014,September,11,200.00,3600,3600,3600
2014,September,10,18.00,4300,4300,4300
2014,September,20,180.00,4000,4000,4000
2014,September,11,200.00,4300,4300,4300
