year,month,date,arrival,min,max,modal
2014,August,08,45.00,1925,1950,1937
2014,July,25,10.00,1800,1825,1812
2014,July,30,10.00,1800,1825,1812
2014,July,31,10.00,1850,1850,1850
2014,September,04,20.00,2250,2300,2275
2014,September,20,28.00,2150,2150,2150
2014,May,31,30.00,1500,1600,1550
2014,September,06,30.00,2100,2250,2175
2014,September,10,40.00,2150,2200,2175
2014,September,11,40.00,2150,2200,2175
2014,September,17,40.80,2150,2200,2175
2014,August,11,45.00,1950,1950,1950
2014,August,12,47.50,2250,2300,2275
2014,August,13,47.50,2250,2300,2275
2014,August,25,72.50,2450,2600,2525
2014,September,02,80.00,2300,2300,2300
2014,August,22,80.00,2450,2500,2475
2014,August,26,80.00,2450,2600,2525
2014,September,01,84.00,2300,2400,2350
2014,August,30,85.00,2400,2500,2450
2015,February,27,8.00,800,1000,900
2022,March,24,9.00,1300,1500,1400
2014,August,14,58.00,2300,2400,2350
