year,month,date,arrival,min,max,modal
2015,January,07,1.00,8800,9500,9000
2015,January,18,1.00,9000,9600,9400
2015,March,10,1.00,9200,9900,9400
2015,October,29,2.00,8500,9000,9000
2014,November,16,2.00,8500,9500,9000
2014,November,09,2.00,8700,9700,9200
2015,January,06,2.00,8800,9400,9200
2015,February,07,2.00,8800,9500,9000
2015,January,08,2.00,8800,9500,9000
2015,January,21,2.00,9000,9400,9400
2015,February,09,2.00,9000,9600,9400
2014,December,18,3.00,8400,9500,9200
2014,November,24,3.00,8500,9000,9000
2014,November,25,3.00,8500,9200,9000
2015,February,08,3.00,8800,9500,9200
2015,February,10,3.00,9200,9600,9400
2015,June,02,4.00,1000,1200,1100
2015,June,16,4.00,1100,1400,1250
2015,July,25,4.00,1250,1500,1400
2014,November,21,4.00,8400,9500,9200
2014,November,18,4.00,8500,9000,9000
2014,December,30,4.00,8500,9500,9200
2014,December,17,4.00,8600,9300,9000
2014,December,19,4.00,8700,9500,9500
2015,January,12,4.00,8800,9400,9200
2015,January,03,4.00,8800,9600,9400
2015,January,14,4.00,9000,9400,9400
2015,January,17,4.00,9000,9600,9400
2014,November,13,5.00,8200,9200,8800
2014,November,28,5.00,8600,9500,9200
2014,December,03,5.00,8700,9500,9000
2014,December,09,5.00,8700,9500,9500
2014,November,14,5.00,8700,9500,9500
2015,January,05,5.00,8800,9200,9000
2014,November,19,5.00,8800,9500,9500
2015,March,17,5.00,9000,9800,9500
2015,June,21,6.00,1100,1340,1200
2014,November,08,6.00,8200,9000,8700
2015,January,28,6.00,8800,9000,9000
2014,December,10,7.00,8600,9400,9400
2014,December,06,7.00,8700,9500,9200
2015,January,02,7.00,8800,9400,9400
2015,March,08,7.00,9000,9600,9500
2014,November,10,10.00,8700,9500,9500
2014,November,20,17.00,8700,9600,9200
2014,September,12,67.00,7000,7500,7440
2014,October,27,76.00,8500,9000,9000
