year,month,date,arrival,min,max,modal
2014,January,01,11.70,2200,2400,2300
2014,February,01,11.90,2200,2400,2300
2014,January,28,11.90,2200,2400,2300
2014,January,04,12.00,2200,2400,2300
2014,February,07,12.00,2200,2400,2300
2014,January,30,12.00,2200,2400,2300
2014,February,11,12.10,2200,2400,2300
2014,February,12,25.00,2200,2400,2300
2014,January,02,52.00,2200,2400,2300
2014,January,18,62.00,2200,2400,2300
2014,January,09,69.00,2200,2400,2300
2014,January,10,69.00,2200,2400,2300
2014,January,13,69.00,2200,2400,2300
2014,July,29,2.00,2450,2650,2560
2014,August,01,2.20,2460,2680,2580
2014,July,24,3.00,2500,2650,2600
2017,April,05,3.50,2100,2300,2200
2015,March,06,4.00,1740,2200,1900
2015,August,15,4.00,1940,2160,2100
2018,April,05,4.00,2100,2400,2200
2014,July,23,4.00,2400,2640,2550
2014,July,26,4.00,2400,2640,2550
2014,July,22,4.00,2450,2600,2550
2014,July,19,4.00,2450,2640,2570
2014,July,28,4.00,2450,2650,2560
2014,August,25,4.00,2450,2680,2580
2014,August,03,4.00,2460,2680,2580
2018,February,19,4.50,2000,2200,2100
2014,July,27,4.50,2400,2600,2550
2014,July,17,4.50,2450,2640,2570
2014,July,31,4.50,2450,2670,2570
2014,December,26,5.00,1650,1850,1750
2015,February,01,5.00,1700,1900,1800
2014,November,15,5.00,2100,2300,2200
2014,December,27,5.00,2200,2400,2350
2014,October,17,5.00,2450,2600,2500
2014,August,24,5.00,2450,2680,2580
2014,August,06,5.00,2460,2680,2580
2014,July,21,5.00,2500,2650,2600
2014,July,30,5.50,2450,2650,2560
2014,August,02,5.60,2460,2680,2580
2015,September,25,6.00,1970,2200,2100
2017,January,25,6.00,2100,2300,2200
2017,May,01,6.00,2200,2400,2300
2019,October,07,6.00,2200,2500,2400
2014,August,07,6.00,2450,2700,2580
2014,August,04,6.00,2460,2680,2580
2014,July,25,6.00,2500,2650,2600
2016,May,30,7.00,1680,1900,1800
2016,September,02,7.00,2000,2300,2200
2017,May,05,7.00,2200,2400,2300
2014,August,19,7.00,2450,2680,2580
2014,August,05,7.00,2460,2680,2580
2015,March,14,8.00,1800,2100,1950
2015,August,05,8.00,1900,2100,2000
2014,September,16,8.00,2450,2650,2500
2014,October,04,8.00,2450,2650,2550
2014,August,11,8.00,2450,2680,2580
2014,September,19,8.00,2450,2700,2600
2014,August,23,8.00,2500,2600,2600
2014,October,01,8.00,2500,2700,2650
2014,September,18,8.00,2550,2700,2650
2018,March,30,9.00,2100,2300,2200
2018,March,02,9.00,2100,2450,2300
2016,December,10,9.00,2200,2400,2300
2016,December,11,9.00,2200,2400,2300
2016,December,15,9.00,2200,2400,2300
2019,December,09,9.00,2200,2500,2400
2018,September,09,9.00,2200,2550,2400
2014,August,26,9.00,2400,2600,2500
2014,September,04,9.00,2450,2680,2580
2014,August,09,9.00,2450,2680,2580
2014,August,20,9.00,2450,2680,2580
2014,September,03,9.00,2500,2750,2600
2018,October,21,9.50,2300,2600,2450
2017,April,17,9.70,2200,2400,2300
2014,September,02,9.70,2400,2700,2550
2019,October,01,10.00,2200,2500,2400
2014,August,10,10.00,2450,2680,2580
2014,August,16,10.00,2460,2680,2580
2016,August,01,12.00,1800,2200,2000
2017,February,21,12.00,2100,2300,2200
2016,September,26,12.00,2100,2300,2200
2016,September,14,12.00,2100,2350,2200
2018,March,31,12.00,2100,2400,2300
2016,December,01,12.00,2200,2400,2300
2016,December,07,12.00,2200,2400,2300
2016,October,11,12.00,2200,2400,2300
2019,February,18,12.00,2200,2400,2300
2017,May,25,12.00,2200,2400,2300
2016,September,25,12.00,2200,2400,2300
2019,July,05,12.00,2200,2500,2400
2019,June,05,12.00,2200,2500,2400
2017,July,08,12.00,2200,2500,2400
2019,June,08,12.00,2200,2500,2400
2019,April,13,12.00,2200,2500,2400
2019,March,17,12.00,2200,2500,2400
2018,October,18,12.00,2200,2500,2400
2018,September,21,12.00,2200,2500,2400
2019,March,22,12.00,2200,2500,2400
2019,September,25,12.00,2200,2500,2400
2017,February,28,12.00,2200,2600,2400
2017,August,14,12.00,2300,2500,2400
2014,October,27,12.00,2400,2600,2500
2014,September,23,12.00,2400,2600,2550
2014,October,25,12.00,2400,2600,2550
2014,August,29,12.00,2400,2600,2550
2014,September,12,12.00,2400,2700,2550
2014,October,28,12.00,2450,2600,2550
2014,September,14,12.00,2450,2650,2600
2014,October,06,12.00,2450,2700,2600
2014,September,22,12.00,2450,2700,2600
2014,September,05,12.00,2500,2600,2550
2014,October,14,12.00,2500,2700,2650
2014,September,08,12.00,2670,2750,2700
2017,May,03,12.20,2200,2500,2350
2016,December,18,12.30,2200,2400,2300
2017,October,02,12.40,2400,2600,2500
2018,March,14,12.50,1950,2350,2100
2017,September,02,12.50,2300,2500,2400
2016,September,09,12.60,2100,2300,2200
2016,September,18,13.00,2000,2300,2100
2018,February,24,13.00,2100,2300,2200
2018,July,09,13.00,2100,2400,2300
2018,March,24,13.00,2100,2400,2300
2018,April,18,13.00,2100,2450,2300
2018,February,10,13.00,2150,2450,2300
2018,May,26,13.00,2200,2500,2300
2018,September,25,13.00,2200,2500,2400
2014,September,27,13.00,2500,2700,2600
2018,February,18,13.50,2000,2400,2200
2018,March,18,13.50,2100,2300,2200
2017,March,29,13.50,2200,2400,2300
2018,October,03,13.50,2200,2500,2400
2018,November,09,13.50,2200,2500,2400
2019,October,20,13.50,2200,2500,2400
2017,October,16,13.50,2300,2500,2400
2016,April,21,14.00,1700,1900,1800
2016,February,22,14.00,1800,2100,2000
2016,July,23,14.00,1800,2200,2000
2018,March,21,14.00,2000,2300,2100
2016,September,19,14.00,2000,2300,2200
2016,August,31,14.00,2000,2300,2200
2018,May,02,14.00,2100,2300,2200
2017,February,05,14.00,2100,2300,2200
2018,February,25,14.00,2100,2300,2200
2019,February,01,14.00,2200,2400,2300
2016,December,06,14.00,2200,2400,2300
2017,August,10,14.00,2200,2400,2300
2017,March,22,14.00,2200,2400,2300
2017,June,22,14.00,2200,2500,2300
2018,September,28,14.00,2200,2500,2300
2018,November,02,14.00,2200,2500,2400
2019,October,03,14.00,2200,2500,2400
2018,December,05,14.00,2200,2500,2400
2019,March,09,14.00,2200,2500,2400
2018,October,09,14.00,2200,2500,2400
2018,November,12,14.00,2200,2500,2400
2018,October,13,14.00,2200,2500,2400
2018,September,15,14.00,2200,2500,2400
2019,September,18,14.00,2200,2500,2400
2018,November,20,14.00,2200,2500,2400
2018,October,22,14.00,2200,2500,2400
2018,October,25,14.00,2200,2500,2400
2018,October,27,14.00,2200,2500,2400
2018,May,28,14.00,2200,2500,2400
2018,May,29,14.00,2200,2500,2400
2018,September,08,14.00,2200,2550,2400
2018,June,12,14.00,2200,2550,2400
2017,August,15,14.00,2300,2500,2400
2017,August,19,14.00,2300,2500,2400
2014,October,26,14.00,2300,2500,2450
2017,September,24,14.00,2400,2600,2500
2014,September,09,14.00,2400,2650,2600
2014,September,26,14.00,2450,2600,2500
2014,October,19,14.00,2450,2600,2550
2014,August,18,14.00,2450,2670,2550
2014,October,09,14.00,2500,2650,2600
2014,October,15,14.00,2550,2700,2600
2017,September,30,14.30,2300,2500,2400
2018,April,04,14.50,2100,2300,2200
2018,April,08,14.50,2100,2300,2200
2017,January,08,14.50,2100,2300,2200
2018,February,14,14.50,2100,2300,2200
2018,March,29,14.50,2100,2300,2200
2018,March,20,14.50,2100,2400,2300
2018,March,23,14.50,2100,2500,2300
2017,August,06,14.50,2200,2400,2300
2017,July,06,14.50,2200,2400,2300
2017,June,21,14.50,2200,2400,2300
2017,March,24,14.50,2200,2400,2300
2017,March,12,14.50,2200,2450,2300
2019,November,06,14.50,2200,2500,2400
2018,September,22,14.50,2200,2500,2400
2019,July,26,14.50,2200,2600,2400
2017,July,18,14.50,2200,2600,2500
2017,October,14,14.50,2300,2500,2400
2017,September,17,14.50,2300,2500,2400
2016,July,17,15.00,1800,2200,2000
2015,March,10,15.00,1820,2150,2000
2015,November,12,15.00,1870,2100,2000
2015,November,15,15.00,1900,2100,2000
2015,November,17,15.00,1900,2100,2000
2016,August,15,15.00,1900,2250,2100
2015,September,02,15.00,1960,2100,2050
2015,October,23,15.00,1970,2200,2100
2015,November,05,15.00,2000,2200,2100
2016,September,11,15.00,2000,2200,2100
2015,November,19,15.00,2000,2200,2100
2016,September,03,15.00,2000,2300,2200
2016,July,27,15.00,2000,2300,2200
2016,August,29,15.00,2000,2300,2200
2015,November,14,15.00,2000,2400,2300
2018,April,02,15.00,2100,2300,2200
2017,April,03,15.00,2100,2300,2200
2018,February,07,15.00,2100,2300,2200
2017,April,08,15.00,2100,2300,2200
2017,February,23,15.00,2100,2300,2200
2018,March,27,15.00,2100,2300,2200
2018,April,28,15.00,2100,2350,2200
2018,April,14,15.00,2100,2450,2300
2018,May,19,15.00,2100,2450,2300
2018,May,03,15.00,2100,2500,2300
2016,November,20,15.00,2150,2350,2260
2016,October,15,15.00,2200,2400,2300
2017,March,18,15.00,2200,2400,2300
2019,January,24,15.00,2200,2400,2300
2014,November,13,15.00,2200,2450,2300
2018,December,03,15.00,2200,2500,2400
2019,January,03,15.00,2200,2500,2400
2019,May,03,15.00,2200,2500,2400
2019,January,08,15.00,2200,2500,2400
2018,June,10,15.00,2200,2500,2400
2018,December,14,15.00,2200,2500,2400
2019,April,15,15.00,2200,2500,2400
2019,February,19,15.00,2200,2500,2400
2018,November,19,15.00,2200,2500,2400
2019,June,04,15.00,2200,2600,2400
2017,October,03,15.00,2300,2500,2400
2017,December,08,15.00,2300,2500,2400
2017,August,16,15.00,2300,2500,2400
2017,August,25,15.00,2300,2600,2500
2014,November,07,15.00,2400,2550,2450
2014,October,20,15.00,2450,2600,2550
2017,July,12,15.50,2200,2400,2300
2016,August,07,15.60,2000,2300,2200
2017,February,08,15.60,2100,2400,2300
2018,February,02,15.60,2150,2450,2300
2017,April,16,15.60,2200,2500,2300
2017,May,20,15.60,2200,2500,2300
2017,November,19,15.60,2300,2500,2400
2017,October,17,15.80,2300,2500,2400
2018,April,12,15.90,2100,2450,2300
2016,May,04,16.00,1780,2050,1900
2016,July,19,16.00,1800,2000,1900
2016,July,30,16.00,1800,2000,1900
2016,August,05,16.00,1800,2200,2000
2016,July,21,16.00,1800,2200,2000
2016,August,13,16.00,1900,2100,2000
2018,March,13,16.00,1950,2300,2100
2018,February,16,16.00,2000,2200,2100
2016,August,19,16.00,2000,2200,2100
2016,August,20,16.00,2000,2300,2200
2016,August,22,16.00,2000,2300,2200
2018,February,15,16.00,2000,2350,2150
2016,September,13,16.00,2050,2350,2200
2016,August,12,16.00,2050,2400,2250
2018,April,01,16.00,2100,2300,2200
2018,March,08,16.00,2100,2300,2200
2017,April,11,16.00,2100,2300,2200
2016,October,12,16.00,2100,2300,2200
2018,March,15,16.00,2100,2300,2200
2017,January,16,16.00,2100,2300,2200
2017,June,17,16.00,2100,2300,2200
2017,January,18,16.00,2100,2300,2200
2017,January,19,16.00,2100,2300,2200
2016,December,22,16.00,2100,2300,2200
2017,April,24,16.00,2100,2300,2200
2016,December,27,16.00,2100,2300,2200
2016,September,30,16.00,2100,2300,2200
2018,April,07,16.00,2100,2350,2200
2018,May,06,16.00,2100,2400,2200
2018,April,09,16.00,2100,2400,2200
2018,April,10,16.00,2100,2400,2250
2016,September,06,16.00,2100,2400,2300
2018,May,10,16.00,2100,2400,2300
2016,September,21,16.00,2100,2400,2300
2018,February,27,16.00,2100,2400,2300
2018,April,15,16.00,2100,2450,2300
2017,February,02,16.00,2100,2500,2300
2018,April,24,16.00,2100,2500,2300
2016,October,29,16.00,2150,2400,2280
2017,July,01,16.00,2200,2400,2300
2016,November,01,16.00,2200,2400,2300
2019,January,02,16.00,2200,2400,2300
2018,May,07,16.00,2200,2400,2300
2016,November,09,16.00,2200,2400,2300
2019,January,10,16.00,2200,2400,2300
2017,August,11,16.00,2200,2400,2300
2017,June,12,16.00,2200,2400,2300
2019,February,14,16.00,2200,2400,2300
2016,October,14,16.00,2200,2400,2300
2019,February,16,16.00,2200,2400,2300
2019,January,18,16.00,2200,2400,2300
2017,April,20,16.00,2200,2400,2300
2016,December,20,16.00,2200,2400,2300
2019,January,20,16.00,2200,2400,2300
2019,February,21,16.00,2200,2400,2300
2019,January,21,16.00,2200,2400,2300
2016,December,23,16.00,2200,2400,2300
2019,February,25,16.00,2200,2400,2300
2017,March,26,16.00,2200,2400,2300
2017,March,27,16.00,2200,2400,2300
2017,May,27,16.00,2200,2400,2300
2018,December,28,16.00,2200,2400,2300
2018,November,30,16.00,2200,2400,2400
2017,July,09,16.00,2200,2450,2300
