year,month,date,arrival,min,max,modal
2015,June,26,0.90,1500,1600,1560
2019,July,09,0.90,1900,2000,2000
2015,June,21,1.00,1500,1600,1560
2015,July,06,2.00,1500,1600,1540
2015,January,04,2.00,1540,1670,1600
2014,December,10,2.00,1550,1700,1620
2014,December,08,2.00,1550,1700,1640
2014,October,20,2.00,1550,1700,1650
2014,October,27,2.00,1550,1720,1640
2015,June,17,2.00,1560,1620,1600
2014,December,15,2.00,1560,1700,1640
2015,July,05,2.00,1560,1730,1600
2014,December,24,3.00,1460,1650,1520
2015,July,13,3.00,1500,1600,1560
2015,June,20,3.00,1500,1600,1560
2015,July,22,3.00,1500,1600,1560
2015,June,24,3.00,1530,1600,1560
2016,March,27,3.00,1540,1600,1600
2016,May,05,3.00,1550,1600,1600
2016,May,18,3.00,1550,1600,1600
2016,March,24,3.00,1550,1600,1600
2014,October,08,3.00,1550,1650,1600
2014,December,19,4.00,1460,1600,1570
2014,October,28,4.00,1460,1620,1560
2015,July,09,4.00,1500,1560,1540
2015,May,12,4.00,1500,1600,1540
2015,May,19,4.00,1500,1600,1540
2015,November,04,4.00,1500,1600,1560
2015,March,08,4.00,1500,1600,1560
2015,June,19,4.00,1500,1600,1560
2014,September,26,4.00,1500,1600,1560
2015,October,29,4.00,1500,1600,1600
2015,June,16,4.00,1500,1620,1560
2014,October,04,4.00,1500,1700,1560
2015,March,11,4.00,1520,1620,1570
2014,December,09,4.00,1540,1700,1600
2014,November,19,4.00,1540,1720,1660
2016,February,27,4.00,1550,1600,1600
2014,December,11,4.00,1550,1700,1620
2014,October,15,4.00,1550,1700,1620
2014,October,23,4.00,1550,1700,1650
2014,November,05,4.00,1550,1700,1660
2015,January,05,4.00,1560,1700,1600
2014,October,21,4.00,1560,1700,1650
2015,February,11,4.00,1560,1750,1700
2014,October,05,4.90,1500,1600,1560
2015,October,25,5.00,1450,1600,1500
2014,September,10,5.00,1450,1600,1560
2014,September,11,5.00,1450,1600,1560
2014,August,09,5.00,1500,1560,1560
2015,October,01,5.00,1500,1600,1600
2014,December,29,5.00,1530,1700,1670
2015,March,10,5.00,1540,1600,1560
2016,February,20,5.00,1540,1600,1600
2015,January,06,5.00,1540,1630,1600
2015,January,25,5.00,1540,1650,1600
2015,August,29,5.00,1540,1650,1600
2015,March,09,5.00,1540,1660,1600
2014,November,08,5.00,1540,1700,1650
2014,November,03,5.00,1550,1700,1620
2014,October,22,5.00,1550,1700,1650
2015,October,05,5.00,1560,1600,1600
2015,January,14,5.00,1560,1640,1600
2015,January,08,5.00,1560,1650,1580
2014,November,13,5.00,1560,1700,1640
2014,December,30,5.00,1560,1720,1630
2019,June,15,5.00,1800,1900,1900
2015,November,08,6.00,1500,1600,1600
2014,December,17,6.00,1500,1620,1560
2014,October,26,6.00,1500,1620,1580
2014,August,20,6.00,1500,1650,1560
2015,April,08,6.00,1500,1700,1600
2014,November,06,6.00,1500,1700,1620
2014,October,07,6.00,1520,1650,1600
2015,January,03,6.00,1530,1670,1600
2014,December,22,6.00,1540,1680,1600
2014,October,17,6.00,1540,1700,1600
2015,January,29,6.00,1540,1700,1620
2016,March,18,6.00,1550,1600,1600
2014,October,16,6.00,1550,1700,1650
2014,October,30,6.00,1550,1700,1650
2014,October,19,6.00,1550,1700,1660
2015,January,18,6.00,1560,1640,1600
2014,October,25,6.00,1560,1700,1650
2015,July,29,7.00,1450,1560,1500
2015,November,02,7.00,1500,1600,1600
2015,August,17,7.00,1500,1620,1560
2014,October,14,7.00,1500,1650,1570
2015,January,24,7.00,1520,1700,1600
2014,October,11,7.00,1550,1700,1600
2014,November,10,7.00,1550,1700,1620
2014,October,12,7.00,1550,1700,1650
2014,October,18,7.00,1550,1700,1650
2014,November,15,7.00,1550,1700,1670
2015,February,05,7.00,1560,1700,1600
2014,August,16,7.00,1560,1700,1600
2014,November,14,7.00,1570,1700,1650
2016,February,04,8.00,1450,1600,1600
2014,September,15,8.00,1470,1600,1560
2015,August,02,8.00,1500,1560,1560
2014,August,19,8.00,1500,1560,1560
2015,October,02,8.00,1500,1600,1560
2014,September,23,8.00,1500,1600,1560
2014,September,16,8.00,1500,1620,1560
2015,January,17,8.00,1520,1620,1580
2015,February,06,8.00,1540,1680,1600
2016,May,16,8.00,1550,1600,1600
2014,November,11,8.00,1550,1720,1670
2014,October,31,8.00,1560,1650,1600
2015,May,16,8.00,1560,1700,1600
2015,January,02,8.00,1560,1700,1620
2014,November,09,8.00,1560,1700,1640
2014,August,10,9.00,1500,1560,1560
2014,August,11,9.00,1500,1600,1560
2015,January,07,9.00,1540,1650,1600
2015,January,28,9.00,1540,1700,1600
2014,November,18,9.00,1550,1700,1670
2015,July,25,10.00,1500,1600,1560
2014,November,20,15.60,1550,1700,1630
2014,September,13,30.00,1450,1650,1560
2014,September,29,30.00,1500,1600,1560
2014,September,14,40.00,1440,1600,1560
2014,September,25,50.00,1500,1600,1560
2014,September,28,60.00,1420,1650,1560
