year,month,date,arrival,min,max,modal
2014,July,29,0.30,2600,3000,2700
2014,July,31,0.80,2600,3000,2700
2017,May,01,1.00,1050,1150,1150
2019,May,14,1.00,1400,1600,1600
2015,May,29,1.00,1400,1600,1600
2015,July,04,1.00,2000,2200,2200
2014,July,19,1.00,2400,2800,2600
2014,July,20,1.00,2400,2800,2600
2014,July,25,1.00,2600,3000,2700
2014,July,28,1.00,2600,3000,2700
2014,August,03,1.00,2600,3000,2800
2014,August,25,1.00,2600,3000,2800
2015,October,13,1.00,4000,4200,4200
2019,June,17,1.20,1500,1600,1600
2018,December,10,1.20,1600,1600,1600
2019,January,03,1.20,1600,1700,1700
2019,July,01,1.20,1700,1800,1800
2019,July,03,1.20,1700,1800,1800
2019,June,25,1.20,1700,1900,1800
2019,July,14,1.20,1800,1900,1900
2018,April,06,1.20,1800,2000,2000
2019,September,10,1.20,2600,2700,2700
2014,July,26,1.20,2600,3000,2700
2014,July,27,1.20,2600,3000,2700
2014,July,30,1.20,2600,3000,2700
2018,March,08,1.20,3000,3200,3200
2019,June,15,1.40,1500,1600,1600
2019,July,04,1.40,1800,1900,1900
2019,July,09,1.40,1800,1900,1900
2019,June,28,1.40,1800,1900,1900
2014,August,01,1.40,2600,3200,2800
2019,January,02,1.50,1400,1500,1500
2019,April,05,1.50,1400,1500,1500
2019,March,27,1.50,1400,1500,1500
2019,February,21,1.50,1450,1600,1600
2019,February,27,1.50,1500,1600,1600
2018,November,29,1.50,1800,1900,1900
2019,July,23,1.50,1800,2000,2000
2019,August,17,1.50,2000,2200,2200
2014,July,22,1.50,2600,3200,2800
2014,August,02,1.50,2700,3200,2800
2014,September,11,1.50,2800,3000,3000
2019,June,03,1.60,1400,1600,1600
2019,June,11,1.60,1400,1600,1600
2015,June,12,1.60,1600,1750,1700
2019,September,02,1.60,1800,2000,2000
2019,September,09,1.60,2400,2600,2600
2016,March,23,2.00,600,700,700
2015,August,13,2.00,750,800,800
2017,April,22,2.00,1000,1100,1100
2017,March,14,2.00,1120,1150,1150
2016,May,15,2.00,1200,1300,1300
2016,March,01,2.00,1200,1400,1400
2016,June,02,2.00,1200,1400,1400
2016,June,05,2.00,1200,1400,1400
2016,May,05,2.00,1200,1400,1400
2016,June,10,2.00,1200,1400,1400
2016,June,11,2.00,1200,1400,1400
2016,May,16,2.00,1200,1400,1400
2016,February,17,2.00,1200,1400,1400
2016,March,17,2.00,1200,1400,1400
2016,June,19,2.00,1200,1400,1400
2016,March,19,2.00,1200,1400,1400
2016,May,21,2.00,1200,1400,1400
2016,February,22,2.00,1200,1400,1400
2016,March,22,2.00,1200,1400,1400
2016,May,22,2.00,1200,1400,1400
2016,May,25,2.00,1200,1400,1400
2016,March,26,2.00,1200,1400,1400
2016,February,28,2.00,1200,1400,1400
2016,May,28,2.00,1200,1400,1400
2016,May,29,2.00,1200,1400,1400
2016,March,30,2.00,1200,1400,1400
2016,May,31,2.00,1200,1400,1400
2016,September,14,2.00,1360,1400,1400
2016,July,02,2.00,1400,1500,1500
2016,July,05,2.00,1400,1500,1500
2019,January,09,2.00,1400,1500,1500
2016,June,18,2.00,1400,1500,1500
2016,July,19,2.00,1400,1500,1500
2019,February,28,2.00,1400,1500,1500
2016,June,28,2.00,1400,1500,1500
2015,April,01,2.00,1400,1600,1600
2015,June,01,2.00,1400,1600,1600
2016,February,02,2.00,1400,1600,1600
2016,May,02,2.00,1400,1600,1600
2016,April,03,2.00,1400,1600,1600
2016,March,03,2.00,1400,1600,1600
2016,February,05,2.00,1400,1600,1600
2015,June,05,2.00,1400,1600,1600
2016,April,06,2.00,1400,1600,1600
2016,February,06,2.00,1400,1600,1600
2016,May,06,2.00,1400,1600,1600
2016,February,07,2.00,1400,1600,1600
2015,April,08,2.00,1400,1600,1600
2015,February,08,2.00,1400,1600,1600
2015,February,09,2.00,1400,1600,1600
2016,February,09,2.00,1400,1600,1600
2016,May,10,2.00,1400,1600,1600
2016,March,11,2.00,1400,1600,1600
2016,May,11,2.00,1400,1600,1600
2016,June,12,2.00,1400,1600,1600
2016,March,12,2.00,1400,1600,1600
2016,June,13,2.00,1400,1600,1600
2019,June,13,2.00,1400,1600,1600
2015,May,13,2.00,1400,1600,1600
2016,May,13,2.00,1400,1600,1600
2016,March,14,2.00,1400,1600,1600
2016,April,17,2.00,1400,1600,1600
2016,April,18,2.00,1400,1600,1600
2016,April,19,2.00,1400,1600,1600
2016,April,20,2.00,1400,1600,1600
2016,March,20,2.00,1400,1600,1600
2015,May,20,2.00,1400,1600,1600
2016,February,21,2.00,1400,1600,1600
2015,March,23,2.00,1400,1600,1600
2015,May,23,2.00,1400,1600,1600
2016,March,24,2.00,1400,1600,1600
2016,February,26,2.00,1400,1600,1600
2019,March,05,2.00,1500,1600,1600
2016,July,11,2.00,1500,1600,1600
2016,July,03,2.00,1500,1700,1600
2015,January,28,2.00,1600,1750,1700
2015,January,29,2.00,1600,1750,1750
2016,April,05,2.00,1600,1800,1800
2019,June,05,2.00,1600,1800,1800
2015,May,05,2.00,1600,1800,1800
2015,May,12,2.00,1600,1800,1800
2016,July,13,2.00,1600,1800,1800
2015,June,19,2.00,1600,1800,1800
2016,January,23,2.00,1600,1800,1800
2016,January,29,2.00,1600,1800,1800
2015,January,27,2.00,1600,1850,1800
2016,January,15,2.00,1600,2000,1800
2016,August,02,2.00,1700,1800,1800
2019,June,29,2.00,1700,1800,1800
2015,January,12,2.00,1800,2000,2000
2015,January,17,2.00,1800,2000,2000
2015,January,18,2.00,1800,2000,2000
2015,June,20,2.00,1800,2000,2000
2015,June,21,2.00,1800,2000,2000
2015,June,25,2.00,1800,2000,2000
2016,January,21,2.00,1800,2200,2000
2015,January,15,2.00,1900,2000,2000
2015,July,02,2.00,2000,2200,2200
2015,July,03,2.00,2000,2200,2200
2016,January,04,2.00,2000,2200,2200
2015,June,28,2.00,2000,2200,2200
2015,July,01,2.00,2000,2400,2200
2015,January,03,2.00,2200,2400,2400
2015,July,05,2.00,2200,2400,2400
2015,July,07,2.00,2200,2400,2400
2015,July,08,2.00,2200,2400,2400
2015,July,14,2.00,2200,2400,2400
2015,July,17,2.00,2200,2400,2400
2015,July,23,2.00,2200,2400,2400
2015,July,24,2.00,2200,2400,2400
2015,August,01,2.00,2400,2600,2600
2015,August,08,2.00,2400,2600,2600
