year,month,date,arrival,min,max,modal
2018,March,04,0.40,750,800,800
2014,July,29,0.50,1800,2200,2200
2015,August,15,0.70,750,800,800
2014,July,24,1.00,1800,2000,1900
2014,July,19,1.00,1900,2200,2000
2014,July,22,1.00,1900,2200,2000
2014,July,23,1.00,2000,2400,2200
2019,July,22,1.20,800,850,850
2014,July,31,1.20,1800,2200,2200
2014,July,28,1.20,1900,2400,2400
2019,July,05,1.50,800,850,850
2019,September,11,1.50,900,1000,1000
2019,September,12,1.50,900,1000,1000
2019,September,13,1.50,900,1000,1000
2019,September,24,1.50,900,1000,1000
2019,September,26,1.50,900,1000,1000
2019,August,29,1.50,900,1000,1000
2019,July,14,1.50,1000,1100,1100
2014,July,17,1.50,1800,2200,2000
2014,August,01,1.50,1800,2200,2200
2014,July,25,1.50,2000,2200,2100
2014,July,21,1.50,2000,2400,2200
2019,October,23,1.80,1000,1100,1100
2018,April,05,2.00,600,650,650
2015,March,10,2.00,600,700,650
2016,March,01,2.00,600,700,700
2016,March,03,2.00,600,700,700
2016,February,05,2.00,600,700,700
2016,March,16,2.00,600,700,700
2016,March,17,2.00,600,700,700
2016,February,18,2.00,600,700,700
2016,March,22,2.00,600,700,700
2016,March,24,2.00,600,700,700
2016,February,26,2.00,600,700,700
2016,February,03,2.00,650,700,700
2016,February,13,2.00,650,700,700
2018,March,13,2.00,650,700,700
2016,March,27,2.00,650,750,700
2015,December,02,2.00,700,750,750
2015,November,02,2.00,700,750,750
2015,November,05,2.00,700,750,750
2015,November,13,2.00,700,750,750
2016,April,03,2.00,700,800,800
2016,March,15,2.00,700,800,800
2015,July,16,2.00,700,800,800
2016,April,17,2.00,700,800,800
2016,April,18,2.00,700,800,800
2016,April,23,2.00,700,800,800
2016,April,24,2.00,700,800,800
2016,January,24,2.00,700,800,800
2016,March,29,2.00,700,800,800
2016,May,06,2.00,750,800,800
2015,September,14,2.00,750,800,800
2019,June,19,2.00,750,800,800
2015,October,21,2.00,750,800,800
2015,October,24,2.00,750,800,800
2016,April,26,2.00,750,800,800
2016,May,04,2.00,750,840,840
2015,October,17,2.00,760,800,800
2016,May,07,2.00,800,850,850
2016,May,08,2.00,800,850,850
2016,May,12,2.00,800,850,850
2016,May,14,2.00,800,850,850
2016,May,19,2.00,800,850,850
2015,September,22,2.00,800,850,850
2019,July,09,2.00,800,900,900
2015,September,17,2.00,800,900,900
2016,May,23,2.00,800,900,900
2016,May,31,2.00,800,900,900
2019,September,02,2.00,850,950,950
2019,September,19,2.00,900,1000,1000
2016,June,06,2.00,1000,1200,1200
2016,July,02,2.00,1400,1600,1600
2016,June,29,2.00,1500,1700,1700
2016,July,03,2.00,1600,1800,1800
2016,July,13,2.00,1600,1800,1800
2018,November,18,2.00,1600,1800,1800
2016,June,21,2.00,1600,1800,1800
2014,December,28,2.00,1600,1800,1800
