year,month,date,arrival,min,max,modal
2016,August,18,0.50,1800,2500,2000
2016,September,16,0.50,2400,2600,2600
2016,September,25,0.60,2400,2500,2500
2018,July,30,0.70,1600,1800,1800
2016,November,19,0.70,2600,2800,2800
2016,October,27,0.70,2800,3000,3000
2016,September,08,0.80,2200,2400,2400
2016,November,20,0.90,2600,2800,2800
2015,October,29,0.90,2800,3000,3000
2016,March,28,1.00,1000,1200,1200
2015,June,17,1.00,1400,1600,1600
2015,May,31,1.00,1400,1600,1600
2014,November,15,1.00,2000,2200,2100
2015,November,02,1.00,2000,2200,2200
2015,November,04,1.00,2000,2200,2200
2015,June,19,1.00,2000,2200,2200
2015,June,21,1.00,2000,2200,2200
2015,June,24,1.00,2000,2200,2200
2016,September,07,1.00,2400,2400,2400
2014,November,23,1.00,2400,2600,2600
2016,November,25,1.00,2400,2600,2600
2016,November,10,1.00,2800,3000,3000
2014,October,28,1.00,2800,3200,3200
2016,November,29,1.20,2000,2200,2200
2016,September,24,1.20,2200,2400,2400
2016,November,23,1.20,2400,2600,2600
2016,December,20,1.50,800,900,900
2016,November,26,1.50,2400,2600,2600
2016,November,04,1.50,2600,2800,2800
2016,November,17,1.50,2600,2800,2800
2016,November,11,1.80,2800,3000,3000
2015,January,17,2.00,400,600,500
2015,January,15,2.00,500,600,600
2015,January,28,2.00,500,600,600
2016,February,27,2.00,600,800,800
2015,March,23,2.00,700,800,800
2016,March,21,2.00,800,900,900
2016,March,02,2.00,800,1000,1000
2016,March,06,2.00,800,1000,1000
2016,February,21,2.00,800,1000,1000
2016,March,22,2.00,800,1000,1000
2016,March,30,2.00,800,1000,1000
2016,March,27,2.00,800,1200,1200
2015,January,03,2.00,1000,1200,1200
2016,February,04,2.00,1000,1200,1200
2016,June,05,2.00,1000,1200,1200
2016,May,07,2.00,1000,1200,1200
2016,July,08,2.00,1000,1200,1200
2016,July,13,2.00,1000,1200,1200
2016,April,19,2.00,1000,1200,1200
2016,May,30,2.00,1000,1200,1200
2016,July,12,2.00,1200,1400,1400
2016,June,18,2.00,1200,1400,1400
2015,May,19,2.00,1200,1400,1400
2014,December,22,2.00,1200,1400,1400
2016,December,18,2.00,1300,1400,1400
2015,July,30,2.00,1400,1600,1600
2016,June,16,2.00,1500,1600,1600
2016,September,01,2.00,2000,2200,2200
2015,August,02,2.00,2000,2200,2200
2015,July,05,2.00,2000,2200,2200
2015,July,13,2.00,2000,2200,2200
2015,July,21,2.00,2000,2200,2200
2014,August,25,2.00,2000,2400,2200
2014,September,02,2.00,2000,2600,2400
2016,November,28,2.00,2200,2300,2300
2015,July,06,2.00,2200,2400,2400
2016,August,26,2.00,2200,2400,2400
2014,November,19,2.00,2400,2600,2600
2014,October,29,2.00,2400,2800,2600
2016,November,16,2.00,2500,2600,2600
2016,September,04,2.00,2500,2700,2600
2016,November,15,2.00,2500,2700,2700
2014,November,18,2.00,2600,2800,2800
2016,November,24,2.00,2600,2800,2800
2014,October,27,2.00,2600,2800,2800
2014,October,07,2.00,2600,3000,3000
2015,November,03,2.00,2800,3000,3000
2016,November,03,2.00,2800,3000,3000
2014,November,05,2.00,2800,3000,3000
2014,October,06,2.00,2800,3000,3000
2014,October,25,2.00,2800,3000,3000
2016,October,28,2.00,2800,3000,3000
2014,August,19,2.00,2800,3200,3200
2014,October,31,2.00,2800,3200,3200
2014,September,10,2.00,2800,3600,3200
2015,September,24,2.00,3000,3200,3200
2014,October,14,2.00,3000,3400,3200
2014,September,26,2.00,3000,3600,3200
2014,September,12,2.00,3200,3600,3600
2014,September,15,2.00,3200,3600,3600
2016,December,05,2.20,2200,2400,2400
2016,December,12,2.50,1500,1600,1600
2015,January,27,3.00,400,500,500
2015,April,08,3.00,500,700,600
2015,March,11,3.00,550,650,600
2015,January,10,3.00,550,650,650
2017,February,07,3.00,700,800,800
2016,May,16,3.00,800,1000,1000
2016,March,17,3.00,800,1000,1000
2016,May,17,3.00,800,1000,1000
2016,March,20,3.00,800,1000,1000
2016,May,01,3.00,1000,1200,1200
2016,April,17,3.00,1000,1200,1200
2016,March,18,3.00,1000,1200,1200
2016,April,22,3.00,1000,1200,1200
2014,December,09,3.00,1200,1400,1400
2016,December,13,3.00,1600,1800,1800
2016,December,06,3.00,1800,2000,2000
2015,June,26,3.00,2000,2200,2200
2015,July,09,3.00,2200,2400,2400
2015,July,22,3.00,2200,2400,2400
2016,November,22,3.00,2400,2600,2600
2014,August,23,3.00,2400,2800,2600
2014,October,18,3.00,2480,2650,2650
2014,August,16,3.00,2500,3000,3000
2014,September,03,3.00,2800,3000,3000
2014,August,20,3.00,2800,3000,3000
2014,September,16,3.00,2800,3200,3200
2014,October,21,3.00,2800,3200,3200
2014,August,27,3.00,2800,3200,3200
2014,October,05,3.00,3000,3200,3200
2014,September,23,3.00,3000,3500,3500
2016,December,27,3.20,700,800,800
2015,February,11,4.00,400,500,500
2015,January,12,4.00,400,500,500
2015,January,29,4.00,450,500,500
2015,March,10,4.00,500,650,600
2015,May,12,4.00,800,1000,1000
2016,March,24,4.00,800,1000,1000
2016,April,23,4.00,1000,1200,1200
2014,December,24,4.00,1000,1200,1200
2016,May,31,4.00,1000,1200,1200
2014,December,30,4.00,1000,1400,1400
2016,June,30,4.00,1200,1400,1400
2014,December,20,4.00,1400,1550,1500
2014,December,08,4.00,1800,2000,2000
2014,November,20,4.00,2000,2200,2200
2014,August,10,4.00,2000,3000,2600
2014,October,19,4.00,2200,2400,2400
2014,November,10,4.00,2400,2600,2600
2014,November,06,4.00,2600,2800,2800
2014,October,08,4.00,2600,2800,2800
2014,November,03,4.00,2800,3000,3000
2014,September,04,4.00,2800,3000,3000
2014,November,09,4.00,2800,3000,3000
2014,November,14,4.00,2800,3000,3000
2014,November,26,4.00,2800,3000,3000
2014,October,26,4.00,3000,3400,3200
2014,October,16,4.00,3000,3600,3600
2015,January,25,5.00,400,450,450
2015,January,21,5.00,500,600,550
2015,January,08,5.00,600,750,700
2015,January,05,5.00,600,800,800
2016,May,05,5.00,1000,1200,1200
2014,December,10,5.00,1400,1800,1600
2014,December,15,5.00,1600,1800,1800
2014,December,06,5.00,2000,2400,2200
2014,August,11,5.00,2000,2800,2600
2014,November,25,5.00,2400,2600,2600
2014,October,04,5.00,2500,3000,3000
2015,February,06,6.00,400,600,500
2015,January,01,6.00,1000,1200,1200
2014,November,11,6.00,2000,2200,2200
2014,December,11,6.00,2200,2600,2600
2014,October,20,6.00,2400,2600,2600
2014,November,13,6.00,2400,2700,2600
2014,September,11,6.00,3000,3200,3200
2015,January,02,7.00,1000,1200,1200
2014,December,19,7.00,1200,1400,1400
2014,October,17,7.00,2600,2800,2800
2014,November,28,7.00,2800,3000,3000
2015,January,14,8.00,400,500,500
2015,January,07,8.00,600,750,700
2014,December,17,8.00,1400,1600,1600
2014,December,05,8.00,1800,2000,2000
2014,August,18,8.00,2600,3000,3000
2015,January,18,9.00,400,500,450
2015,January,06,12.00,600,800,800
2014,August,09,20.00,2000,3000,2600
