year,month,date,arrival,min,max,modal
2014,June,23,0.10,2400,2500,2450
2015,February,07,5.00,2200,2400,2250
2015,April,12,5.00,2200,2400,2300
2015,April,23,10.00,2200,2500,2400
2015,February,04,15.00,2100,2300,2200
2015,March,25,15.00,2500,2800,2700
2014,November,13,20.00,2000,2300,2100
2015,February,02,20.00,2300,2500,2400
2014,November,17,20.00,2300,2700,2400
2017,June,27,5.00,2300,2500,2400
2015,September,30,6.00,2600,2800,2700
2016,May,04,10.00,2150,2350,2200
2016,January,08,10.00,2150,2350,2250
2016,March,14,10.00,2150,2350,2250
2015,September,08,10.00,2200,2350,2250
2016,June,01,10.00,2200,2400,2300
2016,May,06,10.00,2200,2400,2300
2015,April,17,10.00,2200,2400,2300
2015,September,01,10.00,2200,2500,2300
2015,June,25,10.00,2200,2500,2300
2017,June,29,10.00,2250,2400,2350
2015,June,24,10.00,2250,2600,2450
2015,August,18,10.00,2300,2500,2350
2016,May,22,10.00,2300,2500,2400
2015,October,25,10.00,2300,2500,2400
2015,May,31,10.00,2300,2500,2400
2015,March,23,10.00,2300,2700,2400
2015,March,31,10.00,2300,2700,2500
2017,June,24,10.00,2400,2700,2500
2015,May,04,12.00,2200,2400,2300
2014,December,11,12.00,2200,2400,2300
2015,April,01,12.00,2200,2500,2400
2017,June,18,12.00,2200,2600,2400
2016,April,24,12.00,2250,2400,2300
2016,March,07,12.00,2250,2500,2300
2015,December,04,12.00,2300,2400,2350
2015,December,07,12.00,2300,2400,2350
2015,November,20,12.00,2300,2500,2400
2015,January,28,12.00,2300,2500,2400
2017,April,30,12.00,2300,2800,2500
2017,March,08,12.00,2400,2800,2600
2015,May,29,13.00,2100,2400,2300
2014,August,11,15.00,2000,2400,2200
2016,January,11,15.00,2100,2300,2200
2016,April,01,15.00,2150,2350,2200
2016,May,03,15.00,2200,2300,2250
2015,June,05,15.00,2200,2300,2250
2016,April,06,15.00,2200,2300,2250
2016,January,12,15.00,2200,2300,2250
2015,December,09,15.00,2200,2350,2250
2016,April,28,15.00,2200,2350,2250
2015,February,14,15.00,2200,2350,2300
