year,month,date,arrival,min,max,modal
2014,June,23,1.00,2400,2800,2500
2014,July,05,4.00,2300,3200,3000
2015,July,03,5.00,2100,2300,2200
2017,April,21,5.00,2100,2450,2250
2016,June,29,5.00,2150,2400,2200
2016,January,08,5.00,2200,2400,2250
2017,July,15,5.00,2400,2600,2500
2014,June,17,5.00,2500,3000,2700
2015,October,26,7.00,2200,2450,2300
2014,July,07,7.00,2200,2500,2400
2015,August,21,10.00,1250,2300,2200
2015,February,06,10.00,1800,2200,2000
2016,January,20,10.00,2100,2300,2200
2014,January,06,10.00,2100,2500,2300
2016,April,02,10.00,2150,2350,2250
2016,May,17,10.00,2150,2350,2250
2016,May,28,10.00,2150,2350,2250
2016,February,21,10.00,2200,2300,2250
2015,May,29,10.00,2200,2300,2250
2016,April,23,10.00,2200,2350,2300
2016,June,30,10.00,2200,2400,2300
2017,April,16,10.00,2200,2450,2300
2016,May,15,10.00,2200,2450,2350
2017,May,15,10.00,2200,2450,2400
2015,November,24,10.00,2200,2500,2300
2017,July,19,10.00,2250,2450,2350
2017,April,30,10.00,2250,2600,2400
2017,May,09,10.00,2300,2400,2350
2016,May,26,10.00,2300,2450,2400
2014,June,16,10.00,2300,2500,2400
2015,October,10,10.00,2300,2700,2400
2017,September,22,10.00,2300,2700,2400
2017,October,13,10.00,2400,2600,2500
2017,November,06,10.00,2400,2700,2500
2017,September,18,10.00,2400,2800,2600
2017,August,29,10.00,2400,2800,2600
2014,June,18,10.00,2400,3200,3000
2017,September,25,10.00,2500,2800,2600
2014,June,19,10.00,2500,3500,3200
2017,September,04,10.00,2600,2800,2700
2014,July,01,11.00,2200,2600,2300
2017,April,27,12.00,2150,2400,2250
2016,April,28,12.00,2200,2400,2300
2015,March,23,12.00,2200,2400,2350
2017,May,06,12.00,2200,2500,2300
2016,May,24,12.00,2250,2400,2350
2017,June,28,12.00,2250,2450,2400
2017,March,08,12.00,2300,2600,2500
2014,January,18,15.00,2100,2400,2200
2014,July,08,15.00,2100,2400,2250
2017,April,04,15.00,2100,2400,2300
2016,May,07,15.00,2150,2350,2250
2017,May,07,15.00,2150,2400,2250
2017,April,23,15.00,2150,2400,2250
2016,April,22,15.00,2200,2300,2250
2016,May,27,15.00,2200,2300,2250
2016,April,09,15.00,2200,2350,2250
2014,January,07,15.00,2200,2500,2300
2017,May,30,15.00,2200,2500,2300
2017,October,12,15.00,2200,2500,2400
2017,April,29,15.00,2200,2500,2400
2015,October,24,15.00,2300,2450,2400
2017,April,11,15.00,2300,2600,2400
2017,April,28,15.00,2300,2600,2400
2014,June,20,15.00,2300,3000,2400
2014,June,27,15.00,2350,2500,2450
2017,December,12,15.00,2400,2600,2500
2017,August,17,15.00,2600,2800,2700
2017,December,06,15.00,2600,3200,2800
2016,May,09,20.00,2150,2350,2250
2017,April,18,20.00,2150,2500,2250
2016,May,18,20.00,2200,2350,2250
2017,November,16,20.00,2300,2700,2500
2017,November,22,20.00,3100,3400,3200
2015,June,13,0.50,2100,2300,2200
2014,July,21,2.00,2200,2500,2400
2015,August,22,5.00,2100,2400,2200
2015,September,01,5.00,2100,2400,2250
2014,September,10,5.00,2100,2400,2300
2015,November,23,5.00,2150,2350,2250
2015,November,17,5.00,2200,2300,2250
2015,June,16,5.00,2200,2400,2300
2015,June,18,5.00,2200,2400,2300
2016,March,14,5.00,2200,2450,2300
2015,September,29,5.00,2200,2500,2300
2015,February,02,5.00,2200,2600,2400
2015,May,03,5.00,2200,2600,2400
2017,April,06,5.00,2200,2600,2500
