year,month,date,arrival,min,max,modal
2014,June,25,5.00,5800,6500,6200
2014,June,23,0.10,5800,6200,6000
2014,July,06,1.00,6000,6500,6200
2014,July,05,2.00,5700,6200,6000
2014,July,07,2.00,5700,6500,6000
2014,June,12,2.00,5800,6300,6000
2014,July,03,2.00,5800,6500,6000
2014,June,17,2.00,6800,7500,7000
2014,June,24,2.40,7000,7400,7200
2014,January,18,3.00,5700,7000,6500
2014,January,07,3.00,5800,6500,6000
2014,June,27,3.00,6800,7300,7200
2014,June,18,3.00,6900,7500,7100
2014,January,06,4.00,5800,7500,6200
2014,June,19,4.00,5900,6500,6200
2014,June,16,4.00,6000,6500,6200
2014,June,20,5.00,5800,6200,6000
