year,month,date,arrival,min,max,modal
2015,April,11,2.00,2200,2300,2250
2015,February,01,2.00,2200,2500,2300
2014,July,30,2.00,2800,3500,3200
2015,December,19,5.00,2200,2400,2300
2015,June,20,5.00,2200,2500,2300
2015,June,19,5.00,2400,2500,2450
2015,November,25,5.00,2800,3300,3000
2014,July,12,5.00,2800,3500,3000
2014,July,18,6.00,4000,5000,4500
2015,September,09,6.00,4500,5500,5000
2016,February,07,10.00,1500,1700,1600
2017,March,08,10.00,1500,1700,1600
2015,January,30,10.00,1800,2000,1900
2015,January,29,10.00,1800,2200,2000
2015,February,05,10.00,2000,2200,2100
2016,January,07,10.00,2100,2300,2200
2015,April,09,10.00,2100,2300,2200
2015,April,04,10.00,2100,2350,2300
2014,December,09,10.00,2400,2700,2500
2014,July,09,10.00,2400,2700,2500
2017,August,17,10.00,3000,3500,3200
2014,November,16,10.00,3200,3600,3500
2014,July,19,10.00,3500,4000,3600
2014,September,03,10.00,3500,4000,3700
2014,July,08,10.00,3500,4000,3800
2014,September,05,10.00,3500,4200,4000
2015,September,18,10.00,3500,4500,4000
2015,October,31,10.00,3600,4000,3800
2014,July,17,10.00,3800,4500,4200
2015,October,03,10.00,4200,4800,4500
2015,September,29,10.00,5500,5700,5600
2014,November,19,12.00,310,3400,3200
2017,April,20,12.00,1100,1400,1200
2017,May,03,12.00,1400,1550,1500
2014,November,11,12.00,2400,3000,2700
2017,June,02,15.00,1200,1500,1300
2016,May,23,15.00,1400,1500,1450
2014,September,11,15.00,2400,2600,2500
2017,August,10,15.00,2500,3000,2800
2015,November,18,15.00,2800,3200,3000
2014,December,12,15.00,3000,4000,3500
2014,August,31,15.00,3500,3800,3600
2015,September,30,15.00,4500,5000,4800
2015,November,05,15.00,6000,7000,6500
2022,May,23,16.00,1800,2200,2000
2016,April,06,20.00,1100,1200,1150
2017,April,07,20.00,1100,1200,1150
2017,July,15,20.00,1400,1550,1500
2022,May,04,20.00,1700,2200,1800
2017,October,12,20.00,2500,2700,2600
2014,September,12,20.00,2800,3200,3000
2015,October,30,20.00,3500,3700,3600
2014,June,24,0.90,1800,2000,1900
2015,March,25,2.00,2400,2600,2500
2015,March,24,2.00,2500,2800,2700
2014,January,07,2.00,2500,3500,3000
2015,September,02,2.00,5000,6000,5500
2015,November,24,4.00,3000,3500,3200
2016,April,01,5.00,1200,1300,1250
2016,May,28,5.00,1350,1500,1450
2017,June,17,5.00,1400,1500,1450
2015,May,31,5.00,1400,1700,1500
2016,June,24,5.00,1500,1700,1600
2014,June,16,5.00,1800,2100,1900
2015,February,02,5.00,1800,2200,2000
2015,April,13,5.00,2200,2400,2300
2014,June,18,5.00,2200,2500,2300
2015,February,14,5.00,2300,2500,2400
2015,December,02,5.00,2400,2600,2500
2014,June,20,5.00,2400,2800,2500
2014,October,30,5.00,2500,3200,2800
2014,January,06,5.00,2600,3000,2800
2014,January,18,5.00,2800,3500,3000
2014,July,24,5.00,2800,3500,3000
2015,June,25,5.00,3000,3400,3200
2015,August,16,5.00,3000,4100,3500
2014,July,22,5.00,3200,3500,3400
2014,August,25,5.00,3200,4000,3500
2015,October,13,5.00,4000,4500,4200
2014,July,20,5.00,4000,5000,4200
2015,August,24,5.00,4200,5000,4500
2015,October,19,5.00,4500,5000,4800
2015,September,08,5.00,4500,5500,5000
2015,October,04,5.00,5000,5400,5200
2014,June,19,8.00,2300,2500,2400
2017,April,27,10.00,800,850,820
2017,April,16,10.00,1100,1250,1200
2017,July,07,10.00,1100,1300,1200
2017,April,29,10.00,1100,1300,1200
2017,April,28,10.00,1150,1210,1200
2016,April,25,10.00,1150,1300,1200
2016,May,04,10.00,1200,1300,1250
2017,April,21,10.00,1200,1300,1250
2016,April,08,10.00,1200,1400,1300
2016,May,03,10.00,1250,1400,1300
2016,March,24,10.00,1300,1400,1350
2016,May,07,10.00,1300,1500,1400
2016,March,08,10.00,1300,1500,1400
2017,April,26,10.00,1300,1700,1600
2016,March,06,10.00,1300,1800,1500
2017,April,05,10.00,1400,1500,1450
2016,March,09,10.00,1400,1500,1450
2016,February,21,10.00,1400,1500,1450
2016,February,27,10.00,1400,1600,1500
2016,July,01,10.00,1400,1800,1600
2016,February,06,10.00,1500,1600,1550
2016,February,24,10.00,1500,1700,1600
2016,February,13,10.00,1500,1800,1600
2014,June,12,10.00,1500,2000,1600
2016,January,22,10.00,1500,2000,1800
2016,February,02,10.00,1600,1800,1700
2016,February,05,10.00,1600,1800,1700
2017,July,17,10.00,1600,1800,1700
2017,April,12,10.00,1600,2000,1800
