year,month,date,arrival,min,max,modal
2015,September,04,5.00,800,860,850
2014,June,17,5.00,1800,2000,1900
2015,April,06,10.00,450,700,500
2017,April,24,10.00,700,750,720
2015,April,11,10.00,700,800,750
2016,January,29,10.00,700,800,750
2016,April,03,10.00,1100,1200,1150
2016,April,09,10.00,1150,1250,1200
2016,April,21,10.00,1200,1250,1220
2015,November,19,10.00,1300,1400,1350
2014,June,16,10.00,1400,1600,1500
2014,July,05,10.00,1450,1600,1500
2014,January,07,10.00,1500,1700,1600
2014,June,18,10.00,1500,1700,1600
2014,June,19,10.00,1500,1800,1600
2014,January,18,10.00,1500,2400,2000
2014,June,20,10.00,1600,2000,1700
2014,October,29,10.00,2100,2400,2200
2014,September,01,10.00,2500,2700,2600
2015,January,30,12.00,550,650,600
2015,May,31,12.00,600,750,700
2017,March,08,15.00,600,700,650
2017,April,25,15.00,650,750,700
2017,April,22,15.00,650,750,720
2015,May,29,15.00,650,800,750
2017,August,30,15.00,700,750,730
2017,November,22,15.00,700,800,750
2017,September,22,15.00,700,820,750
2016,February,13,15.00,750,800,775
2017,June,29,15.00,750,820,800
2016,January,15,15.00,800,850,820
2017,November,16,15.00,800,900,850
2017,December,14,15.00,800,1100,850
2016,January,19,15.00,810,820,815
2017,May,29,15.00,950,1100,1000
2016,March,14,15.00,1150,1250,1200
2016,May,28,15.00,1200,1350,1250
2014,June,12,15.00,1300,1600,1400
2014,July,01,15.00,1400,1800,1500
2014,July,07,15.00,1500,1700,1600
2014,June,27,15.00,1500,1800,1600
2014,January,06,15.00,1500,2000,1600
2014,August,22,15.00,2500,3000,2600
2014,November,16,15.00,2800,3200,3000
2015,March,31,20.00,600,900,800
2017,May,17,20.00,650,750,700
2017,May,07,20.00,700,750,720
2017,May,21,20.00,700,750,720
2015,April,04,20.00,700,800,750
2017,May,03,20.00,710,800,750
2017,April,23,20.00,750,820,800
2017,April,20,20.00,750,950,850
2017,April,16,20.00,800,815,810
2017,April,27,20.00,800,850,820
2017,November,06,20.00,800,900,850
2017,November,08,20.00,900,1100,1000
2017,December,06,20.00,1000,1200,1100
2017,August,02,20.00,1050,1150,1100
2016,March,08,20.00,1200,1300,1250
2017,June,25,20.00,1200,1300,1250
2017,July,26,20.00,1200,1400,1300
2016,May,23,20.00,1500,1700,1600
2014,July,19,20.00,1650,1800,1700
2014,September,07,20.00,2200,2300,2250
2016,March,06,21.00,1100,1250,1200
2017,October,07,25.00,700,750,730
2014,July,30,2.00,1400,1600,1500
2015,August,16,3.00,700,800,750
2015,August,20,5.00,650,720,710
2015,October,10,5.00,1000,1200,1100
2015,January,28,10.00,500,600,550
2015,March,12,10.00,600,700,650
2015,February,02,10.00,600,950,800
2015,March,09,10.00,650,800,700
2016,February,24,10.00,700,750,730
2016,February,01,10.00,700,800,750
2015,February,07,10.00,700,800,750
2016,February,18,10.00,700,800,750
2017,December,12,10.00,700,850,750
2015,April,13,10.00,700,850,800
2015,October,01,10.00,750,850,800
2015,September,30,10.00,750,850,800
2015,September,25,10.00,750,900,800
2016,January,27,10.00,750,900,850
2015,October,02,10.00,775,820,800
2016,February,04,10.00,800,850,820
2015,September,09,10.00,800,900,850
2016,January,13,10.00,800,900,850
2015,July,22,10.00,800,1100,900
2015,June,23,10.00,800,1100,900
2015,September,05,10.00,850,900,875
2015,October,26,10.00,900,1000,950
2015,October,05,10.00,900,1100,1000
2015,June,24,10.00,950,1100,1000
2015,October,24,10.00,950,1150,1000
2015,October,04,10.00,1000,1100,1050
2015,June,13,10.00,1000,1200,1100
2015,January,03,10.00,1100,1250,1200
2016,April,01,10.00,1150,1350,1250
2016,April,05,10.00,1200,1300,1250
2015,October,13,10.00,1200,1300,1250
2015,November,21,10.00,1200,1300,1250
2017,June,27,10.00,1200,1300,1250
2015,November,27,10.00,1200,1300,1250
2015,November,09,10.00,1250,1400,1300
2016,May,14,10.00,1250,1400,1350
2016,May,19,10.00,1250,1400,1350
2015,November,05,10.00,1300,1400,1400
2015,November,16,10.00,1300,1450,1350
2015,November,04,10.00,1300,1500,1400
2015,December,17,10.00,1300,1500,1400
2015,November,17,10.00,1300,1500,1400
2015,November,15,10.00,1400,1500,1450
2015,November,29,10.00,1400,1700,1500
2014,July,22,10.00,1400,1800,1600
2014,July,24,10.00,1500,1700,1600
