year,month,date,arrival,min,max,modal
2014,June,18,0.50,2000,2500,2300
2014,June,20,0.50,2400,3000,2500
2014,January,18,0.50,2500,3000,2800
2014,June,24,0.50,2500,3500,3000
2014,June,16,1.00,1500,2000,1600
2014,June,12,1.00,1500,2000,1800
2014,June,17,1.00,2000,2800,2500
2014,June,19,1.00,2500,3000,2600
2014,July,01,1.00,2500,3000,2700
2014,January,06,1.00,3000,4000,3500
2014,July,07,1.00,3300,4000,3500
2014,July,06,1.00,4000,4500,4200
2017,October,11,1.50,5000,6000,5500
2017,September,25,1.50,5500,6500,6000
2017,August,09,2.00,5000,6000,5500
2017,August,16,2.00,5500,7000,6000
2017,August,17,2.00,6500,7500,7000
2017,August,21,2.00,6500,7500,7000
2017,September,18,2.00,7000,8000,7500
2017,August,29,2.00,7500,8500,8000
2015,May,04,3.00,2000,2500,2400
2014,June,27,3.00,2500,3500,3000
2015,May,29,3.00,3000,3500,3200
2016,April,26,3.00,3500,4200,4000
2015,October,01,3.00,4500,5500,5000
2017,August,02,3.00,5000,6000,5500
2015,November,27,3.00,6500,7200,7000
2017,August,22,3.00,7500,8200,8000
2015,December,28,4.00,1500,2000,1800
2015,September,04,4.00,3500,4500,4000
2017,July,15,4.00,4500,5000,4800
2017,December,14,4.00,4500,5500,5000
2015,April,07,5.00,1500,2000,1800
2016,February,17,5.00,1500,2000,1800
2015,March,21,5.00,1500,2000,1800
2015,December,11,5.00,1500,2400,2000
2015,February,02,5.00,1600,2000,1800
2015,January,02,5.00,1600,2100,2000
2015,April,23,5.00,2000,2400,2200
2015,March,09,5.00,2000,2500,2300
2015,December,19,5.00,2000,2500,2300
2017,June,13,5.00,2000,2600,2500
2016,January,13,5.00,2000,3000,2500
2017,June,20,5.00,2500,3000,2800
2016,April,28,5.00,2500,3500,3000
2016,May,06,5.00,3000,3500,3200
2016,February,24,5.00,3000,3500,3200
2015,June,02,5.00,3000,4000,3500
2014,July,12,5.00,3000,4000,3500
2015,April,13,5.00,3000,4000,3500
2015,June,18,5.00,3000,4000,3500
2015,September,29,5.00,3000,4000,3500
2017,April,23,5.00,3200,4000,3500
2014,August,27,5.00,3200,4000,3500
2016,April,23,5.00,3500,4000,3800
2016,April,05,5.00,3500,4200,4000
2014,November,14,5.00,3500,4200,4000
2016,May,26,5.00,3500,4200,4000
2015,November,02,5.00,3500,4500,4000
2015,September,02,5.00,3500,4500,4000
2014,December,11,5.00,3500,4500,4000
2014,October,12,5.00,3500,4500,4000
2014,August,13,5.00,3500,4500,4000
2014,November,17,5.00,3500,4500,4000
2014,November,19,5.00,3500,4500,4000
2014,July,20,5.00,3500,4500,4000
2015,August,25,5.00,3500,4500,4000
2014,July,28,5.00,3500,4500,4000
2014,August,31,5.00,3500,4500,4000
2015,July,03,5.00,4000,4700,4500
2014,July,21,5.00,4000,5000,4200
2014,September,10,5.00,4000,5000,4500
2014,July,17,5.00,4000,5000,4500
2015,October,19,5.00,4000,5000,4500
2014,September,11,5.00,4500,5000,4800
2014,November,13,5.00,4500,5500,5000
2015,November,17,5.00,4500,5500,5000
2014,September,21,5.00,4500,5500,5000
2017,July,26,5.00,4500,5500,5000
2015,November,29,5.00,4500,5500,5000
2015,October,03,5.00,5000,5500,5200
2015,October,05,5.00,5000,6000,5500
2014,September,08,5.00,5000,6000,5500
2014,October,29,5.00,5000,6000,5500
2015,September,30,5.00,5000,6000,5500
2015,November,21,5.00,5500,6500,6000
2015,December,04,5.00,6000,7000,6500
2015,December,06,5.00,6000,7000,6500
2017,March,08,10.00,1500,2000,1800
2015,February,05,10.00,1600,2000,1800
2016,April,06,10.00,2200,3000,2500
2016,April,09,10.00,2500,3500,3000
2014,July,16,10.00,2800,3500,3000
2017,April,16,10.00,3000,4000,3500
2014,August,11,10.00,3500,4000,3600
2014,August,18,10.00,3500,4000,3700
2014,August,07,10.00,3500,4000,3800
2014,August,22,10.00,3500,4000,3800
2014,August,02,10.00,3500,4500,4000
2015,November,05,10.00,4000,5000,4500
2014,December,10,10.00,4000,5000,4500
2017,April,29,10.00,4000,5000,4500
2016,January,31,10.00,4000,5000,4500
2014,September,05,10.00,4500,5500,5000
2015,November,26,10.00,5500,7000,6000
2015,November,23,10.00,6000,7000,6500
2015,November,25,12.00,3500,4200,4000
2015,December,31,12.00,3500,4200,4000
2016,January,19,15.00,2000,2500,2400
2017,November,16,15.00,4500,5500,5000
2017,May,07,20.00,3500,4500,4000
2022,May,04,6.00,2000,2500,2200
